"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Large firms","mean_Large firms","median_Large firms","sd_Large firms","iqr_Large firms","OPcov_Large firms","OPcovNoWeights_Large firms","indAlloc_Large firms","N_Medium firms","mean_Medium firms","median_Medium firms","sd_Medium firms","iqr_Medium firms","OPcov_Medium firms","OPcovNoWeights_Medium firms","indAlloc_Medium firms","N_Small firms","mean_Small firms","median_Small firms","sd_Small firms","iqr_Small firms","OPcov_Small firms","OPcovNoWeights_Small firms","indAlloc_Small firms","yearOnly","region","countryDes","incomeLevel"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,1,14,2.68479673314807,2.46558735121157,0.833496336852027,0.922950713188214,0.177768768339951,0.159086019912288,1.31905286084534,31,2.30856560811129,2.14035958429584,0.731341655802626,0.616458269301539,0.0375978985295989,0.0405218780096611,1.11111111111111,25,1.96265217213445,2.12143973152682,0.879492383417204,1.14439997508177,-0.162787822599684,-0.0701680097442211,0.80234843365653,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",NA,NA,NA,NA,NA,NA,NA,NA,0,2,2.92592341910861,2.92592341910861,2.78624780212118,3.94034942989201,-0.414773624199158,-0.414773624199158,0.826086956521739,7,2.11848835522252,2.0332295024833,1.05332333799792,1.20955609702924,0.302276948041859,0.383579669106253,0.966476572095971,13,1.74035986162909,1.83654011009247,0.553403005832265,0.698839921928551,-0.00357367857230647,0.0210623116465266,1.14285714285714,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",NA,NA,NA,NA,NA,NA,NA,NA,0,2,5.14671205939904,5.14671205939904,5.00023213841006,7.07139610515333,-0.621200204254403,-0.663323731034177,0.870309803029894,4,2.13299190568448,2.20664317745137,0.574790787535262,0.572468417605925,-0.00271861459261478,-0.0147791787261642,0.853148523120475,12,1.25978004356966,1.17743694194914,0.557760818343706,1.00759428289489,0.0527221822621197,0.0548000516592052,0.851783571521921,"2013","Europe and Central Asia","Croatia","High income"
"Dominicanrepublic","Dominicanrepublic2010",NA,NA,NA,NA,NA,NA,NA,NA,3,9,2.13284704873845,2.4650396620892,0.663783405676761,1.18540065839126,-0.102682468430821,-0.108868112965037,0.488372093023256,5,2.59261939288781,1.88656047790167,1.19417279533384,1.49828072525904,0.176683630103603,0.176683630103603,1.48484848484848,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",NA,NA,NA,NA,NA,NA,NA,NA,0,2,5.47664620354198,5.47664620354198,0.485998870088676,0.687306193377406,0.309502395252899,0.309502395252899,10.0628415300546,2,4.37660122666205,4.37660122666205,0.666924415443366,0.943173553397756,-0.141372864192205,-0.139483412826429,0.759084605078114,14,3.34316227149703,3.3139201960618,0.670272752839756,1.02171546451313,0.0531152727789037,0.0482136305011859,1.17186468657782,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",NA,NA,NA,NA,NA,NA,NA,NA,6,13,2.95498178774861,3.12433337064049,0.562189921410968,0.674335052832749,-0.175276592050799,-0.0835150461767885,1.82566708884388,5,2.26264592560713,2.27583501272419,0.161529463332923,0.205052668539654,0.0335812208385338,0.079983654928095,1.0422981352798,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,1,41,3.26228115971718,3.44683038463952,0.841205576730329,1.23995386001478,-0.140012948305874,-0.0532119429527029,0.412882344680304,70,2.46375821809689,2.39789539508301,0.904437671322105,1.06910393148778,0.0192550666175686,-0.0144555902413986,0.428571428571429,66,2.3093318944853,2.08044117681343,1.11026397118525,1.14059768224527,0.0435106354517025,0.0190928124572482,1.03191518109217,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",NA,NA,NA,NA,NA,NA,NA,NA,0,12,2.90201663982731,2.69048555211467,0.513633564201045,0.92863899715406,-0.0458537363913897,-0.0286853049984398,1.04469293463581,9,1.40710939632848,1.24659411226159,0.601171008359964,0.732293149118565,0.0536244555174505,0.278129852670385,1.2,5,2.4338992186677,2.44365241461594,0.333156860571315,0.565052680440521,-0.0180735241592114,-0.0374652240588996,1.00869609254035,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Fyrom","Fyrom2013",NA,NA,NA,NA,NA,NA,NA,NA,0,2,3.00993692937462,3.00993692937462,0.900234727195338,1.27312416051889,-0.116438752454273,-0.127312416051889,0.767052571858692,5,1.72518855703344,1.64951446881699,0.569406324814459,0.37008862093392,-0.0177423593401882,-0.0252540118360477,1.00248862279393,15,2.38482966509209,2.6609070793134,0.871223563778518,1.50862313529602,0.116839983362187,0.180376768987734,1.24855901006825,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Georgia","Georgia2013",NA,NA,NA,NA,NA,NA,NA,NA,0,2,2.39108601413183,2.39108601413183,0.00160949681727402,0.00227617222758525,0.000348430845757284,0.000539682112928689,2.31815867166746,8,2.40023813401184,2.51303266950113,0.405402138132109,0.815513947585124,0.0360823605506649,0.228690883877418,0.718234672831108,8,2.01293651830044,2.11534573043323,0.897968561112461,0.967584865550629,0.265616422813542,0.229090381852513,1.88531841828088,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,8,2.23114036172845,2.53311439666654,1.18153184666816,1.87503608228625,-0.12534652174807,-0.129424723036776,1.03871336940165,17,2.26846145602403,2.13941552308133,0.867100504006371,1.21118748142142,0.0718496505779311,0.052923972213044,0.867700693901306,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",NA,NA,NA,NA,NA,NA,NA,NA,0,24,2.25090089035664,2.1794689646007,0.812991665633793,0.860072771228534,0.64203839927563,0.564266521602283,1.2905878740194,16,2.03370246332572,2.02826303655958,0.56367747918017,0.89044268492867,-0.0916807698355964,-0.059794697592315,0.547424212864663,27,1.96283681481455,1.93702597672297,0.499697417142576,0.745966754381575,-0.00580153414364148,0.00962477281913208,0.603296063836235,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Guyana","Guyana2010",NA,NA,NA,NA,NA,NA,NA,NA,0,10,3.09681102930371,2.80186461210144,0.746600070481359,1.12143594581506,-0.283427242593565,-0.296669854266068,0.354609929078014,8,2.50617343702803,2.27252776403613,1.20588376207777,2.33446270801392,-0.197204245593434,-0.149292736342749,0.539933470545178,3,2.28930561563429,2.29168550901542,0.204658699021697,0.407794736284487,-0.00701405814422979,-0.0062659911999225,0.942389731105119,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"Honduras","Honduras2010",NA,NA,NA,NA,NA,NA,NA,NA,6,7,2.45469659865192,2.64914119791144,0.569436359389927,1.12617294728872,0.134501480748357,0.14203492499286,1.05848529737209,4,2.04467524177373,1.82893618315722,0.540090640991778,0.47018132793532,-0.128874687735876,-0.128874687735876,0.5,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,1,42,2.8742056016041,2.98333091966014,0.934139637711265,0.996683086890808,-0.0863129440034593,0.179954025119864,0.963174527241462,106,3.12603360635932,3.10307518735841,0.951577130835734,1.19469096422615,-0.0205761321752954,-0.0427286632892212,1.09011867179313,113,3.02883940496082,2.98921248293502,0.949134118257049,1.35540333559406,-0.0200892001008488,0.0232166219733963,0.933333333333333,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,0,15,2.29462359447076,1.97372454047461,1.22786265362814,1.57953158863222,-0.459913779697881,-0.284839424443724,0.264665395112897,20,2.63107781440893,2.76825290145464,1.02109568948987,1.36416347635562,-0.00329717912710149,0.0359452237634104,0.829543598381481,49,2.11404443717458,2.04575487822028,0.755615409304892,1.11379630662648,0.0482063456835422,0.0276571099583264,1.03057238998969,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,47,1.74896829781227,1.62350442325518,0.614772112911841,0.626066560867905,-0.0280209881445615,-0.0757430571129856,0.684338752981747,113,2.2850190016674,2.25928980491512,0.772293334287019,0.963510090817109,-0.049239330148394,-0.0224937520940752,0.623474971035121,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",NA,NA,NA,NA,NA,NA,NA,NA,1,4,1.42094138156603,1.47233954816706,0.224856230934927,0.220370748318437,0.10444083617768,0.102107467856234,1.30211152935109,25,1.67710341842707,1.70245161647638,0.394733809090534,0.657323832853699,-0.0688254478919339,-0.0723505769201159,0.640073506944521,32,2.33458507767733,1.94960820877589,1.08488765640444,2.31778500234763,0.0841969027484174,0.0013226498508332,0.936356767346386,"2013","Middle East and North Africa","Israel","High income"
"Jamaica","Jamaica2010",NA,NA,NA,NA,NA,NA,NA,NA,0,15,2.9988878879878,2.99243478774952,0.649268490047411,1.21422806230898,-0.0531425769083372,-0.0395507904117096,0.363636363636364,10,2.44648650709443,2.49748917203317,0.441031680207513,0.4558590356128,-0.0729947384044063,-0.0811339926622693,0.772440017230082,8,1.88619657657761,1.93033167682183,0.23621034567075,0.248825666850777,-0.0251645237438713,-0.013010917670929,0.588235294117647,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Jordan","Jordan2013",NA,NA,NA,NA,NA,NA,NA,NA,1,16,2.14450967730215,1.93937052578724,0.816540254468639,0.883315404020207,-0.055087610317524,-0.0458784565124813,0.889285994903973,29,2.45636328417572,2.35190995389214,1.25904427432613,1.92286789218855,-0.0569866959361059,-0.00772400994624359,1.32,24,2.10616977841115,2.05513318711507,0.668104854991332,0.944865798398718,0.0745483096750053,0.0786897295602993,2,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,1,18,2.81252351395132,2.39618057443039,1.15456499595367,1.00104027705861,-0.137198154825718,-0.0872816678133679,0.366294748721997,31,2.9967589235826,3.23861650110302,1.12289201198924,1.51233222789208,-0.13101044983063,0.0828039194686053,0.491803278688525,46,2.78756505894349,2.78424222162377,1.20944636768426,1.4097024429042,0.213857660276054,0.222769157911952,0.689907853178841,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",NA,NA,NA,NA,NA,NA,NA,NA,3,7,2.45684769942617,2.49368062560715,0.503898535316353,0.822739341426562,0.316946406389513,0.242730311195753,0.748303245578479,18,2.56114332775716,2.48620698358445,0.648379860444088,0.217322983249574,-0.00228169104398013,-0.0176770117565994,2,18,2.79465038931989,2.65622815041268,0.804270143766663,1.51560803799405,0.201683018810887,0.151239831226074,1.30708324314628,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Madagascar","Madagascar2013",NA,NA,NA,NA,NA,NA,NA,NA,0,6,4.1566228079772,4.01173801492764,0.933075231600481,2.06871337987407,-0.00978510937594639,0.0413306311397432,1.04357504883246,6,4.09863795214867,4.51837643734034,1.86323951227872,1.66510395272024,0.381854676566572,0.53768370113486,1.72233583044639,30,2.67085032157744,2.89654751821185,0.955752394107108,1.12379352764083,0.119297956220704,0.139111418559643,1.16009221082834,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Mauritius","Mauritius2009",NA,NA,NA,NA,NA,NA,NA,NA,3,8,2.38019746501967,2.59549677096942,0.6040895927724,1.05483265282237,-0.04042072428173,-0.0628611015864161,NA,14,2.042680204843,1.96459391078918,1.01506314993462,1.20183443117897,0.0601026041400349,-0.00505945917430214,1.18627214375881,24,2.15830256515768,1.97047007214509,0.850630059788431,0.89642713674931,0.0579347819882245,0.0537051207580521,1.29227938728515,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,0,57,2.46142995062986,2.40915517267657,0.76145104839194,0.973526596391071,0.641227380568982,0.525126293026627,1.26784891142014,48,2.28470131617212,2.35308229038619,0.721146966613556,0.924720059207417,0.147927851127289,0.138536591174571,0.823992084805252,53,2.1914986170143,2.09865268788955,0.818909858393421,1.11820467580011,-0.0082084705143246,0.0201840076886276,3.31042435568496,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Mongolia","Mongolia2013",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,2.87440624645549,2.67361906499499,1.03939499818876,2.18338628498666,-0.239383157750075,-0.170232851790905,0.689928460113513,9,1.77807393384882,1.79870507124334,0.417780336257896,0.832805013195866,0.0323844830182827,-0.00156640763073509,0.84931124447523,"2013","East Asia and Pacific","Mongolia","Upper middle income"
"Morocco","Morocco2013",NA,NA,NA,NA,NA,NA,NA,NA,0,18,3.3771912039954,2.94642154088813,1.77261846591907,1.76697436985354,-0.14296102649363,0.245946210983427,0.929103830395808,17,2.97619863760671,2.80315682033897,1.01217876841585,1.2498373426091,-0.135922584136713,-0.0801455086482866,0.485599485094732,6,2.34912008101284,1.94658829874008,0.97643111888037,1.88527672542158,-0.0787027550820598,-0.114347391880542,1.01032337064623,"2013","Middle East and North Africa","Morocco","Lower middle income"
"Myanmar","Myanmar2014",NA,NA,NA,NA,NA,NA,NA,NA,0,9,2.66528094105919,1.92235898327788,1.69985590319672,3.15334533202229,-0.0504216419876839,-0.210164766711439,0.910623844511242,22,2.42825152207508,2.29205559708763,0.926963192935306,1.2163463050164,0.00681992537119735,0.016519554395886,1.93256705630662,41,2.59404381827819,2.35496319905011,1.02764508778375,1.14219264334353,-0.112447711657884,-0.0443965488435872,0.7,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,0,8,4.44535514371979,4.37232424968089,1.48061352240132,2.45561536288115,-0.259425110775633,-0.263458778913641,0.767710448793992,19,3.13882018627705,3.50782835384965,1.22044569726356,1.66974304768612,-0.0461680684300169,0.221431453777541,0.52140097295171,10,3.24825129968357,3.1607429920792,0.707056013612352,0.7300700867007,0.176584554770139,0.162785944356404,0.733989176176395,"2013","South Asia","Nepal","Low income"
"Nicaragua","Nicaragua2010",NA,NA,NA,NA,NA,NA,NA,NA,5,6,2.23526934816562,2.82827795501354,1.95665980471611,4.02353183311821,-0.0917712770187207,-0.224937867728181,0.702182376340696,7,2.09311420583576,1.99844248885515,0.760936683124117,0.673390012102201,-0.00207831675080749,-0.0603991510221766,1.01054148145985,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Nicaragua","Lower middle income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,2,8,1.85544056640353,1.64472809787979,1.86596360555449,2.6557795773254,0.00719107671974864,-0.344073096557336,0.0437523824228084,32,6.51352656398336,6.72909051956131,5.22069568366617,8.39982992832443,-0.819370677962306,0.177069763743926,0.8,36,3.78194792647237,1.58952599960064,4.45059630076692,3.83687137437302,-0.652923264169038,-0.375348051952565,0.878148991344032,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",NA,NA,NA,NA,NA,NA,NA,NA,0,2,2.15285314893277,2.15285314893277,0.438425710369596,0.620027585697741,-0.158640307877048,-0.149265900260567,0.608610466329736,22,4.7531333978892,4.77047610061562,1.2989190617097,1.90741393703457,-0.173076366343258,-0.0120539160365165,0.886070459149513,35,3.32301847694191,2.82869306382722,1.74457285375705,2.55202960332736,0.166862833762015,0.0988023087456351,1,"2013","South Asia","Pakistan","Lower middle income"
"Paraguay","Paraguay2010",NA,NA,NA,NA,NA,NA,NA,NA,0,9,2.49214369994159,2.22460303969797,0.742984958738825,0.800273505521126,0.0445442147024672,0.138067621423977,0.453636013811401,6,2.92798846447215,2.66859446455585,0.918562212891211,0.895721168326606,-0.0203863693065704,-0.0142162672782598,1.31578947368421,8,2.164844584692,2.23831070676512,0.477573041978404,0.992649335355256,-0.0199150321137496,-0.0276015077010605,0.866907241501096,"2010","Latin America and Caribbean","Paraguay","Upper middle income"
"Peru","Peru2010",NA,NA,NA,NA,NA,NA,NA,NA,0,35,2.33810223215806,2.0071256597866,0.917298252690574,1.4255977418299,0.385764471257863,0.0932150290102529,1.11741947538824,45,2.41860175241804,2.17845417306803,0.74608508875227,0.784142687837793,0.138960695833903,0.0379011777682459,0.992663353485515,28,2.50228670461273,2.62872539318676,0.670498643006961,0.828923620658255,0.00771388633510083,0.0973533517557851,1.15147052337847,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",NA,NA,NA,NA,NA,NA,NA,NA,0,9,2.87722971378512,3.53341475883246,1.50143599890797,3.03375326385958,0.151952519423892,0.194320756367658,1.11597490601591,15,3.25387710224029,2.97013737401037,1.1644381367875,1.98701625123229,-0.132408279958061,-0.150930435800631,0.895232133753268,30,2.64539855365557,2.91340397251705,0.76720252161198,0.713271490232682,-0.0170784193351068,-0.0758858490664108,1.06580861885051,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,1,10,1.77488023009743,1.73187762326656,0.760559440061883,1.26056449123661,-0.599551955323059,-0.471069532445619,0.0272551302785805,11,2.41852370119593,2.64028099242873,0.906569809520613,0.801086233238475,-0.328706592293701,-0.208950042159592,0.409995876753767,7,2.3882433929275,2.15939181936823,0.869262794106158,0.453797667949045,0.0760106569942357,0.157148590684931,1,"2012","Europe and Central Asia","Russian Federation","High income"
"Senegal","Senegal2014",NA,NA,NA,NA,NA,NA,NA,NA,2,5,3.15915514863824,2.86415662426854,1.1691183848027,1.94507865933704,-0.083324406413495,0.0704700750463615,2.35342693912571,10,2.55080461633564,2.47319586821844,0.34794192297867,0.264813929535126,0.0419565880788836,0.0599780114748182,0.786016893053858,32,2.55664534834897,2.56656758670318,0.920614037438938,1.88848287569436,0.203286095904356,-0.00524755871892032,1.78228523058859,"2014","Sub-Saharan Africa","Senegal","Lower middle income"
"Southsudan","Southsudan2014",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,3.44925545831914,3.87422465590525,1.61364126199184,2.61011878995164,0.0741676178923252,0.0842575988073849,1.44964627696751,9,3.18844833857554,2.98732376692537,0.789519582589084,1.10271783309673,0.00775589302969695,-0.00498567056301119,0.81087207179086,"2014","Sub-Saharan Africa","South Sudan","Low income"
"SriLanka","SriLanka2011",NA,NA,NA,NA,NA,NA,NA,NA,0,23,2.78997749964307,2.99789647645663,1.30440127701134,1.91194897302569,-0.0428667904699458,-0.0129405586583855,0.758001680339557,24,2.48430893178895,2.20681552261563,1.16830761438815,1.85612004482953,0.100852318400197,0.058892173675808,1.65045788310455,48,2.53928541233221,2.35039722931608,0.962004244016903,1.64892988549122,0.0746617923586847,0.0662584218347001,1,"2011","South Asia","Sri Lanka","Lower middle income"
"Stlucia","Stlucia2010",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2.10004017604731,1.96640557252654,0.286250338357445,0.437382743225482,-0.0596671178293036,-0.0674857726013264,1.49435027449521,12,1.70771605183329,1.63140629451143,0.409293994468984,0.556467875784849,0.0411842269393786,0.0411842269393785,1.06666666666667,"2010","Latin America and Caribbean","St. Lucia","Upper middle income"
"Stvincentandthegrenadines","Stvincentandthegrenadines2010",NA,NA,NA,NA,NA,NA,NA,NA,0,2,2.32087774494154,2.32087774494154,0.696994924369439,0.985699674948471,0.230457705494773,0.245897242251599,2.10417196950406,7,1.96781180569799,2.1315802827263,0.312534791273193,0.440779159793504,0.030194164485756,0.023133756297292,0.733688647092366,10,1.71448958554336,1.9216462644077,0.542471008550187,1.01270590694012,-0.0907497837300828,-0.0982629555563048,0.480576441095987,"2010","Latin America and Caribbean","St. Vincent and the Grenadines","Upper middle income"
"Suriname","Suriname2010",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,11,1.71749934490114,1.7283068625784,0.113967749858823,0.141949996347927,-0.0223358436983397,-0.0223358436983397,0.609756097560976,12,1.61736463349135,1.62053155473625,0.0688204387684177,0.0755809109107712,-0.00343372513119855,-0.00343372513119856,0.666666666666667,"2010","Latin America and Caribbean","Suriname","Upper middle income"
"Tanzania","Tanzania2013",NA,NA,NA,NA,NA,NA,NA,NA,4,10,3.38387229913427,3.53441210749785,0.877548518004227,0.73127234981154,0.534620668464801,0.675061332214828,1.27123057467077,6,2.84042474061709,2.9052466956437,0.230770172308382,0.358061989066137,-0.0272236025178802,-0.027334620405549,0.720307329429147,10,3.14041502369858,3.18828888940605,0.200908605488502,0.202325593927284,-0.0534546708536871,-0.032948989416506,0.679932655034214,"2013","Sub-Saharan Africa","Tanzania","Low income"
"Trinidadandtobago","Trinidadandtobago2010",NA,NA,NA,NA,NA,NA,NA,NA,0,8,1.78398948592979,1.88004156670501,0.522951262076743,0.288048989321972,0.0489321158332868,0.0340954110160136,1.67125791698695,2,1.17327693736054,1.17327693736054,0.0798799742616202,0.112967342962797,-0.0168200791122048,-0.026755423333294,0.832345878658069,5,1.14182683920033,1.07452136156619,0.438257153850101,0.543246489053629,-0.052099046949207,-0.0647362276707213,0.719666428429703,"2010","Latin America and Caribbean","Trinidad and Tobago","High income"
"Tunisia","Tunisia2013",NA,NA,NA,NA,NA,NA,NA,NA,0,29,3.15593969582321,3.23783477835073,0.858656239928975,1.37577059305261,-0.0214135845528553,-0.02419279002092,0.817748816216478,35,3.11711366916208,3.56083647021023,1.10404843539077,1.35482742327455,-0.322854675025987,0.0407034349533225,0.37117989483481,10,2.50275495576924,2.7932638018524,1.32698677138859,1.03594972133917,-0.262763803843744,0.0691907460085086,0.850103133245948,"2013","Middle East and North Africa","Tunisia","Upper middle income"
