"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","yearOnly","region","countryDes","incomeLevel"
"Elsalvador","Elsalvador2010",6,27462.1635663778,27310.5881392971,6310.59930251998,2597.36842105263,930.79824293411,3557.32357677212,4.84794326675601,NA,NA,NA,NA,NA,NA,NA,NA,-2,6,27462.1635663778,27310.5881392971,6310.59930251998,2597.36842105263,930.79824293411,3557.32357677212,4.84794326675601,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Ethiopia","Ethiopia2011",8,2042.50906654166,2168.38765658945,1030.94186701977,332.892657560121,35.3319025780875,23.7044216664039,0.188888888888889,8,2042.50906654166,2168.38765658945,1030.94186701977,332.892657560121,35.3319025780875,23.7044216664039,0.188888888888889,-10,8,2042.50906654166,2168.38765658945,1030.94186701977,332.892657560121,35.3319025780875,23.7044216664039,0.188888888888889,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Georgia","Georgia2013",6,17789.8574202636,8050.91303160136,22964.3687184644,19794.1351393213,41673.1850530539,48920.4481390686,1.06059797587975,6,17789.8574202636,8050.91303160136,22964.3687184644,19794.1351393213,41673.1850530539,48920.4481390686,1.06059797587975,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",13,25799.5323906898,19809.4076964543,29638.7581078003,27566.9923477254,17869.0579766568,20600.2243282815,1.79838306552881,13,25799.5323906898,19809.4076964543,29638.7581078003,27566.9923477254,17869.0579766568,20600.2243282815,1.79838306552881,-18,13,25799.5323906898,19809.4076964543,29638.7581078003,27566.9923477254,17869.0579766568,20600.2243282815,1.79838306552881,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",13,54346.9108155728,33653.9760499404,56858.7970059786,78298.4860765762,105320.237531907,104266.014859789,13.0433753334074,13,54346.9108155728,33653.9760499404,56858.7970059786,78298.4860765762,105320.237531907,104266.014859789,13.0433753334074,-22,13,54346.9108155728,33653.9760499404,56858.7970059786,78298.4860765762,105320.237531907,104266.014859789,13.0433753334074,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",9,12896.4497660104,11907.8491249054,13137.7437973786,0,1610.72502023195,-2705.35675862996,1,9,12896.4497660104,11907.8491249054,13137.7437973786,0,1610.72502023195,-2705.35675862996,1,-14,9,12896.4497660104,11907.8491249054,13137.7437973786,0,1610.72502023195,-2705.35675862996,1,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"Hungary","Hungary2013",4,189443.855392479,196312.023551509,124685.533139122,115467.952533881,-38639.0126596558,-50997.215545869,0.766166301110208,4,189443.855392479,196312.023551509,124685.533139122,115467.952533881,-38639.0126596558,-50997.215545869,0.766166301110208,-5,4,189443.855392479,196312.023551509,124685.533139122,115467.952533881,-38639.0126596558,-50997.215545869,0.766166301110208,"2013","Europe and Central Asia","Hungary","High income"
"India","India2014",498,13292.0422993411,9592.823919241,11777.6528349309,10658.6932436011,773.296994677367,626.299581547633,0.5,498,13292.0422993411,9592.823919241,11777.6528349309,10658.6932436011,773.296994677367,626.299581547633,0.5,-947,498,13292.0422993411,9592.823919241,11777.6528349309,10658.6932436011,773.296994677367,626.299581547633,0.5,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",158,1695.34527913136,1039.1643789634,2120.90193924126,1771.94846019577,7507.44026787446,30139.6684987826,0.965265256504938,158,1695.34527913136,1039.1643789634,2120.90193924126,1771.94846019577,7507.44026787446,30139.6684987826,0.965265256504938,-274,158,1695.34527913136,1039.1643789634,2120.90193924126,1771.94846019577,7507.44026787446,30139.6684987826,0.965265256504938,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",116,23246.9806550942,18334.7004666262,22021.2247316317,14474.556588831,-4822.13386455325,-6812.71307146564,0.595692945067867,116,23246.9806550942,18334.7004666262,22021.2247316317,14474.556588831,-4822.13386455325,-6812.71307146564,0.595692945067867,-210,116,23246.9806550942,18334.7004666262,22021.2247316317,14474.556588831,-4822.13386455325,-6812.71307146564,0.595692945067867,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Jamaica","Jamaica2010",NA,NA,NA,NA,NA,NA,NA,NA,8,44274.1100277551,21550.8994023564,91349.5124826472,9043.5150449672,161577.058134081,185703.650789998,0.842430409527085,-8,8,44274.1100277551,21550.8994023564,91349.5124826472,9043.5150449672,161577.058134081,185703.650789998,0.842430409527085,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Jordan","Jordan2013",16,75522.9908033891,54270.5386533509,68688.3161230691,128640.755602489,45797.7622476543,29182.1145900289,1.57568239881256,16,75522.9908033891,54270.5386533509,68688.3161230691,128640.755602489,45797.7622476543,29182.1145900289,1.57568239881256,-28,16,75522.9908033891,54270.5386533509,68688.3161230691,128640.755602489,45797.7622476543,29182.1145900289,1.57568239881256,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",26,44568.8756480204,20069.8961938039,58841.4521447767,32853.8488239951,-9826.11590134054,-4716.74625512047,2.25061235929532,26,44568.8756480204,20069.8961938039,58841.4521447767,32853.8488239951,-9826.11590134054,-4716.74625512047,2.25061235929532,-48,26,44568.8756480204,20069.8961938039,58841.4521447767,32853.8488239951,-9826.11590134054,-4716.74625512047,2.25061235929532,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",9,83143.4084874977,27332.9909123246,149548.86775703,30784.5300767082,25121.2116267792,23386.1576931668,1.50354422415506,9,83143.4084874977,27332.9909123246,149548.86775703,30784.5300767082,25121.2116267792,23386.1576931668,1.50354422415506,-15,9,83143.4084874977,27332.9909123246,149548.86775703,30784.5300767082,25121.2116267792,23386.1576931668,1.50354422415506,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Kosovo","Kosovo2013",10,81431.3543384907,70940.8549042669,84088.3285773874,64238.1791200453,-3903.50536739354,-9435.75763281167,2.08970558454569,10,81431.3543384907,70940.8549042669,84088.3285773874,64238.1791200453,-3903.50536739354,-9435.75763281167,2.08970558454569,-20,10,81431.3543384907,70940.8549042669,84088.3285773874,64238.1791200453,-3903.50536739354,-9435.75763281167,2.08970558454569,"2013","Europe and Central Asia","Kosovo","Lower middle income"
"Kyrgyzstan","Kyrgyzstan2013",11,19202.9918782958,12922.9169219647,21331.8775076197,12136.553941044,-5682.50268206341,-5211.65631859203,1.52429737800401,11,19202.9918782958,12922.9169219647,21331.8775076197,12136.553941044,-5682.50268206341,-5211.65631859203,1.52429737800401,-18,11,19202.9918782958,12922.9169219647,21331.8775076197,12136.553941044,-5682.50268206341,-5211.65631859203,1.52429737800401,"2013","Europe and Central Asia","Kyrgyz Republic","Lower middle income"
"Laos","Laos2012",11,6593.00068264645,4456.80311515418,10460.8294178703,3960.4806547882,8647.38361353259,12815.4639550892,0.368891178985432,11,6593.00068264645,4456.80311515418,10460.8294178703,3960.4806547882,8647.38361353259,12815.4639550892,0.368891178985432,-21,11,6593.00068264645,4456.80311515418,10460.8294178703,3960.4806547882,8647.38361353259,12815.4639550892,0.368891178985432,"2012","East Asia and Pacific","Lao PDR","Lower middle income"
"Lebanon","Lebanon2013",4,51495.8320637679,53817.2955766185,16987.5493766198,0,-13018.0604855424,-17028.4764125308,0.245530120908116,4,51495.8320637679,53817.2955766185,16987.5493766198,0,-13018.0604855424,-17028.4764125308,0.245530120908116,0,4,51495.8320637679,53817.2955766185,16987.5493766198,0,-13018.0604855424,-17028.4764125308,0.245530120908116,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Madagascar","Madagascar2013",7,6477.92404416891,7159.66553305592,4926.23520565555,8212.28162634151,2754.74285573671,2653.8096409349,4.42066437882265,NA,NA,NA,NA,NA,NA,NA,NA,-5,7,6477.92404416891,7159.66553305592,4926.23520565555,8212.28162634151,2754.74285573671,2653.8096409349,4.42066437882265,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Mexico","Mexico2010",20,18975.7431747345,3679.21591180575,30528.1819162473,9250.02636257513,42540.2265796,32595.1189321176,1.07723726162761,20,18975.7431747345,3679.21591180575,30528.1819162473,9250.02636257513,42540.2265796,32595.1189321176,1.07723726162761,-32,20,18975.7431747345,3679.21591180575,30528.1819162473,9250.02636257513,42540.2265796,32595.1189321176,1.07723726162761,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Moldova","Moldova2013",5,119330.352032448,5462.83817254703,243224.97900399,107635.403990185,83959.825346812,72712.5155158704,0.783610591613736,5,119330.352032448,5462.83817254703,243224.97900399,107635.403990185,83959.825346812,72712.5155158704,0.783610591613736,-7,5,119330.352032448,5462.83817254703,243224.97900399,107635.403990185,83959.825346812,72712.5155158704,0.783610591613736,"2013","Europe and Central Asia","Moldova","Lower middle income"
"Mongolia","Mongolia2013",14,17032.8818368774,14559.7414100307,11209.8548092411,21136.5963648022,7077.370824449,8961.282081716,3.11463562063097,14,17032.8818368774,14559.7414100307,11209.8548092411,21136.5963648022,7077.370824449,8961.282081716,3.11463562063097,-12,NA,NA,NA,NA,NA,NA,NA,NA,"2013","East Asia and Pacific","Mongolia","Upper middle income"
"Morocco","Morocco2013",5,100706.19567191,80637.2422161109,83857.1080178497,105097.44901984,-35232.7547256055,3697.08798569203,0.190652890062382,5,100706.19567191,80637.2422161109,83857.1080178497,105097.44901984,-35232.7547256055,3697.08798569203,0.190652890062382,-2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Morocco","Lower middle income"
"Namibia","Namibia2014",9,40973.4913337483,4762.65015353254,81009.5460214275,21486.0077581824,22551.067517721,22784.3090855857,0.819423598680169,9,40973.4913337483,4762.65015353254,81009.5460214275,21486.0077581824,22551.067517721,22784.3090855857,0.819423598680169,2,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Namibia","Upper middle income"
"Nepal","Nepal2013",3,13157.1032388335,6200.06868042826,12528.7823875352,18079.4002721288,4460.95578393834,3279.9075971038,1.8,3,13157.1032388335,6200.06868042826,12528.7823875352,18079.4002721288,4460.95578393834,3279.9075971038,1.8,-2,3,13157.1032388335,6200.06868042826,12528.7823875352,18079.4002721288,4460.95578393834,3279.9075971038,1.8,"2013","South Asia","Nepal","Low income"
"Nicaragua","Nicaragua2010",10,9177.80759738495,7015.76248324254,9226.04873719757,6145.68260871695,1369.12741845231,-1293.21093541455,1.39907479931248,10,9177.80759738495,7015.76248324254,9226.04873719757,6145.68260871695,1369.12741845231,-1293.21093541455,1.39907479931248,-15,10,9177.80759738495,7015.76248324254,9226.04873719757,6145.68260871695,1369.12741845231,-1293.21093541455,1.39907479931248,"2010","Latin America and Caribbean","Nicaragua","Lower middle income"
"Nigeria","Nigeria2014",125,1752.56652147874,1035.48600424547,1906.15800357503,1582.73667432655,-348.561109784132,-482.967862869924,0.614924748809429,125,1752.56652147874,1035.48600424547,1906.15800357503,1582.73667432655,-348.561109784132,-482.967862869924,0.614924748809429,-193,125,1752.56652147874,1035.48600424547,1906.15800357503,1582.73667432655,-348.561109784132,-482.967862869924,0.614924748809429,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",NA,NA,NA,NA,NA,NA,NA,NA,42,5630.55259096756,5090.22605389479,6787.82543380374,6680.92169573691,-1673.36204276709,-2089.11893170039,0.648052851196829,57,42,5630.55259096756,5090.22605389479,6787.82543380374,6680.92169573691,-1673.36204276709,-2089.11893170039,0.648052851196829,"2013","South Asia","Pakistan","Lower middle income"
"Panama","Panama2010",5,21083.7207278606,11321.4353844124,50389.0790402247,14349.6,112465.303101098,96599.3763265306,1,5,21083.7207278606,11321.4353844124,50389.0790402247,14349.6,112465.303101098,96599.3763265306,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Panama","Upper middle income"
"Paraguay","Paraguay2010",12,25271.6346915962,13763.2157968117,21847.7599107574,18850.4767163382,-8830.29974303855,-3706.36820849827,0.997648735699331,12,25271.6346915962,13763.2157968117,21847.7599107574,18850.4767163382,-8830.29974303855,-3706.36820849827,0.997648735699331,-23,12,25271.6346915962,13763.2157968117,21847.7599107574,18850.4767163382,-8830.29974303855,-3706.36820849827,0.997648735699331,"2010","Latin America and Caribbean","Paraguay","Upper middle income"
"Peru","Peru2010",16,132407.654570459,26983.0025380839,196025.973232602,200619.29099759,-19915.5561649832,14746.0665259077,1.19051522934477,16,132407.654570459,26983.0025380839,196025.973232602,200619.29099759,-19915.5561649832,14746.0665259077,1.19051522934477,-28,16,132407.654570459,26983.0025380839,196025.973232602,200619.29099759,-19915.5561649832,14746.0665259077,1.19051522934477,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",94,49784.6459586345,18915.0488773377,56124.1260629083,108971.358320395,2304.4660037873,6941.45720138294,1.64582739646655,94,49784.6459586345,18915.0488773377,56124.1260629083,108971.358320395,2304.4660037873,6941.45720138294,1.64582739646655,-173,94,49784.6459586345,18915.0488773377,56124.1260629083,108971.358320395,2304.4660037873,6941.45720138294,1.64582739646655,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Poland","Poland2013",4,110992.091870921,105077.650154365,25289.3350416883,11907.2824456984,-6829.09012992958,-26954.8686161366,0.754811882540266,4,110992.091870921,105077.650154365,25289.3350416883,11907.2824456984,-6829.09012992958,-26954.8686161366,0.754811882540266,-2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Poland","High income"
"Romania","Romania2013",7,33329.0827823846,28811.5817800806,21748.0747487979,16656.3151649551,-7376.4279288163,-9996.35802105992,1.43364553761354,7,33329.0827823846,28811.5817800806,21748.0747487979,16656.3151649551,-7376.4279288163,-9996.35802105992,1.43364553761354,-12,7,33329.0827823846,28811.5817800806,21748.0747487979,16656.3151649551,-7376.4279288163,-9996.35802105992,1.43364553761354,"2013","Europe and Central Asia","Romania","Upper middle income"
"Russia","Russia2012",82,72303.9899357011,38608.051349144,135256.226180108,51666.350637671,-9745.29877198454,-15140.1400472019,0.267207746966479,82,72303.9899357011,38608.051349144,135256.226180108,51666.350637671,-9745.29877198454,-15140.1400472019,0.267207746966479,-141,82,72303.9899357011,38608.051349144,135256.226180108,51666.350637671,-9745.29877198454,-15140.1400472019,0.267207746966479,"2012","Europe and Central Asia","Russian Federation","High income"
"Serbia","Serbia2013",10,181324.759218883,182181.805569006,137875.94062187,299264.779796703,16852.4527686401,-22587.360853676,1.65679230392771,10,181324.759218883,182181.805569006,137875.94062187,299264.779796703,16852.4527686401,-22587.360853676,1.65679230392771,-18,10,181324.759218883,182181.805569006,137875.94062187,299264.779796703,16852.4527686401,-22587.360853676,1.65679230392771,"2013","Europe and Central Asia","Serbia","Upper middle income"
"Slovenia","Slovenia2013",8,225922.894027014,247147.950104252,105659.184864617,171693.874077149,7704.37479489909,-74846.8460825494,0.322441497471889,8,225922.894027014,247147.950104252,105659.184864617,171693.874077149,7704.37479489909,-74846.8460825494,0.322441497471889,-8,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Slovenia","High income"
"Southsudan","Southsudan2014",9,43516.7786490424,13205.6930614049,67043.3123207999,35103.387270105,-4067.687919947,-4067.687919947,1.66666666666667,9,43516.7786490424,13205.6930614049,67043.3123207999,35103.387270105,-4067.687919947,-4067.687919947,1.66666666666667,-18,9,43516.7786490424,13205.6930614049,67043.3123207999,35103.387270105,-4067.687919947,-4067.687919947,1.66666666666667,"2014","Sub-Saharan Africa","South Sudan","Low income"
"SriLanka","SriLanka2011",NA,NA,NA,NA,NA,NA,NA,NA,22,3945.81211388975,4082.06287073339,2654.63312019232,3640.57926380516,447.671294879117,-795.203532187179,0.91219879441167,-13,22,3945.81211388975,4082.06287073339,2654.63312019232,3640.57926380516,447.671294879117,-795.203532187179,0.91219879441167,"2011","South Asia","Sri Lanka","Lower middle income"
"Stlucia","Stlucia2010",6,83191.3475343186,57077.8393005462,89738.2688053374,85401.8912529551,30286.5758514372,31096.7126832638,1.58192087838468,6,83191.3475343186,57077.8393005462,89738.2688053374,85401.8912529551,30286.5758514372,31096.7126832638,1.58192087838468,-12,6,83191.3475343186,57077.8393005462,89738.2688053374,85401.8912529551,30286.5758514372,31096.7126832638,1.58192087838468,"2010","Latin America and Caribbean","St. Lucia","Upper middle income"
"Suriname","Suriname2010",NA,NA,NA,NA,NA,NA,NA,NA,9,33786.7383517334,31876.1384335155,4779.52681299165,3061.33382314674,1314.49019821418,1309.48732684509,0.815034655436371,-8,9,33786.7383517334,31876.1384335155,4779.52681299165,3061.33382314674,1314.49019821418,1309.48732684509,0.815034655436371,"2010","Latin America and Caribbean","Suriname","Upper middle income"
"Sweden","Sweden2014",6,308519.362073985,249171.316299961,220396.081482395,79766.3226776717,110294.231801531,128023.457934227,0.94028483045419,6,308519.362073985,249171.316299961,220396.081482395,79766.3226776717,110294.231801531,128023.457934227,0.94028483045419,-12,6,308519.362073985,249171.316299961,220396.081482395,79766.3226776717,110294.231801531,128023.457934227,0.94028483045419,"2014","Europe and Central Asia","Sweden","High income"
"Tajikistan","Tajikistan2013",12,6502.79101257299,7004.97486853902,4738.48690960109,9098.31448346256,-1435.73977274461,-908.149174441253,0.663689860735109,12,6502.79101257299,7004.97486853902,4738.48690960109,9098.31448346256,-1435.73977274461,-908.149174441253,0.663689860735109,-21,12,6502.79101257299,7004.97486853902,4738.48690960109,9098.31448346256,-1435.73977274461,-908.149174441253,0.663689860735109,"2013","Europe and Central Asia","Tajikistan","Lower middle income"
"Tanzania","Tanzania2013",9,3781.44554714552,1588.24005377526,5580.40470446232,1001.05670480757,4401.61183362751,4885.34508097318,0.764661186010302,9,3781.44554714552,1588.24005377526,5580.40470446232,1001.05670480757,4401.61183362751,4885.34508097318,0.764661186010302,-12,9,3781.44554714552,1588.24005377526,5580.40470446232,1001.05670480757,4401.61183362751,4885.34508097318,0.764661186010302,"2013","Sub-Saharan Africa","Tanzania","Low income"
"Trinidadandtobago","Trinidadandtobago2010",6,126867.877899591,85360.3932439496,133815.426496824,46744.1041564044,-70190.2035072691,-59229.4896827677,0.117917714066485,6,126867.877899591,85360.3932439496,133815.426496824,46744.1041564044,-70190.2035072691,-59229.4896827677,0.117917714066485,-12,6,126867.877899591,85360.3932439496,133815.426496824,46744.1041564044,-70190.2035072691,-59229.4896827677,0.117917714066485,"2010","Latin America and Caribbean","Trinidad and Tobago","High income"
