"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Drc","Drc2013",1,0.277687882223056,0.277687882223056,NA,0,0,0,1,2,0.124754349574271,0.124754349574271,0.159061932519312,0.224947542226085,0.0456197181857763,0.046312729281841,0.718260604337921,4,0.232792868014952,0.205049633269838,0.149731600784075,0.269399439117826,0.0665970616408653,0.0676241258483367,0.443971342321415,0,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",3,0.315469146238377,0.342857142857143,0.161514374420883,0.319526627218935,0.00391257094553798,0.00391257094553798,1,2,0.234137038156598,0.234137038156598,0.0666368118895964,0.094238683127572,0.00374104185004924,0.00428357650579873,0.883517469228918,2,0.219253115142234,0.219253115142234,0.0431543109106496,0.0610294117647059,-0.0132463260204032,-0.013077731092437,1.44847765192583,1,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",13,0.193912689718682,0.2,0.0834743065829111,0,-0.0133332906165263,-0.0296775270540392,0.306012550379088,27,0.361638172845254,0.157547864312672,0.382912269763459,0.569105691056911,-0.0332112721540024,-0.154212839310099,2.07778867021434,4,0.0503418413012147,0.0761666639033862,0.0625895595701105,0.0895650447938121,0.0332035543751577,0.0195072526463786,0.541633705027119,4,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",1,0.2,0.2,NA,0,0,0,1,1,0.260869565217391,0.260869565217391,NA,0,0,0,1,2,0.402135390692793,0.402135390692793,0.16396601788307,0.231882966258547,-0.0356745911566514,-0.0367958000350389,1.28521079647594,1,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Ethiopia","Ethiopia2011",26,0.161116437027536,0.14465241274114,0.12527201507875,0.111818181818182,-0.0468276734304202,-0.123525340704201,1.50020036064917,2,0.1992241669674,0.1992241669674,0.0434404114349514,0.0614340190063755,-0.00204780063354585,-0.00204780063354585,1.07142857142857,2,0.508686666666667,0.508686666666667,0.082995479930469,0.117373333333333,0.00262776119402985,0.00262776119402985,0.957142857142857,0,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",6,0.333828160421419,0.342317819110039,0.149321812395387,0.176768492680648,-0.0505452355242768,-0.0731965298437191,0.935785482061869,3,0.166619745025593,0.164201109246205,0.104858204696977,0.133969529688973,-0.0164166852031979,-0.0338773577043416,1.34781041717664,1,0.778076923076923,0.778076923076923,NA,0,0,0,1,0,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Georgia","Georgia2013",3,0.55235635325934,0.355058496950079,0.520857813938448,0.825740318906606,0.107412937201686,0.0786419351339625,0.764672717364625,1,0.705661920010901,0.705661920010901,NA,0,0,0,1,2,0.0869076314474454,0.0869076314474454,0.00241114004006077,0.00340986694543474,0.000385398963649519,0.000426233368179343,0.711492874277213,0,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",6,0.201809083161646,0.209054109829654,0.098192662661075,0.181132075471698,0.0166771393540598,0.0157405744936566,1.43179257212483,24,0.161178320920104,0.111119844195739,0.120289803631201,0.170337681216959,-0.000744259398657106,8.18115504246762e-05,1.1061732623989,9,0.0717368042490409,0.0853259214337808,0.0602728050314943,0.0787724909264537,-0.0196883802807097,-0.0222240148960417,1.14285714285714,1,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",1,0.3125,0.3125,NA,0,0,0,1,3,0.172223227641758,0.155717468039981,0.0696669212994603,0.0416666666666667,0.0031121812982284,0.00798139768728003,0.858638738543125,1,0.150943396226415,0.150943396226415,NA,0,0,0,1,3,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Guyana","Guyana2010",2,0.214496261926823,0.214496261926823,0.146633519878013,0.207371112509991,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,5,0.186829850733229,0.142191600741576,0.109560896488151,0.155049146227906,0.014921902715389,0.0182938992543108,0.659491521074151,0,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"Honduras","Honduras2010",1,0.00443801262428018,0.00443801262428018,NA,0,0,0,1,1,0.75,0.75,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,3,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",37,0.197507314206251,0.196396259021199,0.126039801323082,0.16,-0.0239266986206751,-0.0146911360968602,0.681818181818182,97,0.162297522532346,0.133047427288166,0.103933597174481,0.15625,-0.0297288103532507,-0.0303526867485546,1.02865613150187,4,0.189823105713087,0.197353242667645,0.147177827150436,0.230718954248366,-0.0438021826932377,-0.0207228851399747,0.974978199311486,0,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",7,0.385234932394179,0.396374025348437,0.121529744476238,0.214285714285714,0.00971748367844447,0.0420486227277796,0.960189885680143,1,0.0228571428571429,0.0228571428571429,NA,0,0,0,1,1,0.0048,0.0048,NA,0,0,0,1,0,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,4,0.157409023441236,0.122628401230768,0.158096687976352,0.0984126984126984,-0.0450326706126471,-0.0423973429951691,3.0352029386801,2,0.301470588235294,0.301470588235294,0.072790403945674,0.102941176470588,0.0211937716262976,0.0211937716262976,0.708333333333333,0,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Jamaica","Jamaica2010",5,0.296837167949191,0.296503831369391,0.0595828340874343,0.0666666666666667,-0.0140934844523239,-0.0157291666666667,0.761243383336083,8,0.27737069179545,0.31059095429587,0.0849659246008106,0.1375,-0.0479551689085721,-0.0584194202927066,0.510682326841495,5,0.166067127768769,0.151130957385365,0.0672544689578556,0.0931818181818182,0.059788973436072,0.09274010711204,0.326852416992165,0,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Jordan","Jordan2013",6,0.40516674962668,0.351535026514094,0.105707229405009,0.201666666666666,-0.0263107674487216,-0.0336805555555556,1.08612754766601,1,0.25,0.25,NA,0,0,0,1,2,0.164058939526731,0.164058939526731,0.102151676067842,0.144464285714286,-0.0566908506341635,-0.0491664165666267,2.22925411688731,0,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",5,0.35898531862901,0.310750618167326,0.130988894386283,0.116656,-0.000392647736928552,-0.00128028038656957,1.75060622640781,5,0.250065987972057,0.246775218167834,0.0346747583623169,0.0502406578788245,-0.0140081586327668,-0.0191214741882639,1.21583856287995,2,0.100353288402094,0.100353288402094,0.0104386335526901,0.0147624571428572,-0.0020448302405372,-0.00201306233766234,1.34494098823084,1,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",5,0.296339536689013,0.360070618023539,0.212156976775303,0.328571428571429,-0.0363865181610182,-0.0479954407294833,0.931123648550421,3,0.0782331480409048,0.0724597261259563,0.0664272008438271,0.095,-0.031838341419226,-0.0284934934934935,0.976856167908534,1,0.0244444444444444,0.0244444444444444,NA,0,0,0,1,3,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Kyrgyzstan","Kyrgyzstan2013",1,0.261364102813266,0.261364102813266,NA,0,0,0,1,8,0.308764827794333,0.357187525750203,0.188162633136643,0.283877783196339,-0.0213093177017154,-0.0365178346437421,1.33156501107156,2,0.277924531173072,0.277924531173072,0.0161927422341012,0.0228999956794776,-0.0028624994599347,-0.0028624994599347,1.33333333333333,0,"2013","Europe and Central Asia","Kyrgyz Republic","Lower middle income"
"Laos","Laos2012",2,0.125722451874375,0.125722451874375,0.0328073423424718,0.0463965884861407,0.0192020219038004,0.0189804225625121,0.543540759934454,3,0.228294021110486,0.147930088270519,0.218380268948291,0.416666666666667,-0.070484792588952,-0.0699374021909233,1.33031526636048,NA,NA,NA,NA,NA,NA,NA,NA,0,"2012","East Asia and Pacific","Lao PDR","Lower middle income"
"Lebanon","Lebanon2013",4,0.30196799628925,0.312609396722856,0.0888037593093091,0.0627450980392157,-0.0907627392727232,-0.0646298883490534,1.15693229871863,8,0.24116729005036,0.21761292332081,0.134184770758939,0.148245614035088,0.0947394323018789,0.165720651938488,0.527684518207619,9,0.217859414086099,0.214104599827095,0.0931149367617404,0.0661904761904762,-0.0173059371166396,-0.00127432473207206,0.834594427237341,3,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Lithuania","Lithuania2013",4,0.384850015764414,0.419718239108755,0.228439295118435,0.492857142857143,-0.00374884555271867,-0.00073867740958386,1.63823081636412,4,0.434558311377516,0.52200729080763,0.226021680143848,0.400179806127021,0.125074306501188,0.123410369976508,0.1,1,0.0738007380073801,0.0738007380073801,NA,0,0,0,NA,0,"2013","Europe and Central Asia","Lithuania","High income"
"Madagascar","Madagascar2013",NA,NA,NA,NA,NA,NA,NA,NA,11,0.561603704464062,0.453407878297002,0.439159364452931,0.7175,-0.344706749937499,-0.0719620732902732,1,4,0.193858002559219,0.144873567531075,0.218718280094264,0.346724137931034,0.0231475804344494,-0.0241975825119341,0.834376062622111,0,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Malawi","Malawi2014",5,0.198083918397916,0.128841651764045,0.177180616907894,0.325,-0.0989639134204864,-0.061538287072453,2.99634633648724,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4,0.4,NA,0,0,0,1,0,"2014","Sub-Saharan Africa","Malawi","Low income"
"Mauritius","Mauritius2009",11,0.23182968195335,0.191752666994861,0.248604741041343,0.361702127659574,-0.109783873756087,-0.171148988831957,0.844255322614506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Mexico","Mexico2010",9,0.519665033689336,0.570907337106182,0.193836093856665,0.2,0.0125188020043843,-0.00697289347077998,0.869669308355541,1,0.45,0.45,Inf,0,0,0,1,1,0.15,0.15,NA,0,0,0,1,2,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Moldova","Moldova2013",2,0.222867249271744,0.222867249271744,0.0794796261333693,0.112401165210154,-0.00624450917834189,-0.00624450917834189,1.125,1,0.604602465251366,0.604602465251366,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"2013","Europe and Central Asia","Moldova","Lower middle income"
"Mongolia","Mongolia2013",6,0.251269097641994,0.260094193927132,0.0569161374354842,0.0443939393939394,-0.0305241466544388,-0.0479249088416798,1.67258449684402,1,0.205128205128205,0.205128205128205,NA,0,0,0,1,2,0.200194612034841,0.200194612034841,0.0115494107593803,0.0163333333333333,-0.00741174905880465,-0.00738888888888888,10.4674921227361,1,"2013","East Asia and Pacific","Mongolia","Upper middle income"
"Morocco","Morocco2013",6,0.372539006509469,0.211761733805139,0.345547971477722,0.689473684210526,0.0954674435608384,0.0773342550352093,1.18824033816699,1,0.222222222222222,0.222222222222222,NA,0,0,0,1,1,0.618556701030928,0.618556701030928,NA,0,0,0,1,2,"2013","Middle East and North Africa","Morocco","Lower middle income"
"Nepal","Nepal2013",5,0.312288138078571,0.333333333333333,0.128967714058406,0.0701754385964913,0.0136990043883866,0.0190794712475634,0.2530739692261,2,0.255537808733541,0.255537808733541,0.0188561808316413,0.0266666666666667,0.0011615284439074,0.00121212121212121,0.930444637917967,1,0.293333333333333,0.293333333333333,NA,0,0,0,NA,2,"2013","South Asia","Nepal","Low income"
"Nicaragua","Nicaragua2010",8,0.335989055583015,0.266556105673392,0.260813414332186,0.279816419587804,-0.14660197281399,-0.146567443560545,13.8871920495102,1,0.133333333333333,0.133333333333333,NA,0,0,0,1,2,0.278234505008119,0.278234505008119,0.0610856345458476,0.0863881328409042,0.00479934071338357,0.00479934071338357,0.9,4,"2010","Latin America and Caribbean","Nicaragua","Lower middle income"
"Nigeria","Nigeria2014",71,0.198178688686589,0.15,0.227754071734591,0.299742857142857,0.0192180902380447,-0.0709848124498672,0.478883797752504,11,0.299662541631357,0.254668517398213,0.398880922685853,0.279603174603175,-0.0193041801385202,-0.03341710889643,1,8,0.040161799818382,0.025,0.0445475432380916,0.0745,-0.0151247194642816,-0.00823420745920746,0.721526904335949,6,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Paraguay","Paraguay2010",3,0.139821986537172,0.141718885650287,0.0274044236682415,0.0378947368421053,-0.00393316175279486,-0.00530533651201173,2.28537254795682,2,0.220252398069208,0.220252398069208,0.0339411254969543,0.048,0.0063218351327233,0.00685714285714286,0.817151833974145,4,0.232393238630924,0.227880226281265,0.0891495704029046,0.0525925925925926,-0.0306434974698696,-0.0346865678337354,1,0,"2010","Latin America and Caribbean","Paraguay","Upper middle income"
"Peru","Peru2010",3,0.0980112845014505,0.111759931717727,0.10077533538287,0.158356601515756,0.0381070950359199,0.0404992457899491,0.083065431510479,6,0.178880169102104,0.180442411579884,0.0838607405057703,0.0802721088435374,-0.00336033600695988,0.0142915502601912,1.50311070642106,7,0.227587793325047,0.238373241317103,0.117051428707915,0.134730666666667,0.0235385651389474,0.0330128947318292,0.796386945337794,0,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",8,0.273247876891289,0.243142072644844,0.123416532464666,0.193177449448901,-0.0472246830395639,-0.0282597317088483,1.26039805143285,2,0.0607310731298447,0.0607310731298447,0.0391265752256556,0.0553333333333333,0.00350187281721201,0.00488235294117647,0.920831119378676,4,0.496730917175031,0.682969488815266,0.415051621909117,0.657142857142857,-0.243395005037052,-0.218233253729619,0.987730714575211,0,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Poland","Poland2013",3,0.352910847376677,0.349786063608643,0.324914262853428,0.678873662474188,-0.077811021017189,-0.0800379057095475,3.19288424780686,4,0.35291171401879,0.385196592032813,0.189211473364272,0.308320726172466,-0.040265736316144,-0.0378732689398347,4.6708119944095,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Poland","High income"
"Romania","Romania2013",1,0.190473333333333,0.190473333333333,NA,0,0,0,1,5,0.115381884622118,0.114800845527144,0.102871270377676,0.204473790997735,0.00188580213692653,0.00215120441325641,0.820310966846135,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Romania","Upper middle income"
"Russia","Russia2012",24,0.2706372852462,0.232785262360077,0.218386012213403,0.281893617021277,0.00123339485434153,-0.0463267615361246,0.740240189141499,43,0.225965455037578,0.15,0.179366029874219,0.2225,0.0242774373457202,-0.018046242782716,0.924788519401059,1,0.909090909090909,0.909090909090909,NA,0,0,0,1,0,"2012","Europe and Central Asia","Russian Federation","High income"
"Senegal","Senegal2014",5,0.177701980719516,0.145818593640663,0.156694643513229,0.104761904761905,0.00947998022502128,0.00109447004608294,1.15800294854758,1,0.385714285714286,0.385714285714286,NA,0,0,0,1,3,0.172519728441516,0.121179931111111,0.192727331414714,0.375057292592968,-0.025180224013128,-0.025180224013128,1,1,"2014","Sub-Saharan Africa","Senegal","Lower middle income"
"Serbia","Serbia2013",3,0.555850082417281,0.482840961003072,0.243266053947859,0.352685151345095,0.0882796808416828,0.0757032639263641,0.711053975524341,2,0.494034396375754,0.494034396375754,0.212909074774851,0.301098901098901,-0.00441644856149222,-0.00456210456210456,1.02518902812456,1,0.0113636363636364,0.0113636363636364,Inf,0,0,0,1,0,"2013","Europe and Central Asia","Serbia","Upper middle income"
"Stvincentandthegrenadines","Stvincentandthegrenadines2010",NA,NA,NA,NA,NA,NA,NA,NA,3,0.276653439153439,0.311111111111111,0.0608892118172853,0.106150793650794,-0.00321669071669072,-0.00321669071669072,1.1,3,0.232452829978647,0.211675823541297,0.0628032771437693,0.113333333333333,0.00291115065770509,0.00444444444444444,1.03502747062389,0,"2010","Latin America and Caribbean","St. Vincent and the Grenadines","Upper middle income"
"Suriname","Suriname2010",1,0.285714285714286,0.285714285714286,NA,0,0,0,1,6,0.272236502151113,0.267851846648327,0.0252459101361111,0.04,-0.00189416947749099,-0.00182822008908965,1.02470443519672,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Suriname","Upper middle income"
"Sweden","Sweden2014",NA,NA,NA,NA,NA,NA,NA,NA,4,0.393120650781179,0.408513069879923,0.14949006652316,0.261654135338346,-0.0681015832436199,-0.0545909307682161,1.94063950494136,1,0.0140769230769231,0.0140769230769231,NA,0,0,0,1,1,"2014","Europe and Central Asia","Sweden","High income"
"Tajikistan","Tajikistan2013",2,0.429846071657181,0.429846071657181,0.0989390515968529,0.139920948616601,-0.021168153012371,-0.0262351778656127,1.78809979222824,1,0.105263157894737,0.105263157894737,NA,0,0,0,1,2,0.280148710736624,0.280148710736624,0.0757614408414158,0.107142857142857,-0.0137491093648821,-0.0197368421052632,1.83838070531231,0,"2013","Europe and Central Asia","Tajikistan","Lower middle income"
"Tanzania","Tanzania2013",1,0.2,0.2,NA,0,0,0,1,4,0.141570217882387,0.138015372904129,0.0714697596996538,0,0.00631299456207183,-0.00518192744755245,0.132503035334863,3,0.211519082270182,0.179795969534933,0.161647826801599,0.305444319460067,-0.0906172498620188,-0.0847154805807502,1.36956914163792,2,"2013","Sub-Saharan Africa","Tanzania","Low income"
"Trinidadandtobago","Trinidadandtobago2010",3,0.271374514845448,0.272881030322511,0.040681568938189,0.06,0.000935602396120438,0.00655172413793103,NA,4,0.254546267913654,0.244588039716685,0.0355565004122278,0.0656197654941374,-0.000152247791963118,-0.00029794471087474,0.968678267748447,2,0.35,0.35,0,0,0,0,1,5,"2010","Latin America and Caribbean","Trinidad and Tobago","High income"
"Tunisia","Tunisia2013",1,0.178041543026706,0.178041543026706,NA,0,0,0,1,2,0.362613587897617,0.362613587897617,0.206420328901073,0.291922428681412,-0.14184559845136,-0.134624420993855,12.177377847156,2,0.291816250715571,0.291816250715571,0.160806942641433,0.227415359207267,-0.0786227393236487,-0.0758051197357556,2.88250574267891,0,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Turkey","Turkey2013",4,0.503349609050599,0.524592773887727,0.161931046266561,0.135131851189555,-0.038097583826181,-0.111725960367717,1.33649847649493,2,0.38551741410693,0.38551741410693,0.294470540859241,0.416444232602479,-0.0722871863732531,-0.0867592151255164,1.90728178224572,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Uganda","Uganda2013",2,0.0746219006939048,0.0746219006939048,0.0848528137423857,0.12,-0.0349420745290368,-0.0327272727272727,2.0075619861219,7,0.077036004215834,0.0599261484257727,0.0653727196819547,0.0625668286277085,0.0337209289606734,0.0215457455702505,0.261157925675198,2,0.203397072983138,0.203397072983138,0.231931024229188,0.328,0.0559960174921333,0.0546666666666667,0.724690660035271,0,"2013","Sub-Saharan Africa","Uganda","Low income"
"Ukraine","Ukraine2013",5,0.338414591810884,0.344669688780054,0.049272071544159,0.0600000000000001,-0.0423499160127959,-0.0558502997305175,1.06386451357895,7,0.425769608482324,0.487547104508885,0.0984813142567398,0.173913043478261,-0.00979537306406579,-0.025126231409409,0.664183412828663,3,0.386239644747576,0.395752439847205,0.155927826256347,0.166666666666667,-0.06940726415874,-0.151899509803922,1.69503609684441,0,"2013","Europe and Central Asia","Ukraine","Lower middle income"
