"countryOnly","country","N_0 to 10","mean_0 to 10","median_0 to 10","sd_0 to 10","iqr_0 to 10","OPcov_0 to 10","OPcovNoWeights_0 to 10","indAlloc_0 to 10","N_more than 20","mean_more than 20","median_more than 20","sd_more than 20","iqr_more than 20","OPcov_more than 20","OPcovNoWeights_more than 20","indAlloc_more than 20","N_11 to 20","mean_11 to 20","median_11 to 20","sd_11 to 20","iqr_11 to 20","OPcov_11 to 20","OPcovNoWeights_11 to 20","indAlloc_11 to 20","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Belarus","Belarus2013",10,19808.654584834,13749.9340650097,20719.7393056629,18695.3464636148,-4324.47432146988,-3074.45549559671,0.393438572025261,36,18523.0596672181,17225.3536225009,14566.5049633332,21783.137070661,-9480.54741913932,-9110.55349545946,0.145168146114959,25,10443.6165497646,8706.56287340977,7415.86545599449,6572.13716300134,-880.659319055948,-1775.78846580452,0.889476532226831,2,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,46,19026.937205917,17511.5424823465,12098.8113169532,17486.1111111111,8460.52221444607,8397.12185878821,2.80791354957002,24,22979.2614909909,21930.0476884321,12332.7305661116,16743.3333333333,1090.39306614986,969.113685500952,2.05357710955261,2,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",23,2364.50959011521,1543.70549626561,2753.01409463378,1323.10332285356,365.932770185563,-31.3673523004764,2.86569447232378,28,9043.76821560737,5281.61303359247,10002.1451208458,10753.5002321398,6077.42649727475,5606.58087592855,1.12684365007476,16,7290.12398076136,6064.34050948918,7631.45831154984,8992.71340922674,-560.193436013609,-33.7150796842065,1.24007126877727,4,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",8,17172.3895313243,15404.9531524552,8576.2227780866,12066.5358429995,621.52830837898,-2987.15396652391,2.88448495055979,20,40822.8991795768,20021.865127192,37138.4666378133,55870.5505906857,-9714.85725921375,-4703.31932412382,0.460386215226351,42,22194.5450921321,12550.333739055,21410.5763703702,18923.9110388952,-5159.29524690414,-4907.52380775338,1.9899168154548,5,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",NA,NA,NA,NA,NA,NA,NA,NA,27,8570.16171663123,8417.63293016855,7698.97692623315,6483.61823361823,1930.35259329174,3254.33763188343,0.811416761020312,9,12987.874986337,10685.207992746,7748.69373884359,11816.2898304742,-3026.80666885998,-3270.08422044729,0.398202422477656,3,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",2,8447.64347491504,8447.64347491504,12376.6599845188,17503.2404069869,5623.34236759166,5440.19634271215,2.54831489659211,29,14798.1305720081,12602.9674672069,13084.2704004889,14351.769770464,2558.77998217275,2136.20675172668,1.70207420830107,31,13055.8483442998,8928.43745522743,11987.3561530964,11482.6581249426,1221.03214419887,959.541716311797,1.08108108108108,2,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",5,8054.97225389197,7934.11614216175,8394.77657496621,12837.903781266,-787.513899325636,-1295.71476080062,0.960230667296942,721,34461.9382188477,23276.2302327983,36110.768643216,35499.9232693271,926.585521235649,7096.11958186373,0.665821501563949,318,17787.8425293721,14228.1364823479,16462.1214368219,14993.4280746029,2034.53706802791,2849.49767362014,1.4,67,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",8,8795.12626923257,4400.42043801754,8497.63386939053,11561.6290548813,-2477.24406895706,1108.45171630699,0.428993723338708,35,11936.8524323008,7842.76789431325,11129.226019254,9232.22133022913,1308.1390165384,27.1687525140793,2.09688060083075,31,9658.96303490248,6863.483158102,7234.1194474281,6385.99764466426,20.3539674818218,-749.115005187804,0.925419195331358,6,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",2,74201.429349977,74201.429349977,6998.49835365211,9897.3712879806,-197.947425759612,-197.947425759612,0.961538461538462,17,11986.234048052,10933.3799763551,10036.4079719821,14038.829638148,1110.45054443406,2136.72790410529,0.929655758735948,18,13188.0564759308,8842.00896382146,12187.5728482354,17533.9290470595,-1307.86267636711,2201.48012161145,1.01276992797288,6,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",10,6966.96819825316,4480.37622453066,6037.90318637417,4284.11268174462,2361.72543964943,2343.86441601698,1.12657305719102,20,8633.91704802993,5280.00121044404,8823.33988992997,5635.34309893683,2586.39888002873,2735.90769279792,2.63513499791692,17,9633.49150101261,10518.0156828844,7459.60142216591,8105.56068447223,-81.7278486578284,231.46203450111,1.06692939911568,1,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",NA,NA,NA,NA,NA,NA,NA,NA,37,13899.7835176477,6305.44123902735,19485.8402081512,10764.3340812808,39336.5343502965,43200.217662142,2.97341805762838,25,12066.7657737744,7151.93042091766,11398.7050331624,13983.1244624295,2123.60700619706,2691.35861585729,1.46474700751576,8,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",8,21377.7513150339,14304.1959943335,19180.8937106062,14328.647332928,-1910.48494919737,1956.93800022977,0.487984989796763,474,25167.9493688944,17927.5195786527,21908.1785232784,19661.7731120192,7767.53963803864,7402.70213483581,1.34528139964599,100,29325.6243327632,23038.0160015623,22031.7571663484,27538.7470738125,2192.23217548371,6187.28317836081,0.704938695113562,52,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",146,16446.5555001839,8416.63886194427,15605.7058946883,15812.0058635024,3407.23346874593,3246.33130351328,0.785420620606048,318,25967.83146019,20254.7247913308,22261.5748389819,20690.8418832278,-7205.16273476482,-5417.91206671141,1.22197084218265,875,26075.8241380931,19099.2386614411,21079.6429404429,25506.5055350297,-1975.15529033105,-1753.5556462525,2,75,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",16,14066.9799303948,12301.0832228579,10300.8652729157,12350.4816843401,3076.23780933866,5997.01797617866,0.5,390,30738.8627245012,20919.4498838516,25310.6691216033,41268.5984550794,16817.6064284067,17462.3559340513,7.2,158,11995.6326071694,12194.4569386961,7345.94487453571,7792.08233324298,2369.1138247377,3576.56697880037,1.6857572648168,25,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",8,20549.9261626557,18677.5503714535,9898.6561403304,15381.7670764104,703.117640183937,413.671719993754,0.0855207985606998,135,18219.3172913947,13985.2202460371,16824.8187527451,21955.2260235664,6231.7609363887,8330.53014521019,1.37509098689495,54,13662.150161139,11105.2347365437,11909.7595593177,13319.4313181266,5753.59412478611,3779.60391855768,2.22197900411195,4,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",25,2207.79443216429,1914.86183290827,1695.08361900385,1840.27084465723,-114.164315468869,-169.238056348681,0.507034582317144,32,5612.65168162079,1569.25068163687,9436.47326752834,4720.07221722874,16891.8849184955,12423.7272459984,1.0483056504318,59,4058.0872349128,1722.05009089508,5589.2927370506,2850.01332977159,1956.68697363081,3010.02615557793,2.28491391898236,27,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",16,29554.5801621165,27168.8974801897,15572.9509636398,13780.9533445113,4522.02716265168,3743.1442439893,0.588299882844081,45,37060.4003862478,29842.7059523709,26514.8390052991,27817.5010009866,17358.4820301366,13924.7336053526,1.25220093505619,24,44528.0094795416,30575.16066922,29957.7329043261,34168.8840074386,6614.50884234605,5048.17263285969,0.228515054842301,4,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",NA,NA,NA,NA,NA,NA,NA,NA,23,28961.8150567275,26348.5459120391,21942.2377339323,33257.5102772006,4200.35914377124,5099.02433289618,0.484632915605297,22,36624.2501647324,31409.8136271381,21388.3691462206,24966.3906854604,4676.9497611315,7470.00337486577,0.669486553771282,7,"2013","Europe and Central Asia","Czech Republic","High income"
"Djibouti","Djibouti2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,48002.3236593113,30992.3207792266,48746.71658625,85311.742047857,-343.699258172881,-59.849323550905,1.54470851417908,2,"2013","Middle East and North Africa","Djibouti","Lower middle income"
"Dominica","Dominica2010",3,10160.0917107584,10095.2380952381,2919.13295605406,5837.18518518519,-7.62983712003334,-7.62983712003334,1,11,18213.3317559689,13003.9682539683,13527.6277042377,15102.000396118,-3282.80272020116,-3409.95849309678,0.306179775280899,9,26241.9651823161,29053.9682539682,14537.2467594566,20962.962962963,6219.85910151469,6614.73760726821,2.05,1,"2010","Latin America and Caribbean","Dominica","Upper middle income"
"Dominicanrepublic","Dominicanrepublic2010",NA,NA,NA,NA,NA,NA,NA,NA,57,12613.2667814186,11248.968353822,9269.74005927555,9441.41982435553,537.722820306016,-162.939963765742,0.436430387425369,33,13099.1354994523,7450.42678573016,10390.4647313947,15670.7786691264,-3146.59295974643,-3155.86872276385,0.229577844966434,6,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",69,2232.40712738874,556.636377918879,4083.87074972783,1861.88246635621,287.961935818451,285.046097289292,1.06783592736136,38,6514.11269788514,1376.53964388376,11227.9695248583,6076.43477093843,5514.28063548364,5808.18898964283,0.525634786718576,49,2313.39669755166,906.878586930767,3675.19717390454,2041.3740228853,-215.089490024463,-26.7241650478144,0.209795354369453,28,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",2,7613.99,7613.99,373.338238330873,527.98,215.991818181818,215.991818181818,5.5,68,20762.072015337,19009.6310459693,14713.1344592049,14623.8441558442,9121.87874072318,9229.43386162167,1.92910965711632,19,18579.9828094453,18340.4171289724,13117.629753472,15466.6666666667,1735.0924960705,16424.3825602932,0.429687537546078,8,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",365,8746.33502228024,6461.84394910471,8017.01458400184,7386.74470889682,1305.03197998905,2000.36840349703,1.9,549,5837.37974034134,3566.46152133595,6637.32270396472,6005.27636347685,-334.84251124419,-268.369240654515,0.88153458478135,417,9705.28728006805,5809.02550192532,10766.3416043872,11485.4726440469,3524.63799153052,2335.82550180742,1.33333333333333,130,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",3,14411.9991709096,15757.2103987549,6459.65671047945,3281.88888888889,-1014.77767983382,-175.461952861953,0.738150594684695,70,10813.6868995975,8242.34704033994,11156.9111629787,10121.1052631579,7601.11264895753,4462.31745758869,0.787781323361734,18,8419.4979995192,7115.28907951608,7588.21972488297,8861.19097744361,230.435469493893,883.984735754461,0.710693291807693,3,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Estonia","Estonia2013",8,57215.9381759182,60319.1404790508,29044.3185080889,57065.3980535856,-2986.8728576836,-11640.0146335667,1.10638446313128,27,28112.7754038077,27162.3049517289,17686.6851696839,20624.1498994136,2377.99517758443,1315.20569536785,3.13270024478948,19,41774.1327988249,18688.9570857465,47714.5907075772,29723.9682623649,-1351.5541833814,-6847.11074293666,0.496987331672464,1,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",30,3347.53486016855,2302.39923595572,8637.45564793216,5852.81451932143,80.5306260424998,151.369014929544,0.772603255245084,26,6206.4031364967,8876.67454887354,8938.22424341468,10280.8482680824,-3538.96953411921,-2529.22435902642,1.65733689215614,55,9521.39483858065,3494.16382466515,13661.7356137321,14117.4572420224,2587.38530567137,2452.37785237134,0.425531914893617,12,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",18,12394.8519118663,7505.62325243605,10923.8839319449,22533.8205687575,-7202.14670354167,-5652.41966675049,0.220668322352919,36,11401.9238466275,10239.1820638055,7341.97134044707,7403.29278155429,60.8625093512822,-603.007365762667,1.69552015749271,44,9835.97914137438,11429.9445693207,6568.75251808512,9840.7237162596,-3195.56972010655,-2478.06790753789,1.07673623593894,6,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Georgia","Georgia2013",27,8353.56526800441,4992.9266798952,9737.85932237232,12483.6883255507,7719.43505575417,13505.9268350477,1.71279312027049,7,1997.47757415707,1743.32779657987,895.458023408009,1319.10529569129,268.488334711437,103.239798143353,1.48403530607858,19,2647.29223814878,2983.52591194145,2066.79613387972,2896.91100765683,-1726.02514285268,-435.204195417906,0.323997242246486,8,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",40,7362.47564746833,2892.61835449484,8838.06574985505,12349.5537101926,4616.73452820955,1108.08989435345,0.705830481832752,69,10963.5093104288,5687.13841532072,14735.4328971514,12278.077193542,15599.7202920949,14095.2074033094,0.374747146472403,67,5741.56833270289,3538.32165329124,7223.48682536322,5972.26005791951,-132.175516084324,22.2737991946933,1.29097094559242,13,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Grenada","Grenada2010",NA,NA,NA,NA,NA,NA,NA,NA,13,12191.7495111335,10160.601537422,11910.2410799603,9276.35327635327,-1382.72478423715,-1878.31724691437,0.325023786773684,4,11244.9334976466,5268.44056074177,12796.9273799974,25982.7160493827,-3168.03449937769,-3390.71318342152,1.27222222401588,3,"2010","Latin America and Caribbean","Grenada","Upper middle income"
"Guatemala","Guatemala2010",3,7383.00175540441,8059.46592526387,4035.45108026076,7465.3049436604,921.877437334668,771.428306421598,2.74097954411375,162,7668.46697396899,5749.8887117225,7420.98659916768,7303.2273140882,4840.90672208253,3301.37583731376,1.84035299838594,46,8156.37676276044,4539.51623871419,10613.9296368463,9404.79602924813,7874.73545743676,4234.43112724872,0.528032097985196,17,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Guyana","Guyana2010",2,6997.77580289287,6997.77580289287,6138.80065355756,8681.57514096592,1446.92919016099,1446.92919016099,1.5,41,17021.0000862009,12349.6592798691,16467.7729397531,14284.354585178,7579.39985947439,7869.39384597006,1.09598442845986,11,12647.137301562,7123.33277168949,12561.9191097929,18149.0774495383,-8160.89800103381,-8146.40445023603,0.0735757996841502,3,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"Honduras","Honduras2010",NA,NA,NA,NA,NA,NA,NA,NA,66,8146.21441371,3427.05179152819,9699.63075975616,13781.8435732015,-239.148044572065,2558.26785472291,0.047092786662006,18,-2638.90780437836,-2539.93621401423,6627.58066508704,8304.26936083958,3226.4135075003,-434.643791857206,0.840443987381284,16,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"Hungary","Hungary2013",4,103137.283187255,37990.7181639226,145816.757952636,214230.722858357,-2542.61792073269,-43634.1391386338,0.936330805211776,17,77064.5782114808,44186.0873010945,85586.048625044,134573.344126193,-27937.0613626998,-26252.4175697539,0.354106706067006,10,126338.863375499,40635.4787339161,177586.460003568,260684.154414488,-49221.386977897,-32659.677901811,0.473684210526316,1,"2013","Europe and Central Asia","Hungary","High income"
"India","India2014",896,8491.89692903597,5593.85754139991,8893.73052366639,9219.76965571492,640.642961376819,995.153092739266,1.19451434820024,2254,9639.89849646067,6242.93865403282,9113.73689858776,9246.25757689434,-395.301281066872,479.703612060979,1,1727,8567.20590206081,5478.36603598642,8971.93467090448,8100.60686513683,957.833403791719,1217.13932378459,0.9375,364,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",21,936.113904558888,640.274168387996,1067.5359099312,1328.05207631523,-245.456986741909,-202.745804908389,0.373862955318946,330,1409.44504937382,997.173712568935,1531.22965153246,1534.24416624639,847.942431177946,739.944882458322,1,250,1426.72864880576,1225.2611287955,1220.82587702815,1289.23928676095,389.474246311875,681.713924013213,1.16666666666667,164,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",85,13669.655061791,10092.2865126114,12617.2796213116,11528.1801809712,-1029.62221585479,-799.456610310942,0.81892606701194,89,19807.8960251224,13978.9945168612,20181.775119838,21257.2433403785,-5701.62363098836,-10963.593540636,1.68207584798502,270,18177.9153701046,13003.4752426258,15754.3594585041,15601.6956713501,-2326.19876653738,-1975.0530348242,0.5,26,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",NA,NA,NA,NA,NA,NA,NA,NA,78,106043.409617766,86450.7512155089,60352.943303055,79728.5503707816,-23305.7615422822,677.954785761021,0.392429853436296,36,92075.5444369989,83099.4341139057,34730.4024866869,60749.1203856099,3964.73222138212,19253.3409416346,0.855756135305011,18,"2013","Middle East and North Africa","Israel","High income"
"Jamaica","Jamaica2010",3,17673.6781520602,18267.9359679469,3911.06110916178,2735.97586498662,1500.31129955673,2341.89730451825,0.932303299052797,59,15367.0476696694,12591.4680722963,9533.17632343399,7302.34667251924,7997.1148637801,11362.456431147,1.31502833244106,17,8302.67922669139,7739.72810781418,2860.59965285112,3378.19045873291,-420.127015871397,-478.255292183655,1.08333333333333,14,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Jordan","Jordan2013",65,23423.6797414661,11631.1159440335,22044.7856348879,22685.2103562284,-6629.91381225965,-14121.4062149256,0.477586064954331,91,28188.9343253411,12514.5670621115,32969.3977270105,41778.7777539468,2722.2931795933,-3258.73864904508,1.1081674307353,77,16672.5230629972,12546.6241663837,23384.7493553307,22194.3855060294,11791.7361274455,-1520.24652642343,1.21941016289693,9,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",13,15710.7018690034,13365.9382866201,15005.609871165,21436.6374090181,627.848748245801,5007.32669206857,0.909603192904066,13,9494.90986916332,7220.73615789135,6331.74775271813,9014.15597378873,2274.6422574785,3439.45083080526,1.25662944055279,41,13013.1261253957,10846.5889755584,9026.92997635515,8603.92149965467,1603.38858632031,2104.04862286326,1.50926007557508,2,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",22,68808.2672656142,16139.0236752134,117376.756012308,170843.993179552,25125.8140717365,11627.3029760169,2.8360377250542,175,27617.8485671199,17728.2781017468,31636.8969773344,33984.5425108358,9970.93992341215,16629.1114296414,0.677599155368633,55,25647.3933811159,10638.8838501968,31752.4851407072,28551.3448919387,52913.1857291072,27408.6892769195,1.07321595905429,21,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Kosovo","Kosovo2013",17,17434.3883230619,15320.8943501254,11778.43392989,20170.1268467406,-2616.84875736718,-2291.68933508677,0.366109421928955,8,11483.2871516753,8102.44674821431,11628.625027057,8693.08119419166,3589.89290210908,1735.22970339295,1.02794660837024,16,33300.3207674549,33309.5885676588,32860.0632355972,40029.5004685553,5627.10824208011,338.786023340547,2.53022146650793,5,"2013","Europe and Central Asia","Kosovo","Lower middle income"
"Kyrgyzstan","Kyrgyzstan2013",5,3929.56551135103,4216.81598080465,747.879269258209,918.691337912774,-289.111586790459,-239.32897003482,1.25367551707006,16,4500.71481501606,3898.31177817953,2953.0487132111,4900.54270476108,-562.183316624986,-248.931715018728,1.4198797482637,14,6094.57968475702,3206.13827448643,5435.14431558784,6685.77633490335,1172.09916222291,251.639640875191,0.406205934699641,2,"2013","Europe and Central Asia","Kyrgyz Republic","Lower middle income"
"Laos","Laos2012",8,3528.90062022047,3591.64661030235,1731.24400600511,2923.79302479099,-363.70754678818,-814.309719635607,0.800013649701829,21,2190.34809882157,1089.35934145429,5200.77159616232,4515.22751254588,-3116.97575963951,-2938.58337320838,1.57583797321147,33,905.620622807685,2033.59705301749,4962.43315170132,3422.54406498131,2221.99542637386,1162.02730081539,2.77777777777778,10,"2012","East Asia and Pacific","Lao PDR","Lower middle income"
"Latvia","Latvia2013",4,18064.3517428355,13717.605971889,8826.29260792571,11067.1425406819,956.619698379068,1039.99499758581,0.995849742101659,9,14181.1243910386,15907.1583330465,5909.5655072312,5471.3480959168,-73.231338578199,3788.15202406877,0.658871306785155,10,14052.0434715349,11303.7257195933,9730.46686400554,12599.806608084,-1007.04883898994,-442.329299104708,2.16263908913314,3,"2013","Europe and Central Asia","Latvia","High income"
"Lebanon","Lebanon2013",20,21517.0988548173,18706.910513808,10421.8106354995,14147.5758734032,-2438.49366799904,-1764.78962008609,2.01619630520143,89,31572.4136664296,21441.9048125199,25547.8370914803,22657.282318632,2888.1491169959,-3519.16280323094,0.754463108045414,33,25524.5428366217,17982.2704469989,17711.9813076735,21090.1940554804,-165.955885328207,-4243.38739787513,1.87187157008971,10,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Lithuania","Lithuania2013",11,41942.3016135004,34144.8824316853,30565.3707613262,51495.1446773643,-5177.07475605811,-5575.67287569908,0.666779349729193,16,11842.319237738,8812.31503351451,12011.3609078462,12815.0993443794,2583.65593714493,10674.8418203792,0.899923015433814,14,26962.290051276,15525.2001577454,24874.181942556,50445.2809133423,3457.96498641365,3221.50237950316,0.69226817280919,3,"2013","Europe and Central Asia","Lithuania","High income"
"Madagascar","Madagascar2013",54,1750.61234599315,1136.70892764373,2278.65668017937,1975.27934326772,-1166.55421647163,-1031.74902363238,0.0482956963055291,60,3026.91176878643,1795.74394521629,3902.25771643271,4043.78216011072,236.308838565213,245.392386726343,0.855573189205424,54,831.986616014455,785.026449422478,687.819534290287,500.606248765293,-334.692700360272,-425.400198322675,0.166112851079087,22,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Malawi","Malawi2014",3,39067.2683602388,36401.1034051773,39096.1866257328,57893.6128444954,15341.0844352462,22513.9087737914,3.33917930435185,22,13807.4327404043,4495.12734472054,17680.5921657819,31376.6477420504,-4035.81605462965,-840.407465739756,0.909628720470419,12,8029.32266747335,1633.39812419289,11115.5083432521,16631.3295085789,1772.21203261148,2805.28256017892,0.546214538895051,2,"2014","Sub-Saharan Africa","Malawi","Low income"
"Mali","Mali2010",NA,NA,NA,NA,NA,NA,NA,NA,2,1759.36017814646,1759.36017814646,230.672002574359,0,50.4552059429014,61.1661514688287,1,9,5854.55537738388,2057.11003760925,7451.8586580422,11512.9348446541,-2017.63109180298,-2107.24651690076,0.542230494336925,5,"2010","Sub-Saharan Africa","Mali","Low income"
"Mauritania","Mauritania2014",4,106103.229517819,23791.967896849,122512.621312598,202288.298305234,-72754.412886326,-43375.7964707346,0.541126172314042,16,61332.8832311818,23124.7926726668,83825.3414373495,104183.780575724,-30500.9818385071,-30044.7257458217,0.260800631897689,8,17709.3687624372,10152.7836320869,18751.8822487035,21716.8984683605,2883.0226680102,87.8910906701212,1.53429086329559,0,"2014","Sub-Saharan Africa","Mauritania","Lower middle income"
"Mauritius","Mauritius2009",17,3773.93902022281,2123.21177337039,3739.09993221991,6282.81766454538,3680.05363246262,2332.346399077,0.970225806849755,67,13173.5521271339,13231.5606870071,10133.0586285361,12849.6556820384,6933.87297490138,11224.7949489707,0.374756081263126,42,14218.5960390297,7767.86511472916,16402.4705712323,16018.3149650673,-3537.35049470819,27.6379947530152,0.915318337425525,8,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
