"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Lebanon","Lebanon2013",6,0.151728601619749,0.141656321204916,0.0342541329362483,0.0627892800840777,0.0272053961714898,0.0300607694113523,0.163823470486412,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",3,0.1227296463453,0.122143189807832,0.00501458444488228,0.00359807210126051,0.000471315645712004,-0.00181213456241862,0.478572917325561,0,2,0.29977111888371,0.29977111888371,0.307984286916807,0.435555555555556,-0.224626790275151,-0.208640248640249,21.9933852394886,1,0.4,0.4,NA,0,0,0,1,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",1,0.4,0.4,NA,0,0,0,1,0,5,0.0651119876631673,0.059998489436278,0.0214418184405836,0.0225,0.0015187824540848,-0.0068984126984127,0.839527496426015,NA,NA,NA,NA,NA,NA,NA,NA,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nigeria","Nigeria2014",1,301,301,NA,0,0,0,1,1,4,0.240747333660314,0.175765186375286,0.193562940851658,0.38,-0.0865529899467848,-0.105138888888889,1.57896773255871,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",8,0.196393890726696,0.230257724173339,0.138286847261455,0.18,-0.0507168873931453,-0.0584036592902426,0.29479162523562,0,4,0.0980916194484487,0.0696581034073836,0.196700376905829,0.132066666666667,0.0312167442158954,0.00966188006368377,0.637968046850258,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",4,0.0674830381918763,0.06214670163354,0.0435967412318737,0.0431564986737401,-0.0141990234445828,-0.018508839481265,2.14407345149584,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0183823529411765,0.0183823529411765,NA,0,0,0,1,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",2,0.136748239969297,0.136748239969297,0.0157012077712242,0,-0.00112890974506951,-0.00142338852408353,1.07227645032553,5,1,0.0528522657143968,0.0528522657143968,NA,0,0,0,1,1,0.714285714285714,0.714285714285714,NA,-1.11022302462516e-16,0,0,1,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",4,0.34577678911764,0.493658525346237,0.354943337008215,0.541428571428571,0.13794234407379,0.110749258028793,0.723319041824496,5,1,0.238095238095238,0.238095238095238,NA,0,0,0,1,2,0.0430336081030808,0.0430336081030808,0.0371938166904124,0.0526,0.0101254042936092,0.00976857142857143,0.670815039084324,"2012","Europe and Central Asia","Russian Federation","High income"
"Serbia","Serbia2013",2,0.0872392375240951,0.0872392375240951,0.0537092201499244,0.0759563075605054,0.0126593845934176,0.0126593845934176,0.75,0,3,0.0920852355568893,0.0921278416534957,0.0176077104424926,0.0241610883178579,0.0107294368581498,0.0108729265797448,0.356739687723688,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Serbia","Upper middle income"
"Sweden","Sweden2014",7,0.186440694902375,0.193269430818003,0.0707124674295702,0.0942857142857142,0.00278919892979883,-0.0120615321116149,0.603271075311311,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Europe and Central Asia","Sweden","High income"
"Tunisia","Tunisia2013",2,0.0717035855040244,0.0717035855040244,0.0251048450964764,0,0.0259843886457266,0.016935631210271,0.172344635126095,2,1,0.0578412382331644,0.0578412382331644,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Turkey","Turkey2013",3,0.156048783254637,0.129850674640631,0.170630037982619,0.264677570376572,-0.10418365768209,-0.0765692673590385,NA,0,2,0.683088808150392,0.683088808150392,0.306412938514171,0.433333333333333,-0.115920540201439,-0.108333333333333,1.69343627007512,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Uganda","Uganda2013",1,0.188314332247557,0.188314332247557,Inf,0,0,0,1,0,3,0.0394808513674913,0.0324878785464577,0.0476612629334193,0.09995625,-0.00322911026226616,-0.00321772932131495,0.953504672813192,1,0.113452914798206,0.113452914798206,Inf,0,0,0,1,"2013","Sub-Saharan Africa","Uganda","Low income"
"Uruguay","Uruguay2010",5,0.14513287274457,0.0996259375605623,0.0962017360807319,0.0790530543225534,0.00831621127932864,-0.00629901607810632,0.85795849584311,0,1,0.0911376266273931,0.0911376266273931,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Uruguay","High income"
"Vietnam","Vietnam2009",8,0.0710112171907656,0.0533422296949316,0.0620198092307878,0.0177319587628866,0.0169100898745576,0.00936886215600126,0.450793053726758,4,10,0.0772781157365826,0.0582907339455088,0.0583218561223033,0.0696347208278632,-0.00699464330254637,-8.58212694908574e-05,2.20442220997048,1,0.0574468085106383,0.0574468085106383,NA,0,0,0,1,"2009","East Asia and Pacific","Vietnam","Lower middle income"
