"countryOnly","country","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","yearOnly","region","countryDes","incomeLevel"
"China","China2012",17,18392.8131650138,14979.7950285812,16876.0527635868,11848.5802556182,-1009.38320903386,4500.10668989701,2.24099656763197,102,43128.3120015942,35745.8847968777,29034.2811418026,36513.2503821667,20254.1961191026,20454.9476637248,0.666666666666667,8,28,41269.3379632323,25292.7925954417,41105.3788016583,90877.4231733928,-23899.5071382094,-17301.1107982937,0.0706451023785855,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,44397.3744677954,44397.3744677954,NA,0,0,0,1,21,23979.6890844571,16453.8501942287,19187.8531410864,26057.3200341796,5065.28640877684,7562.47213757331,2.53678099565208,3,33,91492.7333537874,99153.0247368262,71233.8070694327,121625.984961426,-22876.5503904772,22553.8291618885,0.233181284248149,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,4,34990.3491571351,18856.8108065345,35418.9144997316,66011.4896649304,9199.03740733417,11423.9041121858,12.5190339257305,3,4,16116.5812925805,16112.0617256377,2307.79813377493,1651.18300884492,857.542368228569,879.181654640101,6.18801753999404,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Croatia","Croatia2013",1,37493.0785226618,37493.0785226618,NA,0,0,0,1,1,57630.9946549478,57630.9946549478,NA,0,0,0,NA,2,1,50715.2752963541,50715.2752963541,NA,0,0,0,1,"2013","Europe and Central Asia","Croatia","High income"
"Dominicanrepublic","Dominicanrepublic2010",NA,NA,NA,NA,NA,NA,NA,NA,5,18640.7187718922,23394.7753377291,7599.5615285421,12858.5390646991,-3660.05965862819,-2347.98419461998,0.25472668721317,0,5,19638.375047112,13824.6626458685,15357.2912916578,10991.8228407808,19396.3705043699,18741.4693696119,3.75673630640235,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Ecuador","Ecuador2010",NA,NA,NA,NA,NA,NA,NA,NA,1,16666.6666666667,16666.6666666667,NA,0,0,0,1,0,9,51783.7712676154,52704.2743972823,36427.4417265538,71343.4161490683,7528.98844174483,7704.06260397286,3.0276368455584,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",27,14407.0961838282,16529.4172439286,7068.06348168027,9397.0375904821,2153.94394097111,3998.47799989301,2.28260013228477,43,30745.6299367204,11700.6204848499,34828.1639459772,38749.106280813,-12053.4275760413,-5132.76720680367,1.26401807949839,51,103,9724.93827388224,6757.53824796658,7618.96315746325,9049.34528265392,955.981659909676,595.051958683803,3.46350277175471,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",NA,NA,NA,NA,NA,NA,NA,NA,1,96666.6666666667,96666.6666666667,NA,0,0,0,1,1,8,10243.2545996381,10272.0131658458,4395.96409800895,3961,1429.37436704154,-65.4018918263398,1.73305456553402,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Estonia","Estonia2013",NA,NA,NA,NA,NA,NA,NA,NA,3,52463.1953373638,58414.020649191,45699.8239810907,67574.1697615607,18356.7829538029,9970.49357990308,2.27143551205999,0,2,44345.4369375297,44345.4369375297,31404.6692353303,44412.9091544453,930.955828159337,965.498025096636,1.0531519762289,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",4,2019.9884458512,1295.52001590457,1876.30827150671,1525.64528188762,1632.37004292323,1632.37004292323,0.9375,3,11896.8361006544,5031.82327167537,14363.385433332,25255.4067192571,14352.588090119,14701.7689815299,1.84558503697259,7,4,6184.59189155475,5292.75410584385,5427.75394445714,7363.59684894252,-2874.12609797782,-3314.71977053811,0.624248447204969,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",NA,NA,NA,NA,NA,NA,NA,NA,3,20640.2028201505,18641.8072724968,14050.8281424141,10170.5652296674,-5977.112827577,-12633.8453012476,0.56787030910294,1,1,15446.9914042432,15446.9914042432,NA,0,0,0,1,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Guatemala","Guatemala2010",1,875.183317173924,875.183317173924,NA,0,0,0,1,8,12936.6984357214,8904.4482066346,15850.779778846,20566.8079535872,15127.4429295415,17512.6933085839,0.301606930665214,16,36,18112.6840099954,9971.21412611178,16930.6502049285,18378.8496606524,9640.36456638106,9483.02213790927,0.439275427348235,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",NA,NA,NA,NA,NA,NA,NA,NA,1,84678.0382215495,84678.0382215495,NA,0,0,0,1,7,2,30034.2416817058,30034.2416817058,39855.2387636834,56363.8191912189,0,0,1,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",88,14656.3810482894,10658.6932436011,10812.7400047592,14216.5650483152,2746.54169331135,3018.61758369115,0.462369640391812,171,26196.2507038783,14868.1649178363,27417.0366439312,30377.2757442632,5638.1883871297,8266.76911295424,0.975540996330382,43,262,28124.7104439881,16129.2388461081,27290.1816487227,32509.0143929834,-7589.28763130774,-7062.87650417487,1.06461540119253,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",6,2874.15266478318,3016.64400915494,2304.05568583536,2962.86547730045,-1346.0472687104,-1023.83817211999,0.2,68,2941.88389344469,2366.98441626278,2385.09821362133,2511.31391582822,566.897446445359,432.679740255553,1.41025159634785,60,68,1358.55558653981,940.565314496275,1446.775542087,1932.84574487193,1121.18694343799,1590.0478916082,0.980046508913878,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Jordan","Jordan2013",1,40174.8732007773,40174.8732007773,NA,0,0,0,NA,3,43341.7961595337,39669.4934359527,33712.1760097698,30773.6823339288,8240.71318603071,7338.35729358606,3.11111111111111,1,4,39548.5572288267,36846.7402619033,36492.257946781,58008.0530271224,-28253.1178404132,-30072.7833076694,0.125875706214689,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kenya","Kenya2013",3,141917.256584291,113125.352287888,150253.618570819,231389.552906606,92612.5027214299,129767.08039018,5.28281091658614,6,439793.77482069,11109.2726298569,1051888.64621894,28382.9420572625,-353615.760996098,-359001.938274589,1.02065846960543,3,26,30313.2866453109,16940.3528653878,29805.8364983455,47804.8231479652,-10191.7510376815,-6529.87560316364,0.570681213601704,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Kyrgyzstan","Kyrgyzstan2013",NA,NA,NA,NA,NA,NA,NA,NA,4,32633.4256654748,18980.0148431289,35579.0752475442,63030.770686848,-13302.730855705,-7589.67476177079,1.02377981358441,0,2,7306.73875330518,7306.73875330518,2422.60236987135,3426.07712770926,-930.423784685779,-1345.95887160007,0.712626122707698,"2013","Europe and Central Asia","Kyrgyz Republic","Lower middle income"
"Lithuania","Lithuania2013",1,7802.2946480855,7802.2946480855,NA,0,0,0,1,1,27865.3380288768,27865.3380288768,NA,0,0,0,1,4,1,36061.0256844288,36061.0256844288,NA,0,0,0,1,"2013","Europe and Central Asia","Lithuania","High income"
"Madagascar","Madagascar2013",17,992.525381777212,970.011101383976,684.126132507016,779.209903046487,-242.860568278999,-231.415878436341,0.59731241746089,17,1162.95829665502,1032.35451397231,1246.28118814441,822.595508892283,-13.3441028854005,-223.149307989245,0.0958009556886631,17,14,9889.19626833027,3359.2258011864,12070.5261312998,25274.1554303149,-3516.34798336981,-1176.17448603255,0.0915284941525636,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Mali","Mali2010",1,441210.042333645,441210.042333645,NA,0,0,0,1,4,3663.53419970499,3121.05687539794,3298.04149859246,5459.23892380831,192.892193996342,147.437689146493,2.15019968046822,4,3,883.831547076078,503.695339134615,1140.21846117396,1906.02738288135,-588.684631405118,-540.545331864763,1.13149417121696,"2010","Sub-Saharan Africa","Mali","Low income"
"Mauritius","Mauritius2009",6,4919.45097262601,2577.13971436785,5198.30114161751,9102.81585904891,5046.35480601365,3705.4978324017,2.35717199143266,17,17266.7694798201,8888.16703772092,19844.0799744636,14300.2676251171,35017.445522068,27646.6674482034,0.596115650882554,3,14,12653.3326105573,12923.7666286293,8272.75710997933,12138.8236655853,1384.93908756199,3882.08484406282,0.8103847476481,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,1,21142.9174001717,21142.9174001717,NA,0,0,0,1,5,17,30193.4825490795,30448.90993946,15409.1443166421,16606.5049695648,5113.75618723177,7862.81084869219,16.206730318647,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Mongolia","Mongolia2013",3,18224.2043753603,16389.3698590895,12223.4323222812,19910.0493103014,2809.62886353932,2063.84657484831,1.55555555555556,4,17117.1243414353,17029.7367447576,7888.22031675181,13384.6520515898,-1086.43303470794,-3151.62363141369,0.871859582877584,0,2,12227.5905555549,12227.5905555549,3979.89238368784,5628.41778579673,1112.59421347145,1112.59421347145,1.65384615384615,"2013","East Asia and Pacific","Mongolia","Upper middle income"
"Morocco","Morocco2013",NA,NA,NA,NA,NA,NA,NA,NA,2,4007.99872483771,4007.99872483771,2019.90360964665,2856.57507944867,301.125103893079,302.970084183949,1.27616112535391,3,7,31510.3166512761,29267.2570280684,16480.816418654,25712.0012096764,2901.68153949226,-3353.02175895435,1.1426902689584,"2013","Middle East and North Africa","Morocco","Lower middle income"
"Myanmar","Myanmar2014",NA,NA,NA,NA,NA,NA,NA,NA,4,6291.28060725801,4369.19044946303,6017.18102133182,13491.9827402787,-950.146649172517,-917.7112529115,2.42555238344534,1,3,17188.4079356959,17139.348989966,9834.3978699771,12544.3315716163,-1173.09615200693,-1001.19078271116,0.849741900468695,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,5,13829.2175165197,14157.5783996106,6466.33949021881,7440.08241651392,-1099.7092169803,-1115.0840099474,0.815451169421668,2,10,19657.9306498824,18247.6526632592,16703.5545342226,20956.2321398476,1558.03458337992,15222.8805126001,0.544349548223702,"2013","South Asia","Nepal","Low income"
"Nigeria","Nigeria2014",1,833.765601598292,833.765601598292,NA,0,0,0,1,15,484.718063824241,317.920314668813,418.264900488857,574.277327631477,32.0577160325642,43.2149898780725,0.727496539157329,18,13,1239.09956197291,1005.40279225317,1078.95470090344,1724.06499916417,1028.41151993948,907.911298160778,0.881558979447653,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",1,234.93351017976,234.93351017976,NA,0,0,0,1,20,19502.5158678782,6538.56006667329,21073.1247444519,30541.3563233688,7638.9345197393,10655.5140831472,0.562768816173208,103,43,19503.4140248176,7635.33908084219,24390.3064942897,31758.3374942748,19234.8796026182,13613.7013561047,8.75,"2013","South Asia","Pakistan","Lower middle income"
"Paraguay","Paraguay2010",1,9230.5575088907,9230.5575088907,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,11446.0221690345,12998.7398289992,9605.21327402435,13000.2826262335,11195.2702669858,10638.9553839023,1.08264380675996,"2010","Latin America and Caribbean","Paraguay","Upper middle income"
"Peru","Peru2010",3,27185.1327994291,27671.6263444952,1577.65524540518,3040.71642631224,-160.111799642,-160.111799642,1,15,18450.0146541397,14257.0961174847,14568.3587340245,12212.4110933705,10970.7358564233,11756.4639379886,0.0995099763232259,10,24,36709.0495831361,27270.3708124711,25973.1862354477,31213.5945165906,4609.36710031661,2659.14168504622,3.01293656511639,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",NA,NA,NA,NA,NA,NA,NA,NA,7,11535.676640175,11996.29993538,7430.83659325661,4255.50221736785,-396.441848928316,-1690.75003282804,2.78232534669471,1,9,23532.6802450485,19161.7065955696,21940.4953824399,13529.3686723745,2557.60028765057,5607.44104597655,1.49539101082298,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Poland","Poland2013",1,14604.6768420331,14604.6768420331,NA,0,0,0,1,3,40570.688913305,38878.2827479709,16678.8984993819,23334.5400671582,-9570.81529998822,-10002.0067816849,0.122124128296231,0,4,358033.374473346,220645.844277545,447759.252061826,400824.510940831,-258932.730925421,-262846.5654781,0.287143560191631,"2013","Europe and Central Asia","Poland","High income"
"Romania","Romania2013",1,190496.165476908,190496.165476908,NA,0,0,0,1,2,5951402.99124067,5951402.99124067,7740832.19058297,10947189.8679767,-1913713.24634733,-1877802.64158724,0.727227746609979,1,1,11112.2763194863,11112.2763194863,NA,0,0,0,NA,"2013","Europe and Central Asia","Romania","Upper middle income"
"Russia","Russia2012",1,16265.3326081557,16265.3326081557,NA,0,0,0,1,4,12933.9982394583,7192.82957507039,14742.2699966419,29975.8359360989,-3425.59876752693,-3026.06796318294,1.14101284423232,6,3,27840.9922251511,24499.7974836504,25913.6109947993,35285.0761347207,-3074.90988643919,-936.111979834451,15.3549983240316,"2012","Europe and Central Asia","Russian Federation","High income"
"SriLanka","SriLanka2011",1,10965.4247425811,10965.4247425811,NA,0,0,0,1,7,2331.60546566126,3012.60082461557,1136.31229456246,1747.47804662648,153.401307348531,-364.704024499342,1,5,1,5242.43413987943,5242.43413987943,NA,0,0,0,1,"2011","South Asia","Sri Lanka","Lower middle income"
"Tajikistan","Tajikistan2013",2,1679.07714007207,1679.07714007207,138.654216244745,196.08667309353,-69.9753555732355,-62.3912141661232,0.501925699116333,4,9285.13140572256,10966.9110556219,6447.36382478236,10791.493235484,2489.01960260116,1812.37510845229,16.9588808476336,4,3,1249.0229036273,1028.29449448102,1445.49739910395,0,-353.938811065008,-897.513001972876,0.843230414418029,"2013","Europe and Central Asia","Tajikistan","Lower middle income"
"Tanzania","Tanzania2013",6,912.283502258355,874.215598641027,140.902934658989,200.211340961512,-5.74515033808574,-7.8654455377738,NA,11,1483.81672850168,1284.21635828749,1041.72894288599,1411.48995377868,292.001421574858,833.603280022662,0.790466152383941,17,3,779.385457515613,793.772592402627,888.302510842489,1281.35258215369,117.027085802579,-0.215281011786548,1.25,"2013","Sub-Saharan Africa","Tanzania","Low income"
"Tunisia","Tunisia2013",1,43482.3157397689,43482.3157397689,NA,0,0,0,1,1,77108.6399118569,77108.6399118569,NA,0,0,0,1,1,15,38678.9643524276,36848.8861052263,28725.1913139575,28189.919773444,-7377.14586504251,-3977.615326171,0.506393185383012,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Turkey","Turkey2013",22,29568.266357331,25587.6057550589,23011.0639107671,29727.9294076695,2092.14479469585,-1855.52338934739,1.85597042837729,34,36852.8324527971,18858.6428262185,36440.3748521734,62393.7310504917,14231.462671439,34943.0729793589,0.99233795798813,72,41,47364.3411453477,33881.6866795397,34395.611514244,28956.4417666159,7152.53995403568,-5360.37326757242,0.863155552655832,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Uganda","Uganda2013",5,2778.85211992843,1771.42210848615,2518.26212906195,1193.12041178107,1281.55339292201,1312.6803740837,1.2958906639041,1,37962.9221930339,37962.9221930339,Inf,0,0,0,1,30,7,50044.4258168448,17896.8079485585,58832.4222477303,111674.262784508,51146.10312629,53863.4766131854,2.34127146185924,"2013","Sub-Saharan Africa","Uganda","Low income"
"Ukraine","Ukraine2013",3,10606.4681700109,11204.7165482093,8080.89576695237,7592.61083670761,-6941.16477473941,-2857.14509649745,0.323432549263693,5,24944.449894548,31132.8634443732,15241.2099110155,28634.9894412972,4533.24735732695,1404.03346770856,NA,3,6,7752.97953991399,7576.94836404617,3940.45059732134,5272.39077091777,-2588.6463951142,-1866.38882045996,0.0531614321916458,"2013","Europe and Central Asia","Ukraine","Lower middle income"
"Uruguay","Uruguay2010",1,130325.179133045,130325.179133045,NA,0,0,0,1,9,17511.1297249165,17704.8075181414,8325.5292891996,6000.38845591728,2035.1120070974,3925.80003483993,1.63544884965505,12,22,27482.1295529171,25729.6532953422,16903.9969066025,18950.6003711748,1554.75696238103,1063.78060186101,1.3670910763885,"2010","Latin America and Caribbean","Uruguay","High income"
"Uzbekistan","Uzbekistan2013",9,17024.8202198042,6304.09750096842,24624.088074747,25867.3529006887,9437.2525083799,6483.45153858293,0.746540963572388,5,65498.7743752542,9501.31912928528,82532.3884421803,143600.712487176,-42416.2684799764,-30875.6043668165,0.135250242969459,3,7,66097.1728352823,63264.011164439,35677.1977456456,45027.2173559412,-18130.0426906334,-8855.46167887911,0.145104913087262,"2013","Europe and Central Asia","Uzbekistan","Lower middle income"
"Vietnam","Vietnam2009",12,10319.2502515208,10018.8089784763,5633.8738651745,3400.35822576393,406.639940440166,102.656376747938,1.21619500789323,58,21336.4629245044,15385.4839673141,16135.4287427353,24042.936949846,480.472826705889,1867.60241567305,1.35584280703228,10,19,15675.8324034726,10862.2260657456,18858.9009121078,20008.7194772225,-10853.8633784686,-9336.28975995651,0.0620348921757665,"2009","East Asia and Pacific","Vietnam","Lower middle income"
"West Bank And Gaza","West Bank And Gaza2013",1,20959.5772877974,20959.5772877974,NA,0,0,0,1,1,4931.66524418762,4931.66524418762,NA,0,0,0,1,1,2,18052.6351482067,18052.6351482067,2075.72258137326,2935.51502630215,-392.709911656089,-386.25197714502,0.770944367732256,"2013","Middle East and North Africa","West Bank and Gaza","Lower middle income"
"Yemen","Yemen2013",NA,NA,NA,NA,NA,NA,NA,NA,3,2639.78195355948,2914.91720846474,513.56819705131,909.89611858431,115.75572374414,115.75572374414,1.38461538461538,0,2,6767.48064771285,6767.48064771285,2591.05838738629,3664.30991234225,-1051.57745987632,-1177.81390039572,0.666756622412848,"2013","Middle East and North Africa","Yemen, Rep.","Lower middle income"
"Zambia","Zambia2013",1,67134977.1411437,67134977.1411437,NA,0,0,0,1,4,6947010.02711492,5084937.56033116,5767708.11778965,6479893.16731512,5715564.17551436,5605600.71199659,0.897681734697768,1,2,29601022.1426027,29601022.1426027,54677906.1575951,77326236.4502344,17433987.7633753,17574144.6477806,1.44336441182305,"2013","Sub-Saharan Africa","Zambia","Lower middle income"
