"countryOnly","country","N_Do not export","mean_Do not export","median_Do not export","sd_Do not export","iqr_Do not export","OPcov_Do not export","OPcovNoWeights_Do not export","indAlloc_Do not export","N_Export","mean_Export","median_Export","sd_Export","iqr_Export","OPcov_Export","OPcovNoWeights_Export","indAlloc_Export","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Dominica","Dominica2010",17,0.47201581409651,0.456024855950631,0.0684652953402066,0.0796710526315789,0.0235320613298817,0.0274603201195808,0.286666666666667,7,0.454478734460243,0.483753741604058,0.152485266541841,0.243333333333333,0.0534673986934403,0.0577116143906013,1.46428571428571,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominica","Upper middle income"
"Dominicanrepublic","Dominicanrepublic2010",72,0.416920019698428,0.4,0.143379441879221,0.192168821666667,0.0502662416433103,0.0413921850178115,0.375426859415308,41,0.4322988332693,0.409034540238035,0.153206264526761,0.136363636363636,0.0487362439091415,0.0412857703211953,0.179935334756965,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",178,0.175321058443021,0.158319397303831,0.134691316607434,0.230555555555556,-0.00460015460569226,-0.0153032769722514,0.743039866615003,22,0.140444740468913,0.117455725121706,0.135700988238113,0.192998536194957,0.00175271263417535,0.00277440645238131,0.55880217853284,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",66,0.422523561786465,0.475312215986296,0.213528983230807,0.244747081712062,-0.028258640344449,-0.0182175185268705,0.603625554079169,34,0.413194980010153,0.492032061220024,0.229754004591691,0.366265060240964,-0.0762297095166242,-0.0770953837666487,1.4486641790793,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",1207,0.444294241767067,0.437813942537146,0.241842856877256,0.314285714285714,0.044059157855691,-0.0152776184781824,0.9,348,0.409847220545124,0.371250137824102,0.270492127712914,0.4,0.0344372858413593,-0.00922399761861824,0.691141464667783,35,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",30,0.516303206726272,0.535185651664202,0.281953430309893,0.318785578747628,0.0276705128588178,0.0351846250706661,NA,67,0.448698848365951,0.5,0.222495277551566,0.354450095928469,-0.0193022994977896,0.0127168063764685,0.336053792504025,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Estonia","Estonia2013",11,0.491593539421184,0.410686881431312,0.256375809086737,0.481116510679146,-0.0487801213452604,-0.0332433081614489,1.17888927531152,51,0.3181934791944,0.254680589507077,0.225549080909873,0.373726981310387,0.0754280286431245,0.076397387434779,0.633663936447524,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",105,0.442148206938768,0.329175517815031,0.395651752047823,0.56064265389687,0.0764210265514468,0.0341746334353108,0.529390154298315,23,0.256839284601267,0.211773928229665,0.236500682974202,0.221282991988097,-0.044041322186535,-0.0449806601472933,1.92727272727273,15,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",56,0.449484406769844,0.406663164122238,0.182294634010899,0.22732648853605,-0.0166995711375624,0.0116188927187699,1.65588390298061,49,0.274832694474137,0.169605857362477,0.292134699942538,0.48,0.101080350550517,0.0592681942094264,1.37984619459474,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Georgia","Georgia2013",57,0.4822274145457,0.493159436794947,0.237145021728666,0.337396956878858,-0.00134701602506058,-0.0192565899707045,1.06441301456975,12,0.545181785270173,0.579209011184287,0.31037727644197,0.281739130434783,-0.0220762581218004,-0.166087265669913,0.130519786235393,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",186,0.308620044642808,0.299812628728078,0.236820519590779,0.394186413654968,-0.0374744185069423,-0.00725610680849313,0.66223268164493,58,0.30420430729331,0.267017502799559,0.22953963659078,0.433333333333333,0.0209817043997515,0.0276597398230246,0.1494183131133,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Grenada","Grenada2010",14,0.418374007186689,0.391518091249331,0.253131362475906,0.313894523326572,0.206642144108994,0.214898317038712,0.0936316300354817,8,0.507754225804002,0.495157496869866,0.320889951625024,0.236472273906337,-0.172475956816322,-0.159890360237636,4.16666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Grenada","Upper middle income"
"Guatemala","Guatemala2010",126,0.354245974469328,0.333333333333333,0.188483545035245,0.265714285714286,0.073307015062631,0.0817430956204145,0.130558920336992,102,0.410592877356825,0.410882952886935,0.204960863171682,0.263187520102927,-0.00993693322757099,0.00862423392317227,0.460871480488534,5,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Guyana","Guyana2010",31,0.472232033248593,0.482036658693949,0.21515160497473,0.288074001470228,-0.00578478649431864,-0.00136704103642978,1.15987604958995,31,0.427678319884988,0.411787594192381,0.208428381109097,0.298927118017018,-0.0951780278353273,-0.0895049801058163,0.446675068880288,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"Honduras","Honduras2010",79,0.32947449238645,0.252521779552095,0.255523993884794,0.288888888888889,-0.0733280934265794,-0.0830823022368621,1.20604393069819,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"Hungary","Hungary2013",20,0.288357761105386,0.174298640208822,0.289688192129498,0.506037735849057,-0.166631307590417,-0.130598093163404,1.25304715320051,19,0.314397836229408,0.217886612541847,0.285977342306398,0.592307692307692,-0.00840393824566236,-0.00167537452332566,0.396117569485149,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Hungary","High income"
"India","India2014",5474,0.535725973734659,0.566666666666667,0.188287565237137,0.219,0.0255604454686546,0.0121468458069299,0.921289403989518,1195,0.581470451725928,0.605172455351899,0.181415926934358,0.2,-0.0150457443818926,-0.0082138738147499,1,46,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",723,0.367211828302499,0.333333333333333,0.241378749686343,0.310526315789474,0.050674075304487,0.114262021593858,0.75,150,0.356812188357207,0.374159463322137,0.21759320160566,0.320833333333333,-0.162194540327385,-0.0333299896020575,0.314702475366498,19,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",447,0.186149645917862,0.142857142857143,0.174591173689235,0.211363636363636,-0.00616064722238733,-0.0113877326360019,1.42857142857143,18,0.236670328816,0.128723374403743,0.214767677395647,0.374025974025974,-0.0419005453499507,-0.038460528769301,0.872503913458727,6,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",81,0.394754068071292,0.372816506143843,0.135560131258058,0.121212121212122,0.0730734041777072,0.0470049605916202,0.728955280969953,63,0.366884102619165,0.401493352487546,0.196552095074541,0.29,-0.00448082418120462,-0.0169342570408408,1.87590546239481,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Israel","High income"
"Jamaica","Jamaica2010",77,0.450782410922822,0.428571428571429,0.088940666010639,0.1,0.0435588670582656,0.0868422271988072,0.5,28,0.459559441305007,0.465700210550269,0.085816538359863,0.067567567567568,0.0690341209100542,0.0519277015510493,0.181404328292824,4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Jordan","Jordan2013",119,0.2933132117674,0.269911062284927,0.208502953150543,0.266666666666667,-0.0408387451144616,-0.00365655089896652,1.01374535353948,133,0.388673717455465,0.4,0.213721212208589,0.350455373406193,-0.0884547381664398,-0.00639897785313736,0.313907767424372,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",97,0.4572912752224,0.468530976444357,0.183464725672119,0.238095238095238,0.0128988773925809,0.00119549463600583,1,12,0.507018537914901,0.533091591400784,0.228834650934669,0.285959727789096,0.0903703057040293,0.0802504341972431,0.690342175593262,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",127,0.250924392447055,0.190512183492626,0.221207516640777,0.348,-0.0544169090509811,-0.0750444018456496,1.11111111111111,162,0.203042690058983,0.102293929205694,0.19666473566028,0.298319327731092,-0.0469475843877217,-0.0533737387524557,0.944305037186497,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Kosovo","Kosovo2013",29,0.294338100341585,0.206098255506422,0.236175153570365,0.225652804642166,-0.0273234033228268,-0.0686936704324137,0.822302821355534,17,0.42855496842572,0.39136324746897,0.16411642656307,0.161290322580645,-0.0399816727449646,-0.0476484934382175,0.856182919274777,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Kosovo","Lower middle income"
"Kyrgyzstan","Kyrgyzstan2013",44,0.509769158547498,0.504765214710969,0.183799761395701,0.23914962962963,-0.0624059795127164,-0.0745864293958551,1.17866294637817,12,0.479962014604953,0.465116394854126,0.290127222143255,0.447867843260642,0.0817806801084278,0.0414692937667219,0.541471861628202,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Kyrgyz Republic","Lower middle income"
"Laos","Laos2012",34,0.255414271301896,0.168990877657744,0.218092798075552,0.288225108225108,0.277646439584533,0.221856116383453,0.206672371772502,35,0.59619234585243,0.318948917941602,0.649392670053276,0.711433333333333,-0.123842354015882,-0.00337034896439925,2.42839605720492,5,NA,NA,NA,NA,NA,NA,NA,NA,"2012","East Asia and Pacific","Lao PDR","Lower middle income"
"Latvia","Latvia2013",11,0.586766229625741,0.75,0.259444734712852,0.29472,-0.0845572914409527,-0.0186433493638101,0.912307234187188,27,0.517081460576887,0.5,0.219568572343525,0.282635995141546,-0.0384700545545076,-0.0427085123631895,1.4390430044079,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Latvia","High income"
"Lebanon","Lebanon2013",69,0.337676063978567,0.361354790749942,0.206943476899363,0.325,0.0772601483541723,0.086195259140326,0.565655311488358,91,0.353833446197605,0.333333333333333,0.183554568188057,0.253928841607565,0.0439496122549779,0.0602980614789803,1.57544731067944,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Lithuania","Lithuania2013",23,0.517829801248126,0.673337665194094,0.30976552869777,0.5078231292517,-0.143214822115147,-0.020392083657822,1.15790279051082,35,0.291853116215348,0.261305246149244,0.224412739663772,0.3509125,0.0742715826513655,0.121013250622958,0.705313309308639,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Lithuania","High income"
"Madagascar","Madagascar2013",122,0.330364526589768,0.247257605509068,0.327708190099605,0.345294391086133,0.0637231180145646,0.087820778077121,0.265138747283385,57,0.320839629012848,0.214891691787268,0.367562182250975,0.437297297297297,-0.025543877643191,-0.0660503156586896,0.42769818544761,16,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Malawi","Malawi2014",34,0.320697786413963,0.252315930513836,0.26840447005786,0.476666666666667,-0.114455265122843,-0.0700751733297935,1.01236523821484,5,0.225054017622659,0.221364720151827,0.245741122594894,0.273382222222222,0.195515213681488,0.114362893494085,0.116420025218183,2,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Malawi","Low income"
"Mali","Mali2010",34,0.154246098378499,0.0736982652219903,0.15883260432299,0.277272727272727,-0.0107369533424914,-0.0172111088661948,1.32921028384514,1,0.06,0.06,NA,0,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Mali","Low income"
"Mauritania","Mauritania2014",9,0.330171663231081,0.414383901995226,0.274656992646121,0.425783278228538,0.0462218384541984,0.0240880542645656,0.176033755648213,22,0.399173602065508,0.396686906494727,0.287307940305634,0.520888888888889,-0.0394326392055407,-0.0598989108941411,1.00686365052404,1,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Mauritania","Lower middle income"
"Mauritius","Mauritius2009",74,0.279141583608388,0.15872433052227,0.233345510115967,0.304545454545455,-0.13009707767858,-0.155944371081182,0.232292918118438,60,0.322944481692234,0.350070872892901,0.288350265979588,0.407142857142857,0.136863595808265,0.0593468740814499,0.217869703593661,1,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Mexico","Mexico2010",710,0.365403662898803,0.365986571429465,0.201420353977519,0.3,0.0155832879789747,0.0359430142164088,0.75,369,0.427993320800595,0.416666666666667,0.202531352240033,0.294302413376486,0.0659615210321684,-0.0108776265595243,0.680081423673575,5,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Moldova","Moldova2013",43,0.398690440864541,0.4414838849519,0.192183664574376,0.24910261073072,0.0328598713017489,0.0959495361527059,1.21085291740446,22,0.253338598024318,0.0800765780361449,0.285147132830671,0.481008522727273,-0.152079671156114,-0.0512393453392642,3.09593541224645,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Moldova","Lower middle income"
"Mongolia","Mongolia2013",75,0.367884936430178,0.399969736420475,0.216993330126796,0.329905843793516,-0.0295075330219217,-0.0446843616684347,0.91675704838232,15,0.437075521583375,0.45574475574008,0.222899069824176,0.233333333333333,-0.0532480776252233,-0.0661885273431403,0.844675659968731,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","East Asia and Pacific","Mongolia","Upper middle income"
"Montenegro","Montenegro2013",14,0.32804966222824,0.369501333144547,0.165099482339571,0.233333333333333,-0.0533761289650032,-0.10731750389921,1.2,8,0.45706164732548,0.493854266429304,0.217444803739194,0.145454545454546,0.0422717393354624,0.0590671409195184,1.53316730899048,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Montenegro","Upper middle income"
"Morocco","Morocco2013",65,0.349000632916019,0.386297067565531,0.277655636569775,0.581578947368421,-0.151188760465028,-0.183971337907106,1.01488858015427,64,0.310999876197004,0.2383882846916,0.258488207788253,0.416666666666667,0.00836676902311592,0.00584523197666172,2.1257772242318,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Morocco","Lower middle income"
"Myanmar","Myanmar2014",211,0.30555905831995,0.277777777777778,0.203012800377627,0.309027777777778,-0.0788711516904807,-0.138133609499726,0.862796091567249,55,0.191548308273659,0.055923734900312,0.239306444958907,0.457142857142857,-0.126892892024211,-0.0955229142648781,0.331576558243338,0,NA,NA,NA,NA,NA,NA,NA,NA,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Namibia","Namibia2014",36,0.561847769177027,0.465074779815822,0.599493636240811,0.575,-0.229333251502817,-0.220624828787493,0.315150509024376,15,0.237102061519378,0.115589465454696,0.267116406692551,0.499200568484633,0.0244894810077438,0.0180844848078629,1.89884839703221,1,2,1.52498750624688,1.52498750624688,2.08598267333543,2.95002498750625,-0.762937496768857,-0.762937496768857,2.07142857142857,"2014","Sub-Saharan Africa","Namibia","Upper middle income"
"Nepal","Nepal2013",201,0.480536420851432,0.485920005112318,0.197552263556551,0.242857142857143,-0.000389013353467247,-0.0483749215824243,0.619365297031079,37,0.442424637991058,0.462695718618694,0.12845619301014,0.238461538461538,0.0785331230690589,0.192876171574015,2.1259176712835,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Nepal","Low income"
