"countryOnly","country","N_0-10","mean_0-10","median_0-10","sd_0-10","iqr_0-10","OPcov_0-10","OPcovNoWeights_0-10","indAlloc_0-10","N_11-20","mean_11-20","median_11-20","sd_11-20","iqr_11-20","OPcov_11-20","OPcovNoWeights_11-20","indAlloc_11-20","N_+20","mean_+20","median_+20","sd_+20","iqr_+20","OPcov_+20","OPcovNoWeights_+20","indAlloc_+20","outliersOut","yearOnly","region","countryDes","incomeLevel"
"China","China2012",182,43777.0627619361,25853.1731143576,45445.9985092319,41194.4363285984,39345.9443781759,95837.089023149,0.634227061142583,1037,47619.7640850273,35951.508068595,37510.407858388,43940.7320838383,-1876.40240297572,4517.48559614268,2.5,387,48738.963614198,42364.6270579877,36941.4110897218,41900.0063842924,-7051.48351005026,-1335.56074936893,3.68770851107659,85,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",19,27568.8650663876,21344.1542170037,20853.5207446503,18227.1403862858,3665.0371690225,7715.75317753785,0.858309244382193,190,23219.340658364,20592.7593585482,16870.4513796831,16031.6437988698,6114.45057321829,8369.8159543002,2,415,49546.2815373595,40541.9949871418,41179.9493862166,45804.1804589422,17248.7954192391,38250.8758282889,2.83333333333333,48,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",11,15922.5198260607,10738.1640922814,18721.1836088477,13256.8631710094,5000.46316833612,-2723.14839218769,2.18893132758446,68,32353.6849169468,29072.0683574768,23061.7037016511,30816.3924589254,7421.668760005,6194.16056597401,1.89875930565163,179,33892.4463218768,23563.9880880623,31395.9571686319,32948.3441384737,19694.0532604953,18984.9357658418,1.53107616052603,12,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",33,2081.78258002013,1949.73474529878,1498.73855802016,1886.31405593155,162.418214295207,111.114082496555,2.12540573712457,85,5226.16237357656,2143.53869992222,6764.30319107011,5748.58105888233,2520.7053412583,3013.00945498795,1.2,51,20464.8300570569,2572.24643990667,33638.0208528759,24293.4385991185,18608.5808263254,6374.69447574027,1,33,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",19,55591.9385435424,54252.8589523407,32687.7818570049,45281.4958003162,13064.7103377901,8961.03787317604,1.66798764006348,29,88037.3912939296,66992.9163264532,68904.6766915565,86537.9697517151,21596.7072458517,10026.8839146763,0.34593603212347,58,70222.3077839697,53947.8928095956,50573.6627034324,53455.0271449815,48894.5220154823,43700.527511103,0.960334371038216,4,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",4,90953.2645642947,58211.6860718415,68382.5945706322,125151.434185697,-19130.8229276377,-9316.97723793947,1.09669313916055,39,104915.755216041,87213.1239301803,65514.6727600747,85959.3283514119,-13026.9161121056,1099.4469937458,0.8729783723614,51,54817.4437885078,39746.2635341431,49013.507740332,53422.8510106109,-10308.6812302574,697.645435293545,0.736884772327817,8,"2013","Europe and Central Asia","Czech Republic","High income"
"Djibouti","Djibouti2013",15,169611.651930545,170549.863857122,151285.593927529,300134.363123503,-59985.1171554814,-59935.1369052628,0.644636136926427,19,36144.0787944922,18181.100641845,42393.8901157134,36000.9652736525,-7336.21051273858,-4718.2789373221,1.04967595634335,15,39555.5329828752,18189.9614014244,52794.0250751334,37449.9205323444,-1903.88157247821,-3420.15842387636,0.19250046973155,5,"2013","Middle East and North Africa","Djibouti","Lower middle income"
"Dominica","Dominica2010",3,19382.7160493827,18518.5185185185,4324.51355262642,8518.51851851852,-101.670297748729,-101.670297748729,1,9,54652.4560559648,59047.619047619,29337.2173080525,40740.7407407407,13248.7785119364,14177.3658153636,0.931818181818182,11,43042.2272030854,25170.1058201058,38018.7316833379,41515.1515151515,-5496.91417892293,-5684.38924985981,0.29144385026738,1,"2010","Latin America and Caribbean","Dominica","Upper middle income"
"Dominicanrepublic","Dominicanrepublic2010",2,14371.5304100543,14371.5304100543,4593.72790457862,6496.51230450683,-3812.2487622832,-3007.64458541983,0.37037055602028,36,27563.6083782951,22274.4388568487,23426.076135644,40347.0775800638,4497.91984238162,10928.436062947,0.0216639078878353,74,28389.9745557012,26369.1302515319,21143.7452818063,21459.7906452152,3876.09760412821,1626.72383863485,0.416396119043899,4,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",84,3009.94712080469,786.164751078364,5259.92158183216,2523.92233638077,1314.62325215354,1194.56869179382,1.17082369230943,58,2734.83443540738,1129.69948499854,3774.81459430527,2953.74451595633,-391.552878333195,-233.846449130491,1.01722513446798,45,13998.9130802349,2108.04826506383,31146.7633637297,8186.28226245407,11606.196124814,12919.6655450581,0.65831861212868,37,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",6,15079.963779631,15436.2708768411,12261.6246675456,15972.2222222222,10050.2762334984,3317.99148396065,0.909882609718029,21,54602.9614930065,51255.0771484383,36881.1912397713,64141.0256410256,-6788.20428596733,17486.950884535,0.556668104478845,81,45410.8379361483,34533.7173145563,39912.7205408103,44250,17522.5689770403,17486.8867423059,2.20923827572397,8,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",429,19829.8733265045,13850.0184092808,17629.0465335567,19055.5738510427,1972.95938734988,2363.93546059226,1.88888888888889,491,22332.5535046252,13083.3907701021,25063.8514943031,19446.6762810153,2653.00294629283,3136.81120904381,1.72727272727273,674,13103.5319011232,8506.13204548452,12617.918997979,14051.5616870896,368.479053127828,390.540899799995,1.55555555555556,147,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",2,53546.2520619082,53546.2520619082,6859.95715397123,9701.44444444445,1226.69164184025,1212.68055555556,1.26898834123345,27,21110.4710161791,13030.2862140684,24307.2643241963,15589.1472868217,5937.5740011756,2722.53459094449,0.909990431309114,85,23487.5284021436,18968.9347922465,16283.2550278791,12980.8571428571,4308.58807733165,2231.30932514859,1.18162789893613,11,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Estonia","Estonia2013",13,169859.63116914,100615.167640477,161381.927214097,147102.722104804,-50944.2172218894,-48694.1742784751,0.935333452084122,27,55860.1846105534,31849.8127113408,62189.6352724651,69172.4446599481,15468.356071036,20603.4997501151,0.864948911594847,36,57374.9135455136,48464.9274870079,36049.0022368037,32457.354211294,9254.09405186804,2800.77885781987,0.444886647532203,1,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",68,8148.4679484197,5925.78807091578,7440.05691028694,9394.368307882,-1311.19490973638,-395.931067670713,0.663524921938244,110,14224.8384599774,9630.80781983582,15843.8636284874,18441.0145804598,-2998.76208590159,-2220.66935321406,1.44918699186992,50,27473.6395092374,8057.90496465906,32696.5083786817,63408.013753491,-12066.2636271431,-7711.03308064172,0.306216157304397,13,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",21,20148.2556072967,18644.5363139392,19234.1908465055,23523.4805954102,-9256.57987027454,-7223.21973947656,0.162162162162162,53,38228.2637927825,29720.1061276485,34106.1093309177,37158.5959890962,-14390.3582389456,-11072.6367333431,0.649169855574458,41,23730.2139393987,19776.7134801874,14506.8386908648,22855.8261703524,1462.61187096428,3684.58453038949,1.76600229205239,7,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Georgia","Georgia2013",43,16769.3350452695,10106.3948034639,18742.7722174178,20796.473878167,-3757.85596557892,-3552.54754575136,0.409679953783467,34,11728.9463751365,9325.50897284438,9617.51517872079,10062.2359007089,-2260.44101903687,-100.603592501549,1.08756366428636,13,11970.1110087625,11810.867000384,8542.62985149289,7460.9615826738,944.636458363771,-3935.52181260636,1.10706556075068,8,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",68,13746.3779549639,6363.73595239176,17558.6700131814,13086.3795299862,18876.7381956713,7149.85884179265,1.6,110,9119.72313607786,4765.10111004216,11679.2478419185,8904.48187230104,1380.37891745991,1369.40841454476,0.904921165940147,101,16168.685203636,6759.14258739044,20318.0163197577,20835.3516580915,19551.4009700098,18138.6815136733,0.919028164893817,20,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Grenada","Grenada2010",NA,NA,NA,NA,NA,NA,NA,NA,5,15894.9728832298,12973.813913807,12870.6352007418,8296.2962962963,-3850.25488511919,-4296.15134271738,0.195370370669313,15,25292.1065192043,22587.0561124442,11905.4578202295,13765.4320987654,-482.683785082874,75.001865920146,1.01324736766474,4,"2010","Latin America and Caribbean","Grenada","Upper middle income"
"Guatemala","Guatemala2010",5,11732.735190521,13580.3016380375,9571.46297002711,11669.1108956523,4686.20536619326,4927.23308683071,3.51621007076118,55,17045.3147868647,9012.27236058216,18660.5387372984,20129.2162950003,14036.6599551499,7189.8349654585,0.645208278611781,186,16186.8774948587,9210.67935673245,15984.1987767028,14932.81534928,14774.5775300939,8260.36210446917,1.13232463739879,23,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Guyana","Guyana2010",2,21063.2632998284,21063.2632998284,2455.70054851605,3472.88502083844,578.814170139741,578.814170139741,1.5,13,28827.93962146,17196.6255943828,28702.3937746385,25060.6085369508,-12467.1748542293,-10860.6969442257,0.0735757996841502,46,41486.3271952447,29374.2623085377,39898.7056437434,45286.4115154275,7833.20389460773,7242.68170834955,1.558166152129,3,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"Honduras","Honduras2010",NA,NA,NA,NA,NA,NA,NA,NA,37,16328.569707529,9055.42967002241,35834.1290766291,6615.47173605856,27422.6611615664,2765.87896463501,1.3752560834916,93,12354.7820649855,12850.213261774,10771.7570129399,19354.9801649256,4061.83978732351,2156.30924564842,2.88581293179888,17,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"Hungary","Hungary2013",9,215899.064225427,77795.6075431745,293824.162113335,208614.187053081,-74770.9383758468,-44973.3522722712,0.278219676920341,24,110978.43923769,54399.1996387263,136600.519106642,144425.206421364,12884.54189054,9368.23584125179,0.631578947368421,29,122708.594783732,86073.7785569787,101300.559081372,132389.772552917,-23918.4643979306,-7387.69278705454,1.38439234574549,3,"2013","Europe and Central Asia","Hungary","High income"
"India","India2014",1218,23270.607975921,13617.2101753183,24201.0895695045,23049.4241392874,2258.98020246513,4613.87120471205,0.96,2250,24242.1452535255,15226.7046337159,25305.5099522101,25124.0626456312,2695.78148541463,4753.5047145268,0.8,3032,26928.1930342719,17764.4887393352,26440.8638969976,28709.9515868713,1983.75591347734,2023.19151928067,0.8,486,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",34,2112.84334580521,1356.45929253575,1909.74246028775,1974.41232003046,-317.65814038533,-330.02594573093,0.911890465501227,338,2570.14349578218,1903.06928848128,2294.82092203833,2641.55585132497,-212.082108595433,1198.73072281906,1,462,2455.82144521494,1382.30803840912,2812.77602877817,2902.7324985711,2281.89306238279,2310.5700012523,1,195,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",86,19994.0352487124,16525.1854121294,12523.3095833088,15948.8169821378,-1036.96932155126,-1104.95770721636,1.49656750391538,272,26293.1016532729,17832.6697713177,23869.2063893952,24908.29946328,-4530.02869960072,-4459.7214862712,0.5,90,27245.7058641041,17808.7692983944,29510.6554176649,32060.79321729,-7996.81536828718,-16784.4726698899,0.686308565848457,24,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",27,140564.107172627,106024.892620644,99312.9431937615,112503.560123719,24339.1592575475,38050.16592586,1.03685201684885,46,210400.52241235,194196.360021381,111478.304755425,228683.035656859,12855.9007477053,94322.8903703439,0.767922339601816,103,155489.114135415,144828.188384938,80010.0470867816,117420.545465069,39860.3825004927,21695.2944509093,1.09153324361682,7,"2013","Middle East and North Africa","Israel","High income"
"Jamaica","Jamaica2010",4,31130.4741970613,29682.2899424123,16053.6085251,31287.6447926688,607.071894371601,1526.82721538407,1.24307106540373,23,15418.9883449082,14918.695530911,4543.05174024207,5367.7637686257,-372.828499314826,-413.378254775711,1.08333333333333,69,37435.1570210501,26257.3591870451,32349.0379883648,22754.6507583046,25145.2529936708,37044.0494250523,1.0899705346687,13,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Jordan","Jordan2013",73,28993.8184147314,16739.5305003239,27657.0662792081,23177.811461987,-5296.49366500973,-18510.5039767805,0.173200044140747,94,27631.4015073969,23397.8058944255,24351.9299585469,31565.9718006108,11556.7738084915,-5803.60064384558,3.56968251398698,127,50184.5756587523,26783.2488005182,50033.2884494724,64726.1846012523,6856.4094517407,-4336.88754239073,1.34278024345541,21,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",33,21610.4952388193,15530.9445380158,17867.8143017442,20959.6808911025,419.270379491731,4646.49011476567,1.02275201215879,81,23869.1999142286,18471.2316301241,15964.3876990965,15251.6819951546,1041.86858554717,724.642530314063,2.5,36,24711.943101425,23662.459831983,15768.4339371267,17329.4568257921,-1973.77051328571,-357.361699484163,1.49054083994943,15,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",29,91948.9346500902,25957.718584911,112990.367454523,180453.164353495,124385.656932305,138922.867789779,2.39788607226954,73,29670.2401486745,17774.8546951571,34435.713566995,29892.3003223885,60807.9810254148,42641.9150902058,1.3767913676403,226,33981.2677225153,22496.3873637483,35284.3797453553,39415.7679381272,9339.4650243081,13581.5234085382,0.432236202227806,32,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Kosovo","Kosovo2013",25,31336.321777758,32292.7062603471,15034.003906706,13943.8790121858,-5006.52035576759,-4564.80325561729,0.396635899006902,19,58267.9069508635,61450.7846198926,44767.9389751638,59019.8135250662,16853.7776047735,10099.4317298371,2.69771872369929,17,47891.8169675442,20508.4251190562,61103.5018513415,62840.6600762249,21189.4949750506,7676.10643663565,1.1222413782023,5,"2013","Europe and Central Asia","Kosovo","Lower middle income"
"Kyrgyzstan","Kyrgyzstan2013",12,9534.4408522055,9573.42548495349,3269.35503137484,6086.50970942655,-187.334467690451,39.1581679976036,1.91843216741532,36,17323.4624790847,9565.82079195291,16507.3878421446,18371.2180382803,6917.82890823729,6239.97768386886,1.03515554079309,32,14558.2956725382,9371.78705412246,12802.2874724763,13122.5526237016,7627.5044131129,6460.58523046623,0.587757837285611,3,"2013","Europe and Central Asia","Kyrgyz Republic","Lower middle income"
"Laos","Laos2012",15,5058.54312653579,4359.54269835002,2811.38404889749,4190.64771892879,-766.931709398199,-1012.4765396921,0.542538006520671,44,8972.29922947843,5564.17896059001,9645.87694432578,7232.1820652654,1691.03240993917,2776.73885083173,0.90241526498983,29,8436.54883722165,5879.48457778577,8324.39935337045,9757.41896972058,-1054.17576806538,-691.218326924997,0.274687810212583,6,"2012","East Asia and Pacific","Lao PDR","Lower middle income"
"Latvia","Latvia2013",19,35838.527094892,26681.4086413869,27513.8521895177,43104.1078985042,-3745.5948852543,-5437.19398191281,1.81964685768771,47,39600.7617182452,30330.4816734485,33617.0845358079,55776.314652219,14340.2580510461,19898.8719210954,0.409363686790353,32,32918.8861175995,19310.6403385299,28303.9012871153,30716.3401876031,6468.2831083179,11892.1833926254,2.74733598761706,4,"2013","Europe and Central Asia","Latvia","High income"
"Lebanon","Lebanon2013",29,45010.3207910134,44395.3800479442,23930.0157312369,22075.0823447057,-7147.10267339939,-6290.41315952144,0.396745255897774,47,93452.5475357295,63071.6638420163,72814.3403520136,76054.5972432622,30591.6704560388,19062.4198841745,1.57412599457651,123,52891.0673612574,38076.3186525903,40223.7270167088,38466.7839915594,15642.3215913819,6032.0736615587,0.714510097153806,11,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Lithuania","Lithuania2013",20,67049.2350299081,36385.7645866078,72103.039132395,70429.641867986,-4881.43268252522,41992.5914561588,0.762033542547649,29,25014.4743896277,21652.6258948235,20233.2569841306,24707.2663856041,16488.1837144365,21869.693120133,1.28393498166619,40,42453.6104336402,32332.6743256689,38775.4464798291,47735.5579735188,13530.8698008532,35676.672910693,1.18975085290853,5,"2013","Europe and Central Asia","Lithuania","High income"
"Madagascar","Madagascar2013",67,4158.29531965068,1671.97582838341,5849.89747955184,6613.14283053083,-3162.76122148827,-2417.79897414761,0.849900695172033,70,1588.76653149494,1039.62070698301,1689.5426784817,1212.89082481351,-330.613832777952,-752.136622300441,0.97492137504158,71,6272.48699025935,3236.08774879965,7557.7635899549,9234.0862526605,-449.266720615629,-825.440560936287,0.34986592943096,20,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Malawi","Malawi2014",19,5843.68202869043,4062.87835521847,6027.32930638883,6009.54285458387,2735.82255180972,2140.75817454276,0.821952555268445,48,14966.6443683339,4199.63487761055,20935.7828135107,17701.6922929461,4354.84124175131,2672.47994203251,1.24071116420293,58,16531.8968404244,9856.96197328743,18475.0433206848,28341.4142263543,3438.11818563395,1444.51897348273,3.4,7,"2014","Sub-Saharan Africa","Malawi","Low income"
"Mali","Mali2010",9,26555.3051588092,24534.2889491567,23435.6736363151,50946.523588266,3871.00580161799,6734.92013911916,2.65071020174837,66,6342.93205873127,3099.5839121736,8181.37848086601,5559.24653340393,3443.5530649501,3767.62356857067,0.902454515235439,42,63679.7169005988,4773.0869831089,105813.460787225,125575.538256842,-32487.9813883543,-37693.60942543,1.23259133259594,11,"2010","Sub-Saharan Africa","Mali","Low income"
"Mauritania","Mauritania2014",8,108475.085386062,70409.4851351663,106445.264340385,155164.38874412,-15346.6741538109,874.010174701992,5.89382445032109,12,88359.3139998936,47285.6203907601,107540.763986544,96126.7066688998,14179.4469594972,-130.861016133134,1.32659854628793,19,99214.0232616053,60473.3070004902,101021.684634815,166695.433722269,-49873.7184956243,-44058.7350828932,0.184858181318564,0,"2014","Sub-Saharan Africa","Mauritania","Lower middle income"
