"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","yearOnly","region","countryDes","incomeLevel"
"Guatemala","Guatemala2010",5,5648.20291000853,5827.06316483322,3774.14592348277,4901.02657617397,562.685163970752,204.952020458184,0.868668835517054,1,4,15472.3618988039,16019.0236805685,8476.22222657992,9557.00182353925,-1190.75720499703,-1536.31553465545,2.54241581446419,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Hungary","Hungary2013",1,511505.939408998,511505.939408998,NA,0,0,0,1,2,3,368591.966949585,320944.903158587,311144.748286584,623785.222036434,-147994.689956097,-149865.725435021,0.251816564372917,"2013","Europe and Central Asia","Hungary","High income"
"India","India2014",510,30168.1553894234,19185.647838482,30506.3065430794,29235.2728967345,5613.22661362931,9972.36113356371,0.736630021486178,96,68,40389.2941068611,25761.066112813,40995.241355204,31369.9971738143,4131.58422864399,-2709.52792328247,8.86261487785871,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",7,4700.77771036451,2512.95624835634,5085.98248033612,5693.13627617807,4424.51059283161,1445.68236497517,0.46102563821295,5,1,11235.4452653523,11235.4452653523,NA,0,0,0,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Jordan","Jordan2013",3,26143.6365620031,23330.604497276,35784.0300814333,55798.4350010796,25454.7828716545,6946.82180529873,2.91077396662246,2,3,53768.5838655785,34030.2540454198,113942.412701685,68132.8926863623,72177.182044894,40228.2793538918,2.69278142352347,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kenya","Kenya2013",2,12266.9751770023,12266.9751770023,2651.2246761843,3749.39789395805,2539.85384449793,1801.18134121514,14.3142159549737,1,8,543333.629735968,265696.423082659,651871.279484399,849863.522630492,307558.62590892,265976.096078295,0.608137205372686,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",1,3700.01054503005,3700.01054503005,NA,0,0,0,1,12,1,114517.502845471,114517.502845471,Inf,0,0,0,1,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",4,6966.68740041801,7190.14993009904,1794.69206132887,1272.1012297977,-110.208113945103,-31.8025307449426,0.707657154862205,10,NA,NA,NA,NA,NA,NA,NA,NA,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Namibia","Namibia2014",3,5608.66869310168,4202.44905382238,6935.71353466629,13461.0314259833,2269.89587177625,1911.1284231177,1.95543892339084,2,2,45535.7313138495,45535.7313138495,41909.6262007745,59269.1617671221,24468.0351896442,22578.728292237,NA,"2014","Sub-Saharan Africa","Namibia","Upper middle income"
"Nepal","Nepal2013",8,5081.10648240517,3997.77416666215,4790.62318704329,0,2100.75833817961,1124.91671643302,0.412319615882436,10,2,92469.5957481015,92469.5957481015,121753.014592459,172184.764496465,-28697.4607494108,-28697.4607494108,0.75,"2013","South Asia","Nepal","Low income"
"Nigeria","Nigeria2014",13,949.496250683661,170.534542957905,1592.70973505787,559.814046787425,-614.130093360864,-541.827697209046,0.453863966965184,20,9,727.829101081311,264.687492570886,1222.62213233681,9.264062239981,1078.24553582365,1458.70124111021,1.05863999790791,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",12,2913.24933263769,1833.85998142741,3500.74685767478,2036.09042155792,307.688236028014,-768.679854530846,0.824933349887626,29,3,8982.53404136587,7985.39975165712,14014.7302094735,14863.4600773728,-996.813704481529,1711.82416923573,0.787376553376193,"2013","South Asia","Pakistan","Lower middle income"
"Paraguay","Paraguay2010",2,20382.2398433805,20382.2398433805,15569.837507225,22019.0753666629,-10620.321378955,-8650.35103690328,0.37858743229545,4,3,90767.9111191433,81193.3930133945,100368.179339739,155622.622463942,-41315.8890429061,-36598.2516881433,7.96148501057714,"2010","Latin America and Caribbean","Paraguay","Upper middle income"
"Peru","Peru2010",1,37112.5341561465,37112.5341561465,NA,0,0,0,1,1,11,116514.54800178,54102.9727806818,124749.754111959,102406.881100282,8104.10154931578,37894.8784029665,4.32070767991936,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",1,24343.9214920628,24343.9214920628,NA,0,0,0,1,3,3,928176.952442109,810403.893762008,909893.706756237,1348470.38631587,58569.9892004762,-24084.7348778128,1.24560650527792,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",8,77900.3078936229,84713.0396626762,23199.8737524665,27883.4273282669,-13322.0136472384,-1845.00696327254,0.14505781209846,9,1,2140931.7978815,2140931.7978815,NA,0,0,0,1,"2012","Europe and Central Asia","Russian Federation","High income"
"Senegal","Senegal2014",4,40256.7802551737,21705.9805579575,48916.8716325889,79818.214485691,2351.74240943952,-3118.27897399116,1.48713596041834,0,1,237041.691344914,237041.691344914,NA,0,0,0,1,"2014","Sub-Saharan Africa","Senegal","Lower middle income"
"Trinidadandtobago","Trinidadandtobago2010",3,27607.6243850657,26835.2533790088,5999.67626406206,4767.10705712708,-1884.70930388175,-4327.36721458748,0.729166666666667,2,2,38440.5202342787,38440.5202342787,16261.4049129011,22997.0993710653,-7167.13801051876,-6538.39099765581,0.535791365643453,"2010","Latin America and Caribbean","Trinidad and Tobago","High income"
"Tunisia","Tunisia2013",3,32802.5429248259,32588.5227320516,8456.66970482618,10522.894338287,3902.69691664045,6683.5897581957,0.900675277938883,4,6,216742.333718965,171695.889970794,164024.730076404,249588.492346274,-80997.6205532794,-12115.2393981292,0.156541325791238,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Turkey","Turkey2013",NA,NA,NA,NA,NA,NA,NA,NA,3,6,150841.882799187,159421.348142726,145678.891838182,299961.360252263,-143169.842568102,-93314.4403269352,0.0186779193161233,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Vietnam","Vietnam2009",15,19185.4291091847,16824.6629690125,11441.7959969745,22669.0548384262,-3763.40672056842,-2504.0603355935,0.998295649229167,2,9,82340.2631942575,53873.6179373933,103832.102527312,119167.099639272,37107.4691270684,38506.0042334504,2.4398542346727,"2009","East Asia and Pacific","Vietnam","Lower middle income"
"Zambia","Zambia2013",4,5131453.875756,2961406.81632332,6328728.32973771,3245810.74037006,-650140.580741996,-609938.936244707,0.914649198974125,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Zambia","Lower middle income"
