"countryOnly","country","N_Foreign Ownership","mean_Foreign Ownership","median_Foreign Ownership","sd_Foreign Ownership","iqr_Foreign Ownership","OPcov_Foreign Ownership","OPcovNoWeights_Foreign Ownership","indAlloc_Foreign Ownership","outliersOut","N_Local Ownership","mean_Local Ownership","median_Local Ownership","sd_Local Ownership","iqr_Local Ownership","OPcov_Local Ownership","OPcovNoWeights_Local Ownership","indAlloc_Local Ownership","yearOnly","region","countryDes","incomeLevel"
"Belarus","Belarus2013",68,0.39119686862875,0.368571900619801,0.248760710874366,0.344674909206315,-0.175161432660154,-0.10450639208326,1.18614168761127,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",70,0.486482217139717,0.344115511711848,0.335365015728155,0.290689522207032,-0.128408522577037,-0.0702997412522257,2.4,0,2,0.336939729381743,0.336939729381743,0.0812933131587417,0.114966105999336,0.0646897713756371,0.0513786579908536,0.375679318621756,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",68,0.622590791831994,0.550120239235238,0.54958543384806,0.573052538937348,-0.136837375458174,-0.142757452349534,1.52485665118911,3,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",69,0.516719297583873,0.442849898784264,0.460841225532601,0.563574488059614,0.107975560875224,0.0554034574561027,0.84838510816999,1,3,0.908538853393625,0.890826309557955,0.703496531160854,1.02380196898281,-0.298941457279723,-0.317415896890073,2.77142419879118,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",31,0.261347941195696,0.258073284302593,0.189139316703376,0.125788560437245,-0.00732442151192119,-0.0259351532899355,1.37768088694102,7,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",37,0.403406791676072,0.353179328086937,0.281414027523907,0.214917825537295,-0.040234948904579,-0.0396961200713774,1.6407951169271,2,23,0.344759814782855,0.314766434105086,0.191939955657604,0.263324503311258,-0.0940919497800688,-0.0916314588020578,2.0849127376139,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",717,0.407076537588527,0.354992633660088,0.272395747622474,0.376603351389086,-0.0717209213849121,-0.096440707912397,0.660504749938301,33,356,0.324701782393509,0.251555237008883,0.280194600195377,0.39372625111165,0.0120388156199897,-0.0303974560949315,0.785427348549748,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",77,0.47815501191015,0.538499567663422,0.268042137669837,0.407300672430355,0.0175590060682889,0.0188318699397745,1.58333333333333,1,2,0.497905275267796,0.497905275267796,0.0287454365593256,0.0406521862385337,0.0196052095237267,0.0164248401979055,0.425744093214962,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",36,0.153378682160617,0.115387843755081,0.155002620355959,0.193788931725724,-0.0539485710238916,-0.0531629690288422,0.595753917948783,2,5,0.13490194469024,0.0795470414952744,0.109763194471591,0.197617804485601,-0.0317851095295231,-0.052476352784303,1.33183744710067,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",41,0.267888203456114,0.165078627189413,0.219173808445872,0.311394011613883,-0.0649409710620136,-0.0965579555117254,0.995240571138576,0,7,0.329669180408114,0.181217723909155,0.248775981392077,0.423422415440192,-0.13595286766123,-0.151930064713222,1,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",65,0.294588910105471,0.252613086542202,0.203919245081476,0.346443254628427,-0.0633795175945333,-0.031065583809385,0.872401049995847,0,5,0.272698885888375,0.249949989627258,0.134013739583808,0.153587810500786,0.00303913790757047,-0.0112726820303115,1.01838559946874,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",562,0.430097845948599,0.387135309098191,0.26537516161754,0.360708780602964,-0.0547945113988887,-0.0510442846773287,0.855231221306263,23,49,0.384795614726947,0.410645341695528,0.208084228838303,0.306532621251946,-0.0615030802062516,-0.0553217514284436,2.76284475440151,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",1352,0.297813190664074,0.266666666666667,0.19127021964653,0.257295441541102,0.0500474387214618,0.0209571155524735,0.8,14,45,0.261905537224506,0.183206283692365,0.186475039230576,0.243981707175523,-0.0309179395729228,-0.0138434489474822,2.008410411665,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",555,0.473477203814025,0.380971621496703,0.259833068269334,0.350246683581077,-0.0984426089218237,-0.114840584401994,2.96782684821529,34,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",151,0.652253092295523,0.486341887952576,0.554869499139541,0.507751937984496,-0.15539739228657,-0.0728738451754644,2.64204708674836,7,41,0.599651579381123,0.4827085312213,0.460112353843714,0.496499463466979,-0.144159584292672,-0.168019348561666,0.229089001796573,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",100,0.407237290145554,0.341469003065451,0.303492769067101,0.435335090361446,-0.225659117446073,-0.294471662249873,2.58167313438973,7,36,0.298530403735896,0.315544218590943,0.186508731791178,0.242136125187796,-0.127321697455709,-0.116626223123521,0.633897083425011,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",84,0.494011523725928,0.441042371814178,0.288757796544785,0.389000502260171,0.00204248569461149,0.00632910227281374,0.886984542622333,3,2,0.276161088052462,0.276161088052462,0.0312173320742579,0.0441479744005202,-0.008237979628775,-0.00914175227485519,NA,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",44,0.394813155065441,0.447696848860904,0.291397538817454,0.454712643678161,-0.00371607420978365,0.0144272962902039,0.608414993935084,1,5,0.339536566939586,0.396721918409436,0.227460018991091,0.14501428506661,-0.0196733585070942,-0.0085885053141941,1.01698405994526,"2013","Europe and Central Asia","Czech Republic","High income"
"Djibouti","Djibouti2013",5,0.337592617747903,0.274089354566959,0.224520131074692,0.27579399460356,0.0150222086208903,0.00412946364210268,1.31468330137278,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Djibouti","Lower middle income"
"Dominica","Dominica2010",23,0.523774322692327,0.522150479777598,0.254738265908533,0.373119208943566,0.0661711563325976,0.0818155329330138,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominica","Upper middle income"
"Dominicanrepublic","Dominicanrepublic2010",71,0.425796420350106,0.390319608709673,0.280891105739729,0.376700411358827,-0.0120824475207897,0.00314046044211463,1.38645353161372,5,20,0.3657253151641,0.378567371063585,0.140325958384723,0.0907304669440591,0.11608275908668,0.147363261335177,0.109013562147363,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",149,0.30916270476771,0.266059062754332,0.24290038671403,0.392911751641099,-0.037565075916646,-0.0387311623973438,0.689717814535122,0,32,0.354867794732447,0.345771129127056,0.246281950904762,0.44790915484682,-0.255113890533738,-0.218599430784956,0.831868712903113,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",84,0.39470825088481,0.38526315283574,0.201627725950527,0.300181313185784,-0.143749141267763,-0.151530939894205,2.0285437416647,3,10,0.246173447421676,0.274435295226191,0.156085660454704,0.241624692918733,-0.0695556936778225,-0.0444490284873076,1.15107390594734,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",1317,0.375093062665395,0.333333333333333,0.339513631773962,0.405477502581857,-0.0198504620087369,0.0133768266622144,1.8,81,65,0.217525545724736,0.156137504855904,0.205252894750568,0.258647392875581,-0.0783538117373499,-0.0879960370582207,1.74596463856665,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",80,0.497220674399894,0.393766754425886,0.293950457320142,0.394743342720221,0.00669843448247239,-0.0155055752057415,0.225888808164516,7,7,0.228179440080294,0.208592459733827,0.0654708276790747,0.045394672989199,0.0273558613959252,0.0278110057441762,0.854876510769134,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Estonia","Estonia2013",43,0.532159659902648,0.523555500703519,0.303873709267293,0.391441208268841,-0.0548283734584505,-0.0187015827248124,2,1,11,0.388934333662086,0.445472097395316,0.231091057822284,0.416684414038226,0.0168235214587976,-0.0531543683875592,3.98758501936941,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",66,0.0991493326453276,0.0773962779979038,0.136050798124593,0.107974394033904,0.0722366524457051,0.0736604412718665,0.466375080145331,17,42,0.166769497984818,0.11518323648088,0.178861652923094,0.212579093359541,0.0118947882851886,0.00481360178762809,0.522,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",99,0.550155674116634,0.475403181535719,0.315962141159236,0.493932855691229,0.0582881456744124,0.0625527022280964,0.668473606659565,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Georgia","Georgia2013",55,0.413766560970658,0.426883695950414,0.305608625196413,0.335226530878705,-0.0931307184434268,-0.0416463655566641,0.464526260340096,3,2,0.438402486980418,0.438402486980418,0.152331979956106,0.215429952037071,-0.0477137289671726,-0.0784590566060937,4.86861827673737,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",149,0.282706605705584,0.184372663236629,0.254975485703996,0.386092175606654,-0.0204902512515628,0.012254407898912,0.668403727076393,8,29,0.212290525436034,0.101760519474655,0.231938794373191,0.138000664783114,0.00293686333577254,-0.0197860356651808,0.206506163983311,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Grenada","Grenada2010",13,0.509346175493294,0.565127528338252,0.161684029631833,0.218906978151667,-0.0509554439425451,-0.0706759974198783,0.92588601400453,1,5,0.505713869993419,0.577764454814308,0.180039801724754,0.288642869287499,-0.0313854944092672,-0.0106114192900804,1.61764079676995,"2010","Latin America and Caribbean","Grenada","Upper middle income"
"Guatemala","Guatemala2010",202,0.436053205932357,0.420426252492811,0.322252844119897,0.402948402948403,-0.0130867280390614,-0.0197090701712179,1,10,16,0.343813772892694,0.261439694190754,0.400442618714689,0.259211504479696,0.11327466891929,0.113792453948639,0.986963091067359,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Guyana","Guyana2010",48,0.451383853237012,0.358885299311107,0.372390704250613,0.5031560743623,-0.0879981474401975,-0.093661158658715,0.999081931466351,1,8,0.313213212898557,0.267000883419059,0.211533769204173,0.170457861136075,0.0512336496926642,0.0463527390579743,0.916570051707998,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"Honduras","Honduras2010",90,0.552627930306725,0.261874409928231,0.901455896442703,0.810294968189705,-0.211707297702383,-0.113314527598408,0.876711176031599,7,4,0.256504125609144,0.259687939795975,0.0915238375179496,0.155013865245096,0.0133927244422987,0.0133927244422987,30.9166666666667,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"Hungary","Hungary2013",26,0.401651167254835,0.431092248850923,0.327579962405781,0.706949806949807,0.119230774349045,0.200126706123435,0.289019273904223,5,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Hungary","High income"
"India","India2014",5178,0.344003457129161,0.307139748688449,0.250568726877859,0.34177900473254,0.0194552123560948,0.0158275743014107,1,44,16,0.272490322870383,0.259100060349457,0.193889267237079,0.223978323447313,0.283944366441614,0.130880096541436,0.848702418211227,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",650,0.511529934831892,0.519664603298358,0.338498968920946,0.43543956043956,-0.119417688308344,-0.180330959017251,1,24,60,0.345285967136543,0.313127256761128,0.423542308093266,0.430045052807799,0.0612316477158046,0.0837729901077361,0.713461333310509,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",454,0.329187577212082,0.27429948326783,0.240739010781957,0.33523574906094,0.00970163629644206,0.0328359850582072,0.909090909090909,10,7,0.237603444919762,0.147390284402956,0.210598827100247,0.376389755712289,0.124496343898974,0.10114614539025,0.243024775774941,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",125,0.364345835354584,0.310681918510369,0.262201112871297,0.38412198573157,0.122719138819669,0.0730159757293588,1.2,0,4,0.199322246266926,0.0318600749342592,0.281022048701883,0.413038136743957,0.132309839500062,0.0740215612445649,0.230192142755356,"2013","Middle East and North Africa","Israel","High income"
"Jamaica","Jamaica2010",88,0.43369244849387,0.436026795314765,0.154708178412183,0.241192628415871,-0.100111982980166,-0.104130671062372,0.70139419553221,1,4,0.353280274465757,0.341573308139793,0.103028825262929,0.151659681071446,-0.0133557939897696,-0.0238116523658692,1.21894283965932,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Jordan","Jordan2013",214,0.439647805588305,0.357142857142857,0.429305166866256,0.456830601092896,-0.160088872401765,-0.0427657180537226,2.3634619181713,3,24,0.208386882757396,0.0848359295366019,0.267374857104743,0.393710691823899,0.0570490682302034,-0.0274023232530355,0.247408502212812,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",64,0.520434809372155,0.557936397883299,0.275712598778691,0.420238260253508,0.0151596667172803,-0.044595401433475,0.80369915681673,1,4,0.464337058489096,0.50744246189964,0.114504805625462,0.154088024360059,-0.0852356022235611,-0.0674581859029825,7.68200482766811,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",246,0.204295834170641,0.112273911200832,0.229250704316413,0.252162664726332,-0.0661090243366022,-0.0440568522463801,1.20977640058091,7,16,0.363263820523212,0.274745356490678,0.270873740675171,0.387897409096273,-0.245420612408037,-0.139971114233644,4.22937723568968,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Kosovo","Kosovo2013",42,0.685454141590249,0.512411110082113,0.593299017801653,1.21926060406008,-0.207861782136356,-0.0569067778358884,1.85512276821244,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Kosovo","Lower middle income"
"Kyrgyzstan","Kyrgyzstan2013",33,0.641836077685612,0.629373260860144,0.33873346962031,0.553018394372709,0.0480916045357662,0.0368831353679957,0.950720528595775,1,3,0.273179659923246,0.198031611799811,0.318830057735955,0.618271698587267,-0.0524639262474382,-0.047978360875668,1.18384255370902,"2013","Europe and Central Asia","Kyrgyz Republic","Lower middle income"
"Laos","Laos2012",61,0.354000275556827,0.29482311572103,0.576565055015388,0.691843374289866,0.0342673127215804,0.0278101221778504,1.19444523035296,6,5,0.0595148612059917,0.241695546723488,0.871247582313114,1.07913763606763,-0.0142220960693082,-0.131998459404888,18.7242614230118,"2012","East Asia and Pacific","Lao PDR","Lower middle income"
"Latvia","Latvia2013",22,0.560511268754724,0.534337601636697,0.393960617339279,0.477349769788471,-0.0120131547882747,-0.0153944453950733,2.00185848056673,1,3,1.05819228544962,1.06425279703622,0.542981738212597,0.759799117851068,0.271213797473526,0.18992481309478,0.554626554839627,"2013","Europe and Central Asia","Latvia","High income"
"Lebanon","Lebanon2013",146,0.390373903574238,0.385661431639059,0.241241380129682,0.31329599175559,-0.00351646473044774,0.0396330579969623,1.45237277375759,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Lithuania","Lithuania2013",36,0.405568118540254,0.428134281223671,0.222502861533676,0.273108416411216,0.0815629851519184,-0.0294586161210166,0.485306499912511,2,4,0.968451112134316,0.621486559371521,0.769804483036015,1.41411150732856,-0.496141549885817,-0.435906435645753,2.33560356380532,"2013","Europe and Central Asia","Lithuania","High income"
"Madagascar","Madagascar2013",147,0.400156112202965,0.416276727079231,0.372757433390272,0.474468354201673,0.149838164834791,0.135599680591734,0.403769063343695,12,29,0.204689444408487,0.0887551036757155,0.481961530519942,0.421181641728452,-0.0183676221411681,-0.0367628346479618,0.796901648415204,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Malawi","Malawi2014",30,0.229584863354101,0.123950389906746,0.350008126077522,0.399583136483364,-0.157333628878309,-0.166782505786318,0.570091834076401,5,6,0.105857112740818,0.085734427980956,0.0552392101586541,0.0787052350932151,0.0106228782133174,-0.00315486054593915,1.0769756313211,"2014","Sub-Saharan Africa","Malawi","Low income"
"Mali","Mali2010",12,0.301484747590843,0.194704519891112,0.291621871105769,0.28660907716365,-0.117453032203579,-0.0191923915650147,1.93748210387663,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Mali","Low income"
"Mauritania","Mauritania2014",26,0.268634781158708,0.178481972787178,0.285973671073807,0.295042618159384,-0.016795934113615,-0.0118589919694784,2.91619254086233,2,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Mauritania","Lower middle income"
"Mauritius","Mauritius2009",95,0.275415472241735,0.200925559939018,0.311848008657761,0.308393161135044,-0.0452313114598383,-0.0833354238180814,0.358819773074716,7,30,0.383341867649964,0.236992650667898,0.349238532717225,0.365678243287443,0.161944114709414,0.0475052310814615,0.344132190671053,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Mexico","Mexico2010",979,0.540857778427482,0.541436352459517,0.321755365971961,0.519338118022329,-0.0209579007870206,-0.0271903078014354,1,11,75,0.470063015426423,0.564865081267759,0.322038715136825,0.54087089381207,-0.284375420958781,-0.165933055347128,0.472319518854879,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Moldova","Moldova2013",56,0.385227387636408,0.299331532252342,0.277410405609498,0.349925388183101,-0.0855765995443709,0.0116039129180399,0.253012561464826,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Moldova","Lower middle income"
"Mongolia","Mongolia2013",65,0.526930261799869,0.408058856605776,0.379689448668978,0.446807569862045,-0.0755956343946438,-0.121157083540822,0.792168630334405,0,7,0.477353185106804,0.520475771812768,0.261383839710641,0.433968795271856,-0.113351100884568,-0.113612747485237,0.998070724745681,"2013","East Asia and Pacific","Mongolia","Upper middle income"
"Montenegro","Montenegro2013",19,0.732709663385173,0.566119798561304,0.711403320060024,0.747760950985182,-0.0597454556802256,-0.0263582505677943,0.926237626001005,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Montenegro","Upper middle income"
"Morocco","Morocco2013",89,0.321074745624695,0.277243071023263,0.255524091107248,0.253968253968254,0.0238164151277101,0.00848188416663219,0.625164389388368,7,7,0.40289173842731,0.383950539911815,0.162381459039276,0.270487165243454,-0.0832642466567516,-0.0849451787439771,0.652730210583707,"2013","Middle East and North Africa","Morocco","Lower middle income"
"Myanmar","Myanmar2014",237,0.34365556112182,0.333595174811787,0.23340175349779,0.344112188080017,0.0346864465647571,0.0313688511424311,1.3568004707551,1,10,0.664794589012922,0.682107300884956,0.240803271693666,0.46721005010095,0.0283163002081861,0.0283163002081861,0.703703703703704,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Namibia","Namibia2014",24,0.071822361346338,0.0726399484702081,0.543162476864071,0.220434543661213,0.0260957817132198,0.0315248624454768,0.500829398461733,2,9,0.105537675473809,0.107735401853049,0.161367956236318,0.175068648485586,0.0305375257162651,0.0211884477781911,5.37910466597651,"2014","Sub-Saharan Africa","Namibia","Upper middle income"
"Nepal","Nepal2013",234,0.444170471378758,0.433751242866504,0.248333520434545,0.355244755244755,-0.0782613889219614,-0.138733928056223,1.11216668018237,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Nepal","Low income"
"Nicaragua","Nicaragua2010",73,0.403237212684371,0.289762534474901,0.434353102942787,0.470600302133671,-8.29419496947634e-05,-0.0261111954260695,2.95567336849432,5,6,0.308716566168347,0.288422528801758,0.229396203495634,0.2323591007081,-0.0833722268467547,-0.0838394848283977,5.66405152224824,"2010","Latin America and Caribbean","Nicaragua","Lower middle income"
"Nigeria","Nigeria2014",451,0.356545466325053,0.337823351716446,0.521880979895045,0.589040557535108,-0.0686917768890011,-0.0280359011815984,1.14852456790518,28,70,0.342962266086806,0.115945140619299,0.537713676054332,0.666660952291155,-0.00502454227725926,0.0582343383132832,1.6651990049703,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",220,0.174954205805956,0.094446665149228,0.285571904504358,0.328601748474707,0.0480307511148747,0.0316878728813963,0.477434929952673,13,2,0.000654710578372853,0.000654710578372853,0.000359059743348535,0.0005077871587457,0.000216711031525648,0.000253006504226551,0.572665643851663,"2013","South Asia","Pakistan","Lower middle income"
"Panama","Panama2010",37,0.292984881818318,0.178901610631169,0.264649595803965,0.537567455375675,-0.103233206287316,-0.106923870789875,2.93013355056651,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Panama","Upper middle income"
"Paraguay","Paraguay2010",82,0.366900424959136,0.377484690519579,0.222872767342478,0.34037692204475,-0.00126050956329949,-0.0169102166504816,0.735649101701381,0,5,0.226751135426053,0.169025076248908,0.141175943204588,0.129444519457191,0.00422664585390476,-0.0183762650284168,0.314053504497354,"2010","Latin America and Caribbean","Paraguay","Upper middle income"
"Peru","Peru2010",529,0.380339123982842,0.339490839308317,0.256157154050144,0.327110840423115,-0.0422996577640419,-0.0416050998209325,0.832243641264214,9,27,0.285762917744986,0.168115578007343,0.234690220726428,0.344541204228144,0.0561101417577188,0.0700804195892099,0.283717481904123,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",525,0.332148597432972,0.280345390166176,0.331343065790068,0.40347084285497,-0.00858510262035424,-0.0318389800236688,0.592588139107954,31,89,0.19999024657746,0.131204244416266,0.302641833950612,0.334135979894842,0.00243599941606129,-0.0168294351561626,1.29548023246286,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Poland","Poland2013",34,0.266559091903323,0.271936670985693,0.359877732303365,0.441541742151338,-0.0282730106774595,-0.016031573241982,1.05087502542497,7,2,0.0848909992859225,0.0848909992859225,0.0260459034521413,0.0368344699062785,-0.0136614255523297,-0.0144882248298029,4.9466400705795,"2013","Europe and Central Asia","Poland","High income"
"Romania","Romania2013",102,0.356430175337246,0.289129583179335,0.363229496605752,0.430515082448215,0.00127814026776073,-0.000434359737556675,0.722765192354974,9,12,0.383200132010257,0.280359449010976,0.326825471445235,0.423378536671209,0.0565477556938932,0.0158134004648309,0.791511813526104,"2013","Europe and Central Asia","Romania","Upper middle income"
"Russia","Russia2012",497,0.487879315400126,0.516679529705289,0.312369538861484,0.520068980170671,-0.0296520794738428,0.0230769375487576,1.07217133144072,22,NA,NA,NA,NA,NA,NA,NA,NA,"2012","Europe and Central Asia","Russian Federation","High income"
"Senegal","Senegal2014",129,0.388720245891013,0.367447246929058,0.256349844369666,0.388492043943052,-0.0775982110599544,-0.0515997291426295,1.63545432199994,4,12,0.16912662169581,0.131450948186431,0.14006800870043,0.162572786292751,-0.0101415019274116,-0.0435640788423191,3.88559426568253,"2014","Sub-Saharan Africa","Senegal","Lower middle income"
"Serbia","Serbia2013",68,0.430569205237099,0.286050474300472,0.31536957193301,0.507211577266614,0.0627789385292624,0.106677151122691,0.271675818825569,8,4,0.143212068836959,0.158218222350965,0.078227987031147,0.0794072205506223,-0.0624812253292547,-0.0409299436102616,1.90219938182835,"2013","Europe and Central Asia","Serbia","Upper middle income"
"Slovakia","Slovakia2013",24,0.418726413776315,0.391789697862706,0.323951717165399,0.458296031893745,0.0110092999098849,0.0568568605126939,0.628140300363258,3,2,0.079702107018668,0.0797021070186681,0.157206725997707,0.222323884002228,0.0685918041061954,0.0629218539628948,0.50129164116847,"2013","Europe and Central Asia","Slovak Republic","High income"
"Slovenia","Slovenia2013",51,0.455032700914104,0.405281177647941,0.295784361581712,0.312925440833534,0.00790225688450427,0.0120809783255742,0.75,1,9,0.221143374500951,0.165628191201169,0.142758771414988,0.222182601870631,0.0571511081869231,0.121476044763337,0.742067494956032,"2013","Europe and Central Asia","Slovenia","High income"
"Southsudan","Southsudan2014",55,0.260076604407467,0.229588285063787,0.347088628780405,0.399099099099099,0.0496957851982904,0.0521426407552725,0.603729389525086,6,12,0.277585768005329,0.221070759362284,0.239660581401959,0.259011862259588,-0.0345072562975282,-0.0390513212606856,0.96,"2014","Sub-Saharan Africa","South Sudan","Low income"
