country,countryCode,region,regionCode,incomeLevel,incomeLevelCode,countryDes
Mexico,MEX,Latin America and Caribbean,R3,Upper middle income,UMC,Mexico
Moldova,MDA,Europe and Central Asia,R2,Lower middle income,LMC,Moldova
Mongolia,MNG,East Asia and Pacific,R1,Upper middle income,UMC,Mongolia
Montenegro,MNE,Europe and Central Asia,R2,Upper middle income,UMC,Montenegro
Morocco,MAR,Middle East and North Africa,R4,Lower middle income,LMC,Morocco
Myanmar,MMR,East Asia and Pacific,R1,Lower middle income,LMC,Myanmar
Namibia,NAM,Sub-Saharan Africa,R7,Upper middle income,UMC,Namibia
Nepal,NPL,South Asia,R6,Low income,LIC,Nepal
Nicaragua,NIC,Latin America and Caribbean,R3,Lower middle income,LMC,Nicaragua
Nigeria,NGA,Sub-Saharan Africa,R7,Lower middle income,LMC,Nigeria
Pakistan,PAK,South Asia,R6,Lower middle income,LMC,Pakistan
Panama,PAN,Latin America and Caribbean,R3,Upper middle income,UMC,Panama
Paraguay,PRY,Latin America and Caribbean,R3,Upper middle income,UMC,Paraguay
Peru,PER,Latin America and Caribbean,R3,Upper middle income,UMC,Peru
Philippines,PHL,East Asia and Pacific,R1,Lower middle income,LMC,Philippines
Poland,POL,Europe and Central Asia,R2,High income,HIC,Poland
Romania,ROU,Europe and Central Asia,R2,Upper middle income,UMC,Romania
Russia,RUS,Europe and Central Asia,R2,High income,HIC,Russian Federation
Senegal,SEN,Sub-Saharan Africa,R7,Lower middle income,LMC,Senegal
Serbia,SRB,Europe and Central Asia,R2,Upper middle income,UMC,Serbia
Slovakia,SVK,Europe and Central Asia,R2,High income,HIC,Slovak Republic
Slovenia,SVN,Europe and Central Asia,R2,High income,HIC,Slovenia
Southsudan,SSD,Sub-Saharan Africa,R7,Low income,LIC,South Sudan
SriLanka,LKA,South Asia,R6,Lower middle income,LMC,Sri Lanka
Stkittsandnevis,KNA,Latin America and Caribbean,R3,High income,HIC,St. Kitts and Nevis
Stlucia,LCA,Latin America and Caribbean,R3,Upper middle income,UMC,St. Lucia
Stvincentandthegrenadines,VCT,Latin America and Caribbean,R3,Upper middle income,UMC,St. Vincent and the Grenadines
Sudan,SDN,Sub-Saharan Africa,R7,Lower middle income,LMC,Sudan
Suriname,SUR,Latin America and Caribbean,R3,Upper middle income,UMC,Suriname
Sweden,SWE,Europe and Central Asia,R2,High income,HIC,Sweden
Tajikistan,TJK,Europe and Central Asia,R2,Lower middle income,LMC,Tajikistan
Tanzania,TZA,Sub-Saharan Africa,R7,Low income,LIC,Tanzania
Trinidadandtobago,TTO,Latin America and Caribbean,R3,High income,HIC,Trinidad and Tobago
Tunisia,TUN,Middle East and North Africa,R4,Upper middle income,UMC,Tunisia
Turkey,TUR,Europe and Central Asia,R2,Upper middle income,UMC,Turkey
Uganda,UGA,Sub-Saharan Africa,R7,Low income,LIC,Uganda
Ukraine,UKR,Europe and Central Asia,R2,Lower middle income,LMC,Ukraine
Uruguay,URY,Latin America and Caribbean,R3,High income,HIC,Uruguay
Uzbekistan,UZB,Europe and Central Asia,R2,Lower middle income,LMC,Uzbekistan
Venezuela,VEN,Latin America and Caribbean,R3,High income,HIC,"Venezuela, RB"
Vietnam,VNM,East Asia and Pacific,R1,Lower middle income,LMC,Vietnam
WestBankAndGaza,WBG,Middle East and North Africa,R4,Lower middle income,LMC,West Bank and Gaza
Yemen,YEM,Middle East and North Africa,R4,Lower middle income,LMC,"Yemen, Rep."
Zambia,ZMB,Sub-Saharan Africa,R7,Lower middle income,LMC,Zambia
