"countryOnly","country","N_+75%","mean_+75%","median_+75%","sd_+75%","iqr_+75%","OPcov_+75%","OPcovNoWeights_+75%","indAlloc_+75%","outliersOut","N_0-50%","mean_0-50%","median_0-50%","sd_0-50%","iqr_0-50%","OPcov_0-50%","OPcovNoWeights_0-50%","indAlloc_0-50%","N_50-75%","mean_50-75%","median_50-75%","sd_50-75%","iqr_50-75%","OPcov_50-75%","OPcovNoWeights_50-75%","indAlloc_50-75%","yearOnly","region","countryDes","incomeLevel"
"Burundi","Burundi2014",42,16640.30448473,12439.9254467823,14002.3604368806,18637.0865550933,-69.7078481515904,296.646418328057,1.64271795882256,3,9,30913.8181548475,15170.3133165855,32631.0431211476,39686.4029002294,-9986.86250584707,-8845.46300342677,1.53846153846154,4,7345.1991604783,7526.88409392366,2189.54959111012,5234.12388064321,-541.552582692973,-526.243061171666,0.945398483073095,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",67,14912.7331582357,9002.85668177827,18244.9171504649,13718.1028688597,-1520.26448810901,-2786.8807110406,2.29914653224469,10,17,83368.6345165502,30009.5222725943,104977.485166747,156941.268958531,86441.2810629156,49342.592967311,NA,7,23659.3071189809,18187.6971818945,21718.7208285224,25149.4378073657,36891.3169369672,32164.0463630583,3.6079508470153,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",580,49435.7780813683,37145.3432933182,38625.6706517776,36309.1971042055,23160.9927402248,20893.8971754265,1.35294117647059,51,74,106836.027805605,80445.7353934376,97684.7317403216,101748.293625645,13723.0520867769,15061.7272122376,0.391429683079525,5,374357.258499366,273841.273013657,353023.015145176,648407.388135198,-182857.532401226,-91923.2790755808,0.930181883392088,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",1423,47854.3930384567,36876.3620257076,37683.1109914094,44555.2877773185,-5086.24003611608,1756.47500999946,2.22262119596521,83,137,49620.4821083146,35997.0805118642,41262.0912677065,53559.4717390194,24436.6783634638,63653.833811054,3.16175204938383,48,34083.9628831302,12509.814636771,59018.2580186051,35951.508068595,26739.4186801225,14640.4945535407,0.677973242530589,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",559,26242.2175601856,20857.1813639435,19203.7645388487,20994.0623553647,15585.6516098862,21797.3047538562,2,62,51,499573.440630385,659963.43332803,406178.262288843,667012.346097977,-199234.738494194,12377.1163934919,0.522916496047902,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",191,29629.6655177049,20315.5751290403,23835.4698083318,29695.0412508513,16954.9937367665,17659.7840450872,3.40729363410255,13,66,30242.1033209221,22154.5461717715,35686.8558482518,43026.6611690656,20255.6883260789,8275.09854082882,0.607992806724399,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",108,4648.74867803598,2143.53869992222,5653.91559895255,4072.72352985223,2426.60015705112,3594.09537378295,0.684078701836393,35,55,8285.70450645496,1781.67545555983,14675.3972604007,4637.46353348558,18227.5527825047,14464.8553910735,1,4,50963.355886661,41896.381924738,40709.0708149061,69736.4590374697,-26591.6727911737,-23695.4010896882,0.304301735352599,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",95,64350.9878851736,55311.8300361659,40770.8414206874,46718.9908456191,6849.58334022028,11608.9091786806,0.870356251873083,5,8,100482.793958936,98832.7405109383,55847.3571132159,79781.6830767475,-421.50100622263,-641.712781151196,6.98972097939545,2,215979.843343471,215979.843343471,108025.572456198,152771.229650673,-85895.8971080796,-75549.7843895576,0.433656848074416,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",80,74779.9070591933,57211.2252689079,58583.0935460001,60707.7852393306,-11603.8779449131,-1121.31632719022,0.521796778230037,7,15,154933.652864775,102218.541058172,175167.670476517,172503.506672375,-55845.0838180673,-98678.153202008,0.0455958035920528,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Czech Republic","High income"
"Djibouti","Djibouti2013",47,81577.9519720709,20831.0738819178,113810.735405973,110009.141563762,-37252.6381154888,-31800.9287230417,0.357792451704844,3,4,257564.359774194,153993.106485528,286066.959883908,573829.427511728,-102256.439670005,-100660.643629202,1.1770697199567,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Djibouti","Lower middle income"
"Dominica","Dominica2010",20,40280.5950895318,28148.1481481482,26935.3576082608,42222.2222222222,4787.98722483998,2690.72455395221,0.840909090909091,1,3,118599.546485261,126984.126984127,75632.0914579746,160562.962962963,-18902.4404723653,-22009.9430967355,0.7,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominica","Upper middle income"
"Dominicanrepublic","Dominicanrepublic2010",82,27302.1817992009,22580.6588373223,21793.9006633793,21430.7406016159,7241.94629523355,10018.6035417836,0.412353468079509,5,29,30778.7361758234,29950.5237647049,22365.3377537132,31969.8658146375,-4334.50425791267,-4499.93753184762,0.541146947129238,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",144,2722.42706613838,841.203676981359,4729.11590066656,2118.68885046586,87.6917211666659,139.391543101745,0.517496790766796,31,45,12575.1985399041,4300.04734580015,19942.3861176203,14470.753440142,8982.10463383006,8460.72143329326,NA,4,133134.399041317,79824.436080801,172535.449744566,367425.47734809,-29562.1997598731,-27967.2151190576,0.505884797290989,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",81,30649.0068737647,25183.2652516843,21194.0892901631,24448,5595.49675108012,5389.99495007182,1.32556522985,17,18,75857.8400814308,85176.9135207976,51474.2209133163,55101.4923076923,-644.130562141225,5045.55226413456,0.441244392473757,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",1445,16844.854455145,10742.152421768,16634.2422639207,15045.8993856174,367.369641765175,2540.92099456478,1.66666666666667,150,120,22340.5890540367,13431.9286712623,20066.5867736423,21533.8840085595,-252.33817832104,-6111.84065987495,0.54378014017513,26,12786.049376009,9909.46649639956,7669.07363696093,6541.69538505105,-236.16178929392,-3179.30615467398,1.68440293522218,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",97,24312.6824796836,18748.7501253736,19322.1778939801,21923.6699029126,6266.81624939233,13889.9016496531,0.727881922607922,8,20,47393.6614299658,56246.5886647708,32969.5882431055,42666.6666666667,4550.73302685798,-2349.60594779766,0.166313275013985,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Estonia","Estonia2013",50,54907.8703022429,41900.4381940112,44711.9563977877,61029.3704622631,5260.13445150962,962.447397047794,1.48678659563557,3,21,81566.9614650893,62396.7885295463,72734.5394896607,91527.2924530187,-312.828146154277,4829.76646143649,0.3195340888124,3,71110.5372019546,81958.3852414353,44043.6093336027,40120.6040235432,-5542.75302285771,-3344.74084509782,0.874822047216148,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",173,17879.5161584528,9379.96348089557,22883.4864841875,18600.1135297814,-4801.42171951833,-3160.93648192177,1.5,12,56,10382.7514463378,6873.07461069371,10736.6818467282,12027.880568714,-1006.46007829428,-545.813563693591,2.32158872517617,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",109,25511.2935303722,21883.2378226779,19963.1250160111,24946.8911178528,-2053.3815163091,-775.120872056236,0.31535179775936,7,4,383219.509160194,430633.874124732,290687.852009846,221537.120340734,-168942.833917613,-16350.3374281864,0.559837973957884,2,10231.0045023484,10231.0045023484,7367.84048019202,10419.699932489,3117.98646175522,2937.09662526537,1.68952232200963,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Georgia","Georgia2013",82,14258.5954286106,10016.8182246581,14761.4894808249,14434.9606378071,-1993.75782274706,392.883549816623,1.10200405086107,8,7,12668.7142956061,9130.81324613936,10300.9721859682,15602.4284525585,-3885.30838029107,-4139.08667648294,0.566037735849057,1,12323.1202863286,12323.1202863286,NA,1.81898940354586e-12,0,0,1,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",241,10374.3208704953,4768.90238476235,13015.2777849218,11471.5397093607,7828.06794656525,9275.04132606577,0.954752957902717,19,36,63544.8251450059,25375.5181998065,90609.091541212,61444.535092842,36743.393666254,12088.542548809,0.71842981943723,3,5007.80945774035,4468.61914311206,1564.1814770258,2753.55599424578,-824.28095743912,-728.747805346273,0.930825644055608,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Grenada","Grenada2010",16,22283.6026398615,19775.9328964493,14289.0655010126,24814.8148148148,1199.74190563739,1873.3758786645,0.546522533883224,0,8,63614.5142102243,24867.7423470409,81302.2278805328,83565.6827820187,29756.1519827433,25605.9387667913,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Grenada","Upper middle income"
"Guatemala","Guatemala2010",223,15798.935815156,9065.18714593733,16037.9230483297,17357.8024572828,14568.2727911886,7874.44692942814,0.944094290638078,15,26,49378.6996547311,55817.1663017261,41547.6256048517,46990.1293593741,4870.07398870464,7540.25784409994,1.66561840472257,5,48686.2615830662,28385.0182880899,45030.5009127108,88878.8304394388,54191.447176057,48672.4591063682,7.74555820283623,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Guyana","Guyana2010",41,29998.9434222883,21420.1287259904,28643.0658456072,29475.5501914119,317.349025572026,1642.28824851566,0.67349129022315,4,15,52357.5334814461,48845.1279154818,42738.7927116984,40051.7095064778,24333.4225681497,23620.2214120384,1.22157261938302,4,28691.5836764358,30388.173922514,24521.9887787964,46581.5314210999,20189.9429756177,17320.4742454743,13.2447660853838,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"Honduras","Honduras2010",110,11517.4991399478,11907.8491249054,9586.85376985104,14126.5433355521,5045.63887025749,2707.03872811287,1.53437596790083,19,16,18948.4351196807,3427.95522174918,31325.328524302,26273.1488499366,-2235.26029300761,-5151.73188967839,1.00543746608433,2,28186.2271834328,28186.2271834328,29076.4992462997,41120.3795804482,11563.3453372639,16643.9631635147,6.68963084656864,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"Hungary","Hungary2013",53,115908.937008828,60395.2536402468,117748.905475252,139242.0921194,-19189.0510387585,-11340.5136275054,0.939224176729935,4,8,347040.559768859,238491.948016258,335478.364039135,622756.552475028,-193598.27113739,-84918.9133993483,0.746225238521958,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Hungary","High income"
"India","India2014",6427,25121.6829357041,15988.0398654017,25524.8341833543,24381.7607947375,2206.99972475826,2393.97792538011,0.84375,468,46,41367.9194348746,33189.8858213407,32849.1432876144,47412.8078767084,-4099.61230532046,1218.01996660327,1.27946271864626,45,92666.9216320089,84572.2022130279,67732.5415458956,118870.078927969,-7693.33831957304,2260.46912292427,1.60062510569607,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",761,2596.42801396464,1731.94063160567,2512.54251153812,2774.56889183229,1165.1109973892,2073.78007579072,1,206,62,1085.24568440527,761.830614022171,1013.91528401151,1745.79615665851,944.706292179092,1990.84801714723,1,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",433,25196.167028127,17356.0655393853,23103.5235431145,24861.3911780384,-4721.0733154736,-5524.24645788978,0.555555555555556,30,9,19828.8997504774,16713.5584312306,14911.8928718676,8330.40887013451,2064.37962113311,-1617.32892500005,3.5910050223408,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",163,170162.573507202,149612.114385073,92017.0921549837,131119.609102661,18701.5549719625,11939.2015980943,1.04388178616249,9,11,142110.762329517,133205.11043843,139694.684661323,220609.720819772,72527.7372597803,15116.3560488254,13.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Israel","High income"
"Jamaica","Jamaica2010",78,24368.4796274741,17652.9834539448,17467.7844412043,13588.3628723981,8318.4280610949,15777.7268187863,1.15384615384615,18,8,29914.9933310201,26416.5549005345,12750.3876962074,16497.1217997708,-844.634862075889,-4261.08911801655,1.39582698892555,5,170411.155608649,165488.369151306,102545.819516253,161855.997953416,-3789.87926487734,-3789.87926487733,1.6,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Jordan","Jordan2013",254,37510.1660899081,24104.9239204664,40147.8277842177,37542.4624615264,8988.08892366354,6.6682245379901,1.99590175714642,15,40,72221.5904347605,55416.6883581057,78067.4522075729,86272.9648862841,-1145.24523173042,-24828.2073278463,0.0241260894630452,6,51109.9891985794,53587.6450537016,47503.1740380816,36728.49927424,22230.1519853063,18166.9959153928,1.50268456375839,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",142,22789.9010223361,17967.5468943618,14985.2542077385,15048.8385393963,-6782.22143510424,-6880.83645193895,1.44395891237238,13,8,81034.02924715,47991.7776367832,80461.7637286063,171720.134975656,-20679.2980657264,-18324.3352202683,3.28177886432075,2,41498.7737144005,41498.7737144005,74331.7694698581,105120.996499464,54336.4111483704,44474.2677497731,4.82936994589231,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",263,34641.1419766855,19777.4176466312,39733.0740218088,35994.2197819974,28528.7358449593,24100.9018990613,0.384594915384425,25,58,96013.5694495344,38336.0807881959,134173.584784973,88110.8505080143,50704.9720974508,47224.479839836,2.03843913446745,14,47951.0101452098,24749.8340849643,65777.473199005,36837.8343081379,33621.7751621441,14064.6114363584,1.0482890418569,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Kosovo","Kosovo2013",61,46392.2536230099,32292.7062603471,39830.1167790731,50457.3535317924,11842.2002267967,6910.36631413034,1.65735062911586,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Kosovo","Lower middle income"
"Kyrgyzstan","Kyrgyzstan2013",68,12704.6293330562,9089.59237963681,8978.97546692988,6880.02767205055,3715.91288539174,3694.54366215923,0.857142857142857,3,12,24878.425134097,10073.5445825176,26287.6052236148,34771.4898355926,8239.95877692247,7261.87978941511,0.957475159695013,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Kyrgyz Republic","Lower middle income"
"Laos","Laos2012",74,7963.8226099555,4821.45471017694,8502.15628755539,8606.29665766582,1305.14687369536,1388.07120227899,0.294091556984712,8,12,7761.93167760901,7351.03342165383,3860.35035607322,6069.36063516391,1126.50718984065,1541.7694262181,0.114570393087309,NA,NA,NA,NA,NA,NA,NA,NA,"2012","East Asia and Pacific","Lao PDR","Lower middle income"
"Latvia","Latvia2013",80,35332.6498763413,25424.9960646421,29348.399713936,43104.1078985042,2691.42658054854,2793.57571649782,0.919742532846654,3,17,57954.2951239805,56511.8703812694,34184.237015756,37618.9664880599,15509.2720799156,16072.8466877798,0.592521584100001,2,37371.4277280163,37371.4277280163,7997.74391470841,11310.5179125675,-1358.54107830246,-1542.34335171375,0.83829945233454,"2013","Europe and Central Asia","Latvia","High income"
"Lebanon","Lebanon2013",188,59272.2107737578,46487.6005863949,44505.2727756073,44926.4313213132,4286.88771250309,5801.82671877731,0.60582299898818,13,7,143912.826120979,168010.105869205,79431.1658214992,58191.1184256698,-11028.5510669125,-7617.33133636911,0.431252388321074,2,67428.592906302,67428.592906302,33997.8342507041,48080.1982886583,11602.6924410787,20780.4246840811,10.3438881951211,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Lithuania","Lithuania2013",73,33939.7223171318,27142.9148734857,28057.1795708369,32184.4654233527,4137.13745983727,21590.2278291315,0.591738423690137,5,16,56943.1502969531,32000.2009724495,58459.6862650123,92270.0419446732,42815.0888996394,54796.9983564723,2.74816144983142,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Lithuania","High income"
"Madagascar","Madagascar2013",150,2861.45015208711,1433.85279339656,3556.02009592951,2850.83490742998,739.146895227184,407.974714251468,0.234081116480416,18,60,7012.80527325877,3970.85368004446,8414.65023873856,9237.46315683865,-2826.32105938316,-1182.24100892622,0.219488615261669,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Malawi","Malawi2014",84,10202.8791221342,4425.8266382385,13543.4456637382,10202.9091214875,1177.21293241816,3300.62807800077,2.86540235811053,11,37,20629.8302481621,14177.0864001087,21975.3905690954,25480.7473620383,6376.51517720767,3626.94765774094,0.618024134325104,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Malawi","Low income"
"Mali","Mali2010",88,13847.8434669532,3217.53663708779,26712.1938639842,12237.4017341659,-3890.84864551481,-3078.40487584523,1.06632751072861,16,15,12201.7255417759,6513.25676196543,11213.890217797,21453.1220584048,3116.21761143469,4957.51574184703,1.26693435043847,9,148491.59205835,2785.9367398194,213335.425549768,439229.891663652,-77315.0282529745,-45882.9592576981,0.803733475337781,"2010","Sub-Saharan Africa","Mali","Low income"
"Mauritania","Mauritania2014",27,81525.830168749,41688.3237995516,92508.0293649342,110991.363304233,-39444.249218363,-33274.4868853237,1.74472697471416,0,9,171111.061564734,157814.928627183,119594.905172322,187412.55291287,-44602.3759459842,-40027.29572711,0.772200772200772,3,53281.830334985,54394.1958214517,7366.08572431154,10252.9375998568,-2751.20894217194,-2953.68308602651,0.651481293157479,"2014","Sub-Saharan Africa","Mauritania","Lower middle income"
"Mauritius","Mauritius2009",160,20677.3759405789,15282.2327970718,22371.0711483565,17470.0637889842,7636.14967057469,13519.499973322,1.38588823608599,17,41,17930.6065858579,20097.2656813928,12683.2586477196,14763.434187874,6530.86978593475,9081.12014376485,2.7431426687729,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Mexico","Mexico2010",854,18218.3975585433,16339.438689881,14355.2868171486,12262.8920920996,10148.4985486837,7033.25414713275,0.951470980031805,151,95,51099.8084359483,17787.7220906905,80348.8756114623,48346.8044550594,77201.8828996044,16466.754956102,5,13,121798.988707453,44340.4280447742,136443.804767462,146943.275931194,63694.3823563596,23392.4391728425,0.281482717353573,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Moldova","Moldova2013",75,20734.5240244183,15153.5523908439,19135.787233567,16218.7107556927,1579.00890816975,1453.9724952732,1.25,6,9,12846.2880693143,9585.67316491725,10562.680697694,21550.220610535,11798.6838869615,1414.41776390543,1.4149108179224,5,20522.688127555,13180.6747995576,24450.8779069855,41411.6303260014,3341.26490410127,12199.0357047021,NA,"2013","Europe and Central Asia","Moldova","Lower middle income"
"Mongolia","Mongolia2013",90,18098.9555563427,12874.5774904438,13729.3913734249,15105.5358867942,907.571450249973,3221.19311421178,0.892327150846422,8,9,13560.9466175538,13277.0615694987,2224.74246882771,4538.03440987235,1000.84195144616,1295.13780114972,1.246963304853,NA,NA,NA,NA,NA,NA,NA,NA,"2013","East Asia and Pacific","Mongolia","Upper middle income"
"Montenegro","Montenegro2013",24,33497.0188453206,17082.2006762914,26863.925550645,46452.8016641898,9561.62079541495,8751.12198290874,0.375581507709435,2,3,61425.7769578635,68745.7934009574,18743.6336804511,33388.35468939,-9855.24744146246,-8391.8368653362,0.400102276798117,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Montenegro","Upper middle income"
"Morocco","Morocco2013",130,30328.2054450458,19823.0919602913,28038.751506626,33058.287269584,-2984.10533665059,-2182.67516499149,1.18035830281592,20,21,42527.116401295,27798.9866505834,46993.1799048091,35732.1193281533,26.6716770140223,-1525.55499138455,0.174332108378647,4,103495.172249225,93265.4260591146,77180.6869064271,89469.4476594174,98342.4877340574,185095.46520531,0.109473469432906,"2013","Middle East and North Africa","Morocco","Lower middle income"
