"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Egypt","Egypt2013",22,53435.715253316,77115.1087206297,36699.8829576636,52333.5630804083,-9390.38851041647,-3863.10882723197,NA,36,24819.9343170805,9042.53391623754,27155.9973433192,18387.3973883015,5855.21005454286,5174.75255239709,1.90984974636918,41,20064.6409924191,15195.7902829351,18484.7661991293,15307.5672010194,-2206.39260979131,1347.41337887744,1.19279937301942,22,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",5,20058.1322969381,19490.6670523239,4068.88825939074,3758.13333333333,-2145.26767059909,-2358.28227183343,0.564149100419163,1,175000,175000,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Ethiopia","Ethiopia2011",7,9455.03319284809,3909.07320293233,11744.1833108465,11455.1243511562,-4433.82307319795,-4730.88732489769,0.678930869493483,2,644.514773528456,644.514773528456,411.517830439056,581.974096965265,-189.479938546831,-189.479938546831,1,11,8851.94547235122,5651.48727567258,8592.47429807251,15015.7956500231,-2537.63437992142,-2645.41845107824,0.838857142857143,7,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",1,18600.7521492762,18600.7521492762,NA,0,0,0,1,1,6564.97134680336,6564.97134680336,NA,0,0,0,1,4,38784.5639986271,52085.5936350679,28613.769996962,51922.8091765669,-3788.0468486626,-3747.74999607809,0.818428184281843,0,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Ghana","Ghana2013",17,30278.6636006717,20595.3401398064,26567.8503272863,38591.4361504649,12739.1608881722,11392.3382172357,2.03452891486933,2,4361.69761442581,4361.69761442581,4679.77126104216,6618.19598616967,3477.75849343702,3222.01646695102,34.969426614444,1,2978.18819377635,2978.18819377635,NA,0,0,0,NA,5,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",11,54501.2211268548,39655.3850277654,46141.484005151,72274.6092586216,20849.6021587912,18355.4581965528,1.05733232121665,NA,NA,NA,NA,NA,NA,NA,NA,1,109397.91464674,109397.91464674,NA,0,0,0,1,3,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",39,53471.3446947289,42551.2552519794,40912.9808907413,31976.0797308034,-6757.20015568806,-1596.23701880322,0.226219837272047,185,20689.3305846559,14573.4713656345,18728.7237099444,16973.9689904348,1593.10673692461,1927.21584331493,1.7,425,27940.3130562425,18447.7383062327,27529.9758448884,31976.0797308034,1842.16980046146,511.860155246122,0.676339310340549,55,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",19,22863.3534774202,12823.633139958,24880.5551039093,27489.8766061141,-867.593369817593,-5874.4924352204,2.11950747554357,71,3741.71156292044,2498.84396234276,3552.33950513159,3828.31650199627,2246.49173098808,3607.91531261275,0.833354367801,9,5917.64511266575,4929.17184866343,4154.30117458239,7897.64928012186,-672.08033494654,-4950.23130809745,1.2657800633248,39,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",7,27021.1663417911,18991.4213419247,18498.4758968999,25496.0326842481,-5802.59471733676,-6799.95783940793,0.835908911690846,NA,NA,NA,NA,NA,NA,NA,NA,20,29912.0529954566,17196.4453676845,33652.0149240076,30490.3854070283,-5593.49052522579,-7988.2345825068,0.6,0,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",1,123291.572738323,123291.572738323,Inf,0,1.96104856953065e-27,0,1,1,184937.359107484,184937.359107484,NA,0,0,0,1,1,98633.2581906582,98633.2581906582,NA,0,0,0,1,3,"2013","Middle East and North Africa","Israel","High income"
"Jordan","Jordan2013",10,64923.1572185413,57329.8539716357,34334.1486924172,69636.4468813474,2529.08064733811,2966.83861897537,1.01269852754965,1,40174.8732007773,40174.8732007773,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",6,29247.4921778209,29012.1714669011,15750.796707065,14853.317166923,-1622.13972968704,552.981516093531,0.596318213470856,1,416935.218720646,416935.218720646,NA,0,0,0,1,7,70227.2055822006,44154.5832132296,62529.2027056493,68765.3572542733,40742.6603451957,47342.4427441513,0.831534422031169,1,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",8,63132.6510116331,44400.7630609712,75055.0912442369,66305.1417036793,-30679.6616621313,-35322.9987218501,0.487371167613003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Laos","Laos2012",4,7279.77406353085,7319.54862138798,3623.99369064635,6508.96385873886,-1067.80416421114,-792.474699434097,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2012","East Asia and Pacific","Lao PDR","Lower middle income"
"Latvia","Latvia2013",1,72414.9012694871,72414.9012694871,NA,0,0,0,1,1,7080.56812412763,7080.56812412763,NA,0,0,0,1,3,45258.2584617193,48426.2608267052,19141.8082499266,29425.7376587122,4811.823432261,5803.67824710621,1.12845183717718,1,"2013","Europe and Central Asia","Latvia","High income"
"Lebanon","Lebanon2013",8,171917.424256356,119943.396889962,127553.609160961,204982.907486554,25875.0785382807,21130.5312198078,2.43532349559286,2,19544.3423144909,19544.3423144909,7449.60544101429,10535.3330490108,2822.23034528166,2633.8332622527,1.7169068763975,1,2102.38879473388,2102.38879473388,NA,0,0,0,1,1,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Madagascar","Madagascar2013",2,8548.35357185632,8548.35357185632,8872.75145085042,12547.9654373582,-454.75334946571,-457.758395783454,0.9235,NA,NA,NA,NA,NA,NA,NA,NA,1,356.441385251319,356.441385251319,NA,0,0,0,1,7,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Mauritius","Mauritius2009",5,14869.873491202,10545.6081856696,9463.88990421132,17698.85385096,-2672.41210406982,-2571.99616457006,0.457142857142857,4,22343.0714741113,25131.1051498812,11477.9792443655,25152.5175052667,-1080.12467806553,-663.963971412318,0.752471687183223,NA,NA,NA,NA,NA,NA,NA,NA,1,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Mexico","Mexico2010",45,53600.8393733601,55570.8883040294,29613.3515895957,49954.0371058479,2163.33644037616,1577.14064788893,4.11890320294842,47,26456.8865713264,26124.3449633354,19589.9691809314,24177.8193353565,1275.84859741744,3003.88066087166,1.73021123022165,41,40569.5109459839,31993.0756624724,32888.0256602945,33546.7622749392,5451.09459987361,5106.20305317282,0.554682058818834,18,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Moldova","Moldova2013",1,37104.9941936865,37104.9941936865,NA,0,0,0,1,3,6685.06350650069,5620.76027263788,4343.49143927948,7032.08352922569,1096.26428644612,1136.17235904586,1,4,17019.5560275484,13804.4074350455,12404.5061507726,20715.0272023586,-3258.21107598791,-2763.45381383755,0.868618192049331,1,"2013","Europe and Central Asia","Moldova","Lower middle income"
"Morocco","Morocco2013",5,1177828.72386444,83692.2319916313,1836733.37243733,3089468.00151459,-177358.539244157,-496286.210780162,2.44412214139437,2,93812.4508269212,93812.4508269212,117943.065639548,166796.683015309,44214.8220504035,41699.1707538272,1.83461727207423,NA,NA,NA,NA,NA,NA,NA,NA,2,"2013","Middle East and North Africa","Morocco","Lower middle income"
"Myanmar","Myanmar2014",5,10611.6544823998,9556.10161536394,5887.13844134827,9069.61061985401,-3612.79032986594,-3668.29030533067,0.218384572068753,13,18842.675688114,14685.7930873972,14137.9056234688,12367.6508452554,-11068.0463104981,-7721.7993069522,0.0426895666252336,3,3996.53621491217,4048.1305312511,545.585601735693,0,48.2332535155051,88.3552311237084,1.7507473705185,11,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nepal","Nepal2013",9,63159.3166639008,25363.9173290247,82039.9607885899,94024.0415386946,-19569.4176244528,-19569.4176244528,1.42857142857143,7,5845.49035515803,4532.57025398557,3711.85859310526,5548.17574488609,-527.61844810097,-803.670300509021,0.306454585786235,11,7715.98104678717,6111.21374278586,3290.37214240034,3641.72455124102,262.183245334647,212.608012637105,0.841553755038542,0,"2013","South Asia","Nepal","Low income"
"Nicaragua","Nicaragua2010",4,54356.7417833655,32666.5243980917,49652.8743921154,24910.9098861733,-21470.8792378774,-22462.4970481661,0.13164373285022,3,55395.9045333796,54561.9091190527,9191.05601914067,14047.2745342102,-1875.67688185702,-3060.42729562876,0.15579183176717,NA,NA,NA,NA,NA,NA,NA,NA,2,"2010","Latin America and Caribbean","Nicaragua","Lower middle income"
"Nigeria","Nigeria2014",4,15371.9083360239,998.235931895088,33903.5990862452,4154.01340952667,22523.3251825126,25697.22165032,0.692950889101773,9,4049652.63735805,1801.19637128506,6375219.22133033,11421248.0816175,3450540.16434652,958682.789310448,1.81635875739518,3,1359.56908155074,971.022334251309,2015.7699120183,3535.0904221546,-250.657052331914,-155.368662239103,0.821845134916084,10,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",3,23632.7851129079,22468.1664695693,5981.87792905213,3676.27437225735,3599.68875158108,4654.01383395055,1.78859054089779,19,48412.5942119292,8010.60987582165,75098.121834332,51287.8837248491,-22214.6883727532,-16523.0474939819,1.51848718649732,1,0.0509022605389479,0.0509022605389479,NA,0,0,0,1,17,"2013","South Asia","Pakistan","Lower middle income"
"Paraguay","Paraguay2010",3,22167.1277086498,21144.4210617404,3246.44666089948,1258.712387576,1364.4227825563,1530.11791889052,0.927443131059925,1,137619.221041643,137619.221041643,NA,0,0,0,1,3,19934.7603461134,19992.8039295165,19196.8345145203,23495.9645680854,-5617.31596585285,-7570.43756337199,0.725484003004008,3,"2010","Latin America and Caribbean","Paraguay","Upper middle income"
"Peru","Peru2010",22,63092.0867566823,62053.8124741554,30143.3139927835,7748.05537645865,7195.9884225743,7212.67508388507,0.717225078922598,2,32074.0791624594,32074.0791624594,2348.01535615834,3320.59516133942,704.402208945416,922.387544816505,2.64783917043483,11,26774.0105348766,28962.4479655009,12869.1982285646,13198.7415943014,2755.34739656298,3254.88707722358,3.76655299895512,7,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",69,29607.6037048374,18353.7657466437,27988.2309289068,25071.9181751342,-2602.07110027212,-5462.50468002403,0.423741309381839,48,18012.3526149618,11399.8281212621,24681.6248802215,17936.6887178166,3567.20229896883,3133.7886335213,0.900532602809531,22,14152.280233998,7490.55970893157,14484.3336506661,15882.5225991183,-3753.67641378411,-4978.09945315458,0.371867605506887,29,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Poland","Poland2013",3,372587.987500374,150112.258938513,545464.574823559,950882.507736696,-216811.95126903,-195583.502665267,0.989582607015116,5,85125.9173926432,24881.8154514934,127636.92698755,223720.888130015,2320.02222645949,138031.107026694,1.73209961594326,4,218946.634499441,201720.827340198,183483.936368562,294015.204846193,-64535.7071501357,-65104.594921059,0.717122865555889,6,"2013","Europe and Central Asia","Poland","High income"
"Romania","Romania2013",5,38929.4964387213,27240.9630583446,31354.1742152089,51386.0231437869,-14598.3578730717,-10785.9292770894,0.0983889147661338,1,8102.9853030033,8102.9853030033,NA,0,0,0,1,2,37666.4569435816,37666.4569435816,17539.2096873381,24804.1882131391,8719.59907324437,9646.07319399854,4.90986606694931,1,"2013","Europe and Central Asia","Romania","Upper middle income"
"Russia","Russia2012",11,36232.2672888956,41920.309297957,25227.2768525355,34401.6311192903,-7138.82247284882,-1760.24276340059,0.196937009585071,41,32940.0531076226,15928.7731645881,46732.0785710971,33539.6377203467,-9528.51441498183,-5558.84066462404,0.668576867813692,40,35116.5899475628,34363.0684631896,20214.522685926,16420.7568975225,7675.54380162741,7801.81973520422,0.217014019035902,39,"2012","Europe and Central Asia","Russian Federation","High income"
"Senegal","Senegal2014",4,142421.783127381,143447.836096818,21944.228286082,15802.7794229942,-362.605785139622,-1384.44364206109,2.96251543502087,1,18963.3353075931,18963.3353075931,NA,0,0,0,1,1,22756.0023691117,22756.0023691117,NA,0,0,0,1,2,"2014","Sub-Saharan Africa","Senegal","Lower middle income"
"Slovenia","Slovenia2013",10,90786.8237529433,96586.6509541717,49856.024682849,64797.8645355649,2028.47751748395,-8671.66443931259,1.12014947980249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"2013","Europe and Central Asia","Slovenia","High income"
"SriLanka","SriLanka2011",4,15992.7843745226,13534.2866112638,6099.40913250435,9647.9199796645,0.937581331353137,951.832908948059,0.975169875082615,8,15151.9163005467,7957.66367180657,22071.7149588225,40628.8645840656,-8839.40091594291,-18286.471321158,0.32374985686968,2,44299.2917462207,44299.2917462207,18791.2885205727,26574.8950802598,1220.33915940371,1270.97324296895,1.12257492934232,0,"2011","South Asia","Sri Lanka","Lower middle income"
"Sudan","Sudan2014",1,16219.7701193011,16219.7701193011,NA,0,0,0,1,3,10942.0850458035,3631.54665482389,15324.8163220752,25703.9700694949,-8855.98598010037,-7504.31151322082,0.454033843668631,1,11817.2610869194,11817.2610869194,NA,0,0,0,1,2,"2014","Sub-Saharan Africa","Sudan","Lower middle income"
"Sweden","Sweden2014",5,223748.869558097,208253.888346177,38077.5451432848,48797.3883383246,14623.4464110079,-3218.97948097832,1.44949853830876,1,111136.635641352,111136.635641352,Inf,0,0,0,1,1,239706.469030367,239706.469030367,NA,0,0,0,1,5,"2014","Europe and Central Asia","Sweden","High income"
"Tanzania","Tanzania2013",8,20168.9369014725,15290.6207748328,16818.5041482129,17609.8809378018,-4005.49202212904,-4557.21232143752,0.305022727486301,1,800845.363846058,800845.363846058,NA,0,0,0,1,1,840.887632038361,840.887632038361,NA,0,0,0,1,7,"2013","Sub-Saharan Africa","Tanzania","Low income"
"Trinidadandtobago","Trinidadandtobago2010",5,29154.06458645,25247.3869765822,19176.5400514631,35761.8583969691,-839.322496824302,-2164.98222134668,1.63214219726557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Trinidad and Tobago","High income"
"Tunisia","Tunisia2013",10,71872.8516672368,74936.5194984653,45968.631562975,59860.6546684152,28560.0393252296,21276.1145982052,2.09190684293082,1,105869.986149003,105869.986149003,NA,0,0,0,1,1,101458.736726127,101458.736726127,NA,0,0,0,1,3,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Turkey","Turkey2013",10,79641.8158989143,75647.5465076585,54060.7911060253,60573.2500423604,38883.3466612986,135683.110166003,1.2003840434779,12,53710.47304899,57787.4582584384,45214.4263746168,93102.0160830397,6867.68835815448,79055.3612948545,NA,2,34063.4863118702,34063.4863118702,42807.7085355086,60539.2419850307,-1857.43799695495,-2328.43238403964,0.958579914739655,15,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Ukraine","Ukraine2013",1,20246.9622312203,20246.9622312203,NA,0,0,0,1,6,10101.6877595206,7142.93300580505,8445.46853747653,2125.93103427813,6579.40866547552,5648.72467136111,1.10053112172584,1,3948.15763508795,3948.15763508795,NA,0,0,0,1,7,"2013","Europe and Central Asia","Ukraine","Lower middle income"
"Uruguay","Uruguay2010",7,50502.4985471737,50282.2486537169,20201.5452343126,22396.098718407,3503.48950528808,7918.73546793722,1.11706644628456,2,72357.7325147613,72357.7325147613,41695.6570726112,58966.5637241444,10200.6299141762,14320.4511901494,2.31332747736185,3,28500.1458175359,27529.0949598212,4057.66004133054,6964.85138607128,-560.956070594812,-633.008012931932,0.932409376089949,3,"2010","Latin America and Caribbean","Uruguay","High income"
"Uzbekistan","Uzbekistan2013",1,31625.2092862181,31625.2092862181,Inf,0,0,0,1,2,76383.3848239188,76383.3848239188,93756.7773354893,132592.106072243,48146.4912749334,51563.5968058724,4.78697832178145,3,17233.1131256645,16347.3222481746,6680.93222054785,13200.6091174538,-3497.02121987301,-3492.33506032242,0.197237459613693,2,"2013","Europe and Central Asia","Uzbekistan","Lower middle income"
"Venezuela","Venezuela2010",2,104458.124867653,104458.124867653,34489.8898343074,48776.0699684314,12468.1764144098,11816.8829304963,1.79477493052224,1,54960.4098742431,54960.4098742431,NA,0,0,0,1,3,98427.9654234546,100056.991042734,67079.9035918759,136395.755837357,31182.0467042119,31813.2037252013,1,1,"2010","Latin America and Caribbean","Venezuela, RB","High income"
"Vietnam","Vietnam2009",14,61180.334382545,55597.6389025331,38356.148599552,63738.3165262244,-4459.92456447942,13332.6739049377,0.298692832981288,6,14781.1743297415,9675.11019599179,13166.4700322327,9531.30714797466,185.631619079497,-235.673794195936,0.938722361153406,8,11571.2481874178,6538.35462271272,10463.0013308977,14683.3650657988,-2.55534876787445,-463.084215135873,0.656680918540598,1,"2009","East Asia and Pacific","Vietnam","Lower middle income"
"West Bank And Gaza","West Bank And Gaza2013",2,14178.5375770394,14178.5375770394,2615.41045253031,3698.74893314072,693.515424963884,693.515424963884,1.6,3,47724.665356092,19135.1429568905,51871.0558934831,91161.0848168015,-5089.73647413316,-5089.73647413316,0.523809523809524,5,19057.2306398073,21926.2063326427,9941.45982463989,21452.7438122162,3818.04817348839,1624.57399821559,1.51932047065553,5,"2013","Middle East and North Africa","West Bank and Gaza","Lower middle income"
"Zambia","Zambia2013",11,13025719.9409673,9261808.2485715,12240045.2294787,13161366.7216225,6270908.30871244,6018875.93403216,0.711423781803334,1,9236046.82219124,9236046.82219124,NA,0,0,0,1,2,7051596.05125458,7051596.05125458,2537710.00613884,3588863.90805145,156172.769210654,156037.561219628,1.09414598976694,9,"2013","Sub-Saharan Africa","Zambia","Lower middle income"
