"countryOnly","country","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Egypt","Egypt2013",174,17947.8986807235,12499.018802004,16671.6645372803,20954.7858701553,-853.257428806299,-435.779532262299,0.175299648725954,174,17947.8986807235,12499.018802004,16671.6645372803,20954.7858701553,-853.257428806299,-435.779532262299,0.175299648725954,-142,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",19,35486.7749132373,37618.5377377722,24796.1363156113,40465.2222222222,-23263.8838556742,-5320.55293322454,0.0225454006514356,19,35486.7749132373,37618.5377377722,24796.1363156113,40465.2222222222,-23263.8838556742,-5320.55293322454,0.0225454006514356,-17,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Estonia","Estonia2013",7,10626.8403146964,12201.8572091813,5633.2414394704,8505.09151131892,3665.53429756904,6134.30354132352,0.852039799837498,7,10626.8403146964,12201.8572091813,5633.2414394704,8505.09151131892,3665.53429756904,6134.30354132352,0.852039799837498,-7,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",6,4166.90166431835,2352.41118254365,4557.67610308613,5250.26532761325,-1017.48150803112,-963.136015553664,30.95,6,4166.90166431835,2352.41118254365,4557.67610308613,5250.26532761325,-1017.48150803112,-963.136015553664,30.95,-3,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",NA,NA,NA,NA,NA,NA,NA,NA,11,7183.00827280004,5323.31232093926,5473.7589282284,5993.32149331732,3827.91947301277,3026.40793039225,1.50339773699485,2,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,18,8227.09565679188,4245.6051057937,10994.8378994715,9530.20222008435,-2439.84053137639,-2954.85161563792,0.928538752501783,7,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",29,11268.1572464402,7983.74940079167,9478.55595643289,13577.006681589,-520.706996693963,-650.766247974753,1.30155052439506,29,11268.1572464402,7983.74940079167,9478.55595643289,13577.006681589,-520.706996693963,-650.766247974753,1.30155052439506,-14,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",9,20284.9057926706,21169.5095553874,7656.64293697399,0,6150.32456395395,7558.11825323305,NA,9,20284.9057926706,21169.5095553874,7656.64293697399,0,6150.32456395395,7558.11825323305,NA,-7,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,230,26827.7500571028,15988.0398654017,27937.8796121639,31656.3189334953,7517.41165930498,2199.52237727302,1.36206821541885,17,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",116,3415.19381535648,2672.13697447732,3180.60444874987,3429.24245057923,917.650165223804,1722.44627161734,1.33333333333333,116,3415.19381535648,2672.13697447732,3180.60444874987,3429.24245057923,917.650165223804,1722.44627161734,1.33333333333333,-88,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Jamaica","Jamaica2010",NA,NA,NA,NA,NA,NA,NA,NA,7,11893.9988900453,10701.2843191036,4076.18262113023,5861.04640744209,949.62005795052,985.470777836811,NA,3,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Jordan","Jordan2013",59,20859.3217554122,22319.3740004318,13240.4201429047,8927.7496001727,2705.72490370178,378.475972366018,0.139857022561012,59,20859.3217554122,22319.3740004318,13240.4201429047,8927.7496001727,2705.72490370178,378.475972366018,0.139857022561012,-52,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",NA,NA,NA,NA,NA,NA,NA,NA,8,12945.2920726385,12135.1018801456,3401.90142222258,4812.12731606746,39.7784166864935,299.606048465399,0.576054843337941,2,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,10,10474.2668471908,9057.98738041426,8350.53893537212,11944.5104336092,2942.32577168025,3003.78446456372,1.10188490376938,2,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Laos","Laos2012",22,2740.32569902821,2604.43417349575,1985.36447282622,1492.35502934048,1005.84551435965,1003.65509825817,0.474495869990544,22,2740.32569902821,2604.43417349575,1985.36447282622,1492.35502934048,1005.84551435965,1003.65509825817,0.474495869990544,-18,"2012","East Asia and Pacific","Lao PDR","Lower middle income"
"Lebanon","Lebanon2013",NA,NA,NA,NA,NA,NA,NA,NA,13,53370.8526372143,53606.5588925504,24382.172483033,43349.6397252628,552.96406821882,-592.827749546995,0.685666438643313,0,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mali","Mali2010",25,2130.83419595504,1933.91646495747,1376.18817653433,1814.25569407595,105.134942871067,117.092812915219,0.592364924094795,25,2130.83419595504,1933.91646495747,1376.18817653433,1814.25569407595,105.134942871067,117.092812915219,0.592364924094795,-24,"2010","Sub-Saharan Africa","Mali","Low income"
"Mauritius","Mauritius2009",15,4086.95524994395,3911.95674370301,2469.45307008187,3139.39590982542,391.874040904464,-180.308703551609,0.474394676742518,15,4086.95524994395,3911.95674370301,2469.45307008187,3139.39590982542,391.874040904464,-180.308703551609,0.474394676742518,-14,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Mexico","Mexico2010",114,25366.6998382335,17989.2158429744,22183.3499874736,18500.0527251502,5513.72703150843,6050.28239754406,2.03804745866423,114,25366.6998382335,17989.2158429744,22183.3499874736,18500.0527251502,5513.72703150843,6050.28239754406,2.03804745866423,-105,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Moldova","Moldova2013",9,29138.9069006152,16411.716278795,30751.268287247,45247.4790306343,6677.99327779484,-3841.28116479128,0.992771321476066,9,29138.9069006152,16411.716278795,30751.268287247,45247.4790306343,6677.99327779484,-3841.28116479128,0.992771321476066,-7,"2013","Europe and Central Asia","Moldova","Lower middle income"
"Mongolia","Mongolia2013",NA,NA,NA,NA,NA,NA,NA,NA,7,14740.4088896837,12495.7891877235,10527.7699396923,18196.753146328,4463.91705840969,4569.37860320382,0.67525760164797,0,"2013","East Asia and Pacific","Mongolia","Upper middle income"
"Morocco","Morocco2013",37,11775.7728847743,10607.2041148196,11756.7104963176,9948.70789662982,-1441.23282185311,-2147.06530264487,0.760592510798132,37,11775.7728847743,10607.2041148196,11756.7104963176,9948.70789662982,-1441.23282185311,-2147.06530264487,0.760592510798132,-36,"2013","Middle East and North Africa","Morocco","Lower middle income"
"Myanmar","Myanmar2014",49,3143.22100516723,2968.23620286131,2135.50426916781,928.21132116969,-636.933311709597,-428.219144219541,0.147076975903137,49,3143.22100516723,2968.23620286131,2135.50426916781,928.21132116969,-636.933311709597,-428.219144219541,0.147076975903137,-33,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,14,2860.39888413339,2813.33958716017,759.476968559601,1023.01133227066,158.796684922379,-74.0817222834445,1.40606571490956,5,"2013","South Asia","Nepal","Low income"
"Nicaragua","Nicaragua2010",NA,NA,NA,NA,NA,NA,NA,NA,5,7241.50393334642,8685.62060769213,3544.30882812357,6924.13573915443,807.711344727808,445.055593369138,1.56483301147559,1,"2010","Latin America and Caribbean","Nicaragua","Lower middle income"
"Nigeria","Nigeria2014",113,1157.37251469686,503.665962781666,1446.88946140948,2337.52141876664,-112.630818584359,-225.313772216033,0.940207111676245,113,1157.37251469686,503.665962781666,1446.88946140948,2337.52141876664,-112.630818584359,-225.313772216033,0.940207111676245,-62,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",50,7848.62751404879,3194.56193857869,9392.38377435465,13573.9361437195,-377.880127562292,-67.266035135022,0.0752673168739176,50,7848.62751404879,3194.56193857869,9392.38377435465,13573.9361437195,-377.880127562292,-67.266035135022,0.0752673168739176,-14,"2013","South Asia","Pakistan","Lower middle income"
"Paraguay","Paraguay2010",5,27216.5408885778,16432.1498748373,34228.1442935059,6901.58402340402,2156.71035666654,-5539.16062123308,0.89739130590196,5,27216.5408885778,16432.1498748373,34228.1442935059,6901.58402340402,2156.71035666654,-5539.16062123308,0.89739130590196,-3,"2010","Latin America and Caribbean","Paraguay","Upper middle income"
"Peru","Peru2010",NA,NA,NA,NA,NA,NA,NA,NA,102,19354.7357943708,16602.9758066971,16424.3497331711,19259.4519357687,1923.17589905303,-4996.41893573348,1.44283688356168,11,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",84,8128.97964177953,7579.77494187658,11132.5272270199,3789.88747093829,384.587148480327,0.724889073086578,0.995886777359078,84,8128.97964177953,7579.77494187658,11132.5272270199,3789.88747093829,384.587148480327,0.724889073086578,0.995886777359078,-38,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Poland","Poland2013",6,20016.7625759319,19811.3843072615,11710.9031029392,15154.4341246488,-2190.3703985576,-2544.54989151647,1.14619427049082,6,20016.7625759319,19811.3843072615,11710.9031029392,15154.4341246488,-2190.3703985576,-2544.54989151647,1.14619427049082,-3,"2013","Europe and Central Asia","Poland","High income"
"Romania","Romania2013",25,12931.876307171,10810.5933640121,8334.0725965128,8305.2359477818,24.0625353064926,606.859760235237,0.651845612569287,25,12931.876307171,10810.5933640121,8334.0725965128,8305.2359477818,24.0625353064926,606.859760235237,0.651845612569287,-19,"2013","Europe and Central Asia","Romania","Upper middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,31,16299.9853522881,10931.3373309322,11112.895175903,15297.1580481464,4136.73594272613,1715.57005496861,0.647245718253024,6,"2012","Europe and Central Asia","Russian Federation","High income"
"Senegal","Senegal2014",NA,NA,NA,NA,NA,NA,NA,NA,14,4427.50924055189,2370.41691344914,4542.97414575783,7053.78608790016,1265.5143783126,867.451636894696,1.98995332519709,8,"2014","Sub-Saharan Africa","Senegal","Lower middle income"
"Serbia","Serbia2013",NA,NA,NA,NA,NA,NA,NA,NA,12,14193.3143810006,12130.8898496503,8848.73075795837,9046.53617983104,559.579881695351,9349.85921641672,NA,2,"2013","Europe and Central Asia","Serbia","Upper middle income"
"SriLanka","SriLanka2011",88,3702.57827155455,2621.21706993972,2650.62233817405,2293.56493619725,-1083.53592060235,-1275.288167211,1.18486463940808,88,3702.57827155455,2621.21706993972,2650.62233817405,2293.56493619725,-1083.53592060235,-1275.288167211,1.18486463940808,-63,"2011","South Asia","Sri Lanka","Lower middle income"
"Stlucia","Stlucia2010",7,27027.1437954873,23630.4664164677,15472.4986120189,23477.0955165692,2842.44231945703,2387.62951574392,0.767857118021875,7,27027.1437954873,23630.4664164677,15472.4986120189,23477.0955165692,2842.44231945703,2387.62951574392,0.767857118021875,-7,"2010","Latin America and Caribbean","St. Lucia","Upper middle income"
"Tajikistan","Tajikistan2013",NA,NA,NA,NA,NA,NA,NA,NA,6,1552.00609616345,1478.82346881648,1095.13106057747,956.49187824358,1172.16826551345,1166.73793052506,NA,6,"2013","Europe and Central Asia","Tajikistan","Lower middle income"
"Tanzania","Tanzania2013",38,3645.94123450728,1703.25736506421,4200.21297388483,7557.97812129718,538.659687838159,1453.22392714835,1.18637848760541,38,3645.94123450728,1703.25736506421,4200.21297388483,7557.97812129718,538.659687838159,1453.22392714835,1.18637848760541,-19,"2013","Sub-Saharan Africa","Tanzania","Low income"
"Trinidadandtobago","Trinidadandtobago2010",NA,NA,NA,NA,NA,NA,NA,NA,8,48570.9917525848,46645.921193162,23512.6023130599,21080.6744234765,-11834.040299523,-10117.6390857563,0.540080096892498,1,"2010","Latin America and Caribbean","Trinidad and Tobago","High income"
"Tunisia","Tunisia2013",78,11560.0497453352,8080.63312965496,8739.7490689665,9992.23615699889,3295.06342402265,3109.23337559756,0.666941125737184,78,11560.0497453352,8080.63312965496,8739.7490689665,9992.23615699889,3295.06342402265,3109.23337559756,0.666941125737184,-72,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Turkey","Turkey2013",NA,NA,NA,NA,NA,NA,NA,NA,98,44886.7758491614,36882.0219551278,38131.9386200439,51880.2958586869,-663.064359216135,8599.48104000414,1,56,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Uganda","Uganda2013",9,3166.19491587678,2052.96647105848,3928.43428128833,4479.624818778,826.4904106548,683.7544097212,NA,9,3166.19491587678,2052.96647105848,3928.43428128833,4479.624818778,826.4904106548,683.7544097212,NA,-7,"2013","Sub-Saharan Africa","Uganda","Low income"
"Ukraine","Ukraine2013",129,7439.20872371694,4444.80097507939,6432.1811011892,8908.66338173695,-1630.81961649915,-1919.40842408283,0.642770619289526,129,7439.20872371694,4444.80097507939,6432.1811011892,8908.66338173695,-1630.81961649915,-1919.40842408283,0.642770619289526,-102,"2013","Europe and Central Asia","Ukraine","Lower middle income"
"Uruguay","Uruguay2010",NA,NA,NA,NA,NA,NA,NA,NA,41,19937.5510301942,16340.674590981,13637.9402199108,18167.3299711464,5979.39177557377,7026.53931061359,1.32888690409347,31,"2010","Latin America and Caribbean","Uruguay","High income"
"Uzbekistan","Uzbekistan2013",NA,NA,NA,NA,NA,NA,NA,NA,1,207.701891708188,207.701891708188,NA,0,0,0,1,5,"2013","Europe and Central Asia","Uzbekistan","Lower middle income"
"Vietnam","Vietnam2009",109,6393.7975902281,4412.60267543155,5822.21241434105,5088.99723339545,157.503099205229,341.345220998593,0.725463931318825,109,6393.7975902281,4412.60267543155,5822.21241434105,5088.99723339545,157.503099205229,341.345220998593,0.725463931318825,-101,"2009","East Asia and Pacific","Vietnam","Lower middle income"
"West Bank And Gaza","West Bank And Gaza2013",NA,NA,NA,NA,NA,NA,NA,NA,10,9540.82071479891,9365.34972073662,6644.38800054416,7089.26878851965,-885.2956719234,-646.140011256281,NA,0,"2013","Middle East and North Africa","West Bank and Gaza","Lower middle income"
"Yemen","Yemen2013",NA,NA,NA,NA,NA,NA,NA,NA,1,2070.01366977931,2070.01366977931,NA,0,0,0,1,8,"2013","Middle East and North Africa","Yemen, Rep.","Lower middle income"
"Zambia","Zambia2013",21,3482758.58897784,3538613.56260016,1998009.03423407,1924176.42128984,126006.643818655,164108.722773943,1.04323799332851,21,3482758.58897784,3538613.56260016,1998009.03423407,1924176.42128984,126006.643818655,164108.722773943,1.04323799332851,-11,"2013","Sub-Saharan Africa","Zambia","Lower middle income"
