"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","yearOnly","region","countryDes","incomeLevel"
"Colombia","Colombia2010",10,70668.9561649993,67689.0212403838,26863.1501858863,42769.5771292925,-2272.16012565859,-1164.2616006732,0.187349611951596,4,18834.1128575076,19109.1092692981,5922.14734703078,5946.15926478081,2236.97282255746,2486.04224524224,0.872631258207811,4,6,22325.1575335376,16564.3941174534,12305.941171738,18240.0366018341,9270.98148006811,5613.38138068426,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",10,42933.0879993455,40662.8497885851,18724.3465409655,35016.060390794,-5867.28896846132,-4698.86630420392,3.69088516986201,2,24007.2018204625,24007.2018204625,9424.2684284753,13327.9282269943,-5056.76918095078,-4581.47532802931,0.519713188443666,1,6,32865.6048815421,26421.3662646919,27440.2357398417,21507.6855227158,9803.45056676442,499.363247004795,1.80257870000136,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",1,45777.2671508814,45777.2671508814,NA,0,0,0,1,3,38862.4711744814,15719.2837994296,55607.6269692256,105564.99389377,-18291.3762471703,-19352.0034805931,1.30515228428473,2,2,263244.689578485,263244.689578485,208713.370337075,295165.27897929,-123783.332058146,-105416.171064032,0.39174254812071,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",10,115243.503009638,102640.039807787,99883.3071432946,81722.3186110468,-19291.8492267101,-12620.4282146346,0.223535555458312,2,21412.8401114184,21412.8401114184,8721.32560419494,12333.8169513242,473.19126103609,474.377575050931,1.08538865412221,1,1,34413.9368082403,34413.9368082403,NA,0,0,0,1,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",13,84522.9875259219,79918.2757536956,46072.7300296067,43173.7021646881,-7551.52496130254,-5340.24499363281,0.717158792898071,3,29095.9151922445,28939.618398197,26811.7669691726,38238.992457596,8177.97766400603,15481.5777001558,3.68453380637023,3,1,57136.7390487818,57136.7390487818,NA,0,0,0,1,"2013","Europe and Central Asia","Czech Republic","High income"
"Egypt","Egypt2013",14,103295.362352326,117824.295475629,73964.0855488031,107981.585155909,26319.6625788982,31672.7738741582,3.25515296618834,12,9552.50670846076,9055.96092167265,2658.62004157859,2803.58373645044,-2814.66711164211,-2370.08831112884,0.0342181676770857,24,1,10742.152421768,10742.152421768,NA,0,0,0,1,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Estonia","Estonia2013",1,47093.5299630062,47093.5299630062,NA,0,0,0,1,1,384436.979289847,384436.979289847,NA,0,0,0,1,1,3,174673.508712681,174262.996609444,27504.3823754043,39460.3679036466,-11035.3894786424,-4341.19979551091,0.592037751915446,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",1,17182.6865267343,17182.6865267343,NA,0,0,0,1,1,49093.3900763836,49093.3900763836,Inf,0,0,0,1,4,3,17355.3982852055,8591.34326336713,20993.7001836982,39147.3601707014,-9820.2576804337,-9820.2576804337,0.155555555555556,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Hungary","Hungary2013",1,34140.3681894478,34140.3681894478,NA,0,0,0,1,1,240708.67736894,240708.67736894,NA,-2.91038304567337e-11,0,0,NA,4,2,1382053.92266664,1382053.92266664,1191366.34308961,1684846.44015216,-19001.0633067942,-22768.1951371913,0.96267903638642,"2013","Europe and Central Asia","Hungary","High income"
"India","India2014",67,34134.5428955085,23665.9530912761,26892.7345976789,30021.9859694765,-298.793911528605,1967.68099807028,2.38770361562477,209,19058.6699615489,15988.0398654017,13607.6405601129,15429.5089663217,5121.85054428587,6380.33770476074,0.715303153749607,68,376,25862.0858932387,19060.2907944524,23559.1402647223,21583.8538182922,-942.290234530431,1351.8504287881,0.966666666666667,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",1,136.390324738947,136.390324738947,NA,0,0,0,1,4,2277.16130236391,1658.69512551585,3727.89057953463,2286.16163371949,3077.30172359843,1735.12287092198,1.05139786633939,4,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",1,16324.0832640705,16324.0832640705,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,7599.14220913628,7599.14220913628,NA,0,0,0,1,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",8,133731.292407383,138842.997831066,67450.3431134972,96465.49427438,42438.7975766719,45110.2791528176,3.64908062918651,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Israel","High income"
"Jordan","Jordan2013",6,140629.990524386,100987.062292582,114621.66034277,189058.226827187,-40616.8199136853,-7493.04030643568,0.57013853762263,1,37942.9358007341,37942.9358007341,NA,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",8,55416.6365703388,53720.7361477646,42754.3601708151,71515.9715444442,-6798.91926083873,-16489.723723565,1.20392260551781,4,18179.9348760757,17190.0627321621,5631.94011997156,0,-0.185694425959866,-1222.98659039397,0.997294003274897,5,6,33053.0155133466,39204.1390457166,17005.6310435649,35207.8629141879,4012.18932454745,1206.1051824507,3.66926416059216,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",9,41610.5783669137,40524.0374147071,22361.1423081611,43921.5181863658,1411.60652493899,4673.89600172774,0.751484117797306,3,9707.54747214668,9519.34576456513,1313.28745224915,2249.63873637483,-26.00600366567,22.5952415455101,1,3,6,128951.607037955,59862.3058618096,155969.341298271,326197.616774351,112606.788852998,118361.662951733,1.91052553334654,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Kyrgyzstan","Kyrgyzstan2013",NA,NA,NA,NA,NA,NA,NA,NA,2,19090.5107089455,19090.5107089455,14888.6643710076,21055.7510791001,3460.61716811701,5068.97711163521,2.32082052646349,0,3,8433.98300178095,7550.84910706679,5282.8146905386,4099.85110829772,-2209.15911820334,-2779.05131358743,0.475873925111611,"2013","Europe and Central Asia","Kyrgyz Republic","Lower middle income"
"Latvia","Latvia2013",4,96053.0577956819,66470.5452747651,96296.7894163523,158310.468603872,-39486.4484212031,-31835.8598207791,0.870189453909736,1,46989.2248237561,46989.2248237561,NA,0,0,0,1,0,1,7007.00377998085,7007.00377998085,NA,0,0,0,1,"2013","Europe and Central Asia","Latvia","High income"
"Lebanon","Lebanon2013",5,47349.0898877257,32019.9674823957,30388.4256899015,31535.8319210082,6047.11458737132,-3364.07626224333,1.15025751212249,3,28430.8365745039,32371.6104756854,47460.1262142542,68027.2945724605,46672.943797495,22188.7551022264,7.70591173475032,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Lithuania","Lithuania2013",1,1560.4589296171,1560.4589296171,NA,0,0,0,1,2,32170.1689313549,32170.1689313549,2739.99961600376,0,241.007202730057,387.49446178496,1.07995468442373,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Lithuania","High income"
"Mexico","Mexico2010",38,54981.4227093098,32359.2801485074,45880.2067014462,49333.4739337341,22776.338853486,26411.9451522587,0.685883253394322,1,8880.02530807213,8880.02530807213,NA,0,0,0,1,40,31,41172.3573492595,32967.9959391526,25633.5740143885,34660.3928997668,-1367.1711943644,26.0175450871378,0.495903623987312,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Morocco","Morocco2013",5,30066.4283674546,24183.9934451342,25367.2930596808,33436.4049344322,24764.9653258684,21357.2943883478,1.11064118837496,2,9185.19685148639,9185.19685148639,264.86344701387,374.573478943903,67.7892871853765,66.1012021665711,1.49307084535541,2,1,77136.0036290292,77136.0036290292,NA,0,0,0,1,"2013","Middle East and North Africa","Morocco","Lower middle income"
"Myanmar","Myanmar2014",NA,NA,NA,NA,NA,NA,NA,NA,29,6251.94136757445,2968.23620286131,5633.47327674753,5936.47240572262,462.063000487998,-151.427560830364,0.989471783622285,6,7,17659.5496521985,22877.2716498707,9308.14617039132,12329.5965349624,-584.544592878516,1542.15024884778,1,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nepal","Nepal2013",3,7276.20024170211,7281.32224388203,211.719152819633,265.717229161211,-74.7253893193955,-253.308939828466,0.727076605453279,1,5580.06181238544,5580.06181238544,NA,0,0,0,1,5,1,6138.06799362398,6138.06799362398,NA,0,0,0,1,"2013","South Asia","Nepal","Low income"
"Nigeria","Nigeria2014",3,5141.6417686388,3651.32106617766,4359.40681009472,6854.4607451125,-2631.80842822777,-1936.28834607698,NA,1,79.4062477712659,79.4062477712659,NA,0,0,0,1,17,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",3,7811389.54690123,6818647.61973238,8342195.74829827,12657695.4540184,-7120335.07003975,-4050536.54532382,0.0733332676940319,9,10682.9016803843,7112.51291731085,14825.538779728,16821.985149538,-1521.55437190265,-2035.88595499558,2.19912701742793,19,4,468134.408659674,12399.2373929279,778476.789637026,1419664.04643126,-84995.0566419943,-86508.5184084807,1.61945347460376,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",9,57880.2774501121,39286.7378421401,47039.6207375015,77480.5537645865,27023.8620442353,18684.6168997503,2.19068992082417,4,41759.9549377974,43689.092808601,21766.989094002,34312.816667174,-6391.2003417799,-2950.69233780214,0.818905304908062,1,11,28871.2759287669,22311.1083258934,18530.1033183076,16602.9758066971,682.16898752139,-1138.96065577793,0.92788867935679,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",5,124737.897415046,25208.1411931838,194363.000243425,184167.706376027,76543.0226147279,-40747.7974387745,7.80378415943497,1,20425.5591097922,20425.5591097922,NA,0,0,0,1,0,1,11083.7256358287,11083.7256358287,NA,0,0,0,1,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Poland","Poland2013",7,140651.896759764,81134.6735413586,116583.144466993,144829.712016828,-61385.5015705405,-55126.616806342,0.728027773912698,7,68593.4704097547,47121.3971897214,83950.6507476386,29828.8120441497,-39490.6034959041,-100711.321852296,0.171511963121494,4,1,6533.67121880429,6533.67121880429,NA,0,0,0,1,"2013","Europe and Central Asia","Poland","High income"
"Romania","Romania2013",7,37330.4222775545,36238.5012902766,18840.578315186,38528.6432017275,-11111.0048241471,-8794.03737681998,0.158920079249499,1,21166.2406085454,21166.2406085454,NA,0,0,0,NA,5,6,13444.6700998905,13198.7585257295,4251.65321620433,8947.04045936749,-677.381929855628,65.2544278869078,0.803236042519421,"2013","Europe and Central Asia","Romania","Upper middle income"
"Russia","Russia2012",14,37599.7313772509,43217.6738324658,18307.2985165326,30028.3063535182,992.037979517488,1990.25369141962,0.230234572678421,32,27619.5465953654,26024.5321730491,19438.1221137536,11869.2967681136,5215.29967425464,6360.40148516904,0.730019339568198,37,49,31999.4149866102,38298.5474107361,24502.7695355869,26837.7988034568,3309.43367888369,-2230.01876393599,2.00909055529437,"2012","Europe and Central Asia","Russian Federation","High income"
"Serbia","Serbia2013",3,43856.8083983785,39552.4018931261,39741.1282133124,57194.8462473543,-5357.9855540506,-7787.16458331371,0.899299587706466,1,31677.1456139193,31677.1456139193,NA,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Serbia","Upper middle income"
"Slovakia","Slovakia2013",10,97558.3439546962,104140.777222233,70194.0596871685,91433.7620851171,-7720.82024801264,-901.390722654464,0.30483360536068,NA,NA,NA,NA,NA,NA,NA,NA,4,1,18398.9481518706,18398.9481518706,NA,0,0,0,1,"2013","Europe and Central Asia","Slovak Republic","High income"
"Slovenia","Slovenia2013",10,296197.108327171,154522.019767223,271681.920541346,399248.556896803,-8826.14630111624,-14757.245615117,1.22491145707681,3,109750.002270757,110193.292020014,7449.18208698118,10866.6506715178,-2050.10804086765,246.690885651121,0.685166972663483,1,1,41487.1573483626,41487.1573483626,NA,0,0,0,1,"2013","Europe and Central Asia","Slovenia","High income"
"Sweden","Sweden2014",80,266147.44079678,279177.273871852,66230.0561549769,53828.202677849,56355.3807187147,49403.7935480225,0.704448562833235,2,601120.145541614,601120.145541614,860528.661785635,1216971.30430802,536256.12502566,468480.103870785,3.6161393312934,28,1,268035.415370319,268035.415370319,NA,0,0,0,1,"2014","Europe and Central Asia","Sweden","High income"
"Tunisia","Tunisia2013",9,72383.8860803995,79338.9656135689,30054.014790021,57643.3673193035,-3248.3577236104,3667.04048414198,0.872648346462274,2,67072.572237007,67072.572237007,116427.2780166,164653.035601258,87305.4413304385,69327.5939373719,4.29349850450823,0,2,34430.83351282,34430.83351282,3049.04183186077,4311.99631086041,524.859180797695,538.999538857552,1.22522345750615,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Turkey","Turkey2013",3,81251.7158081676,80752.1545560355,44196.3962671916,63428.6148979526,-6073.1273074925,-17910.9521170806,0.716455066289393,13,137515.493971334,66363.8071626924,159034.626682483,67418.7013015115,-13523.5054328969,-39546.2482774597,0.842202237827605,20,3,60393.6277055855,61041.6682887013,8218.16771954148,7779.08091940517,3111.13932104313,1835.13074781808,3.86038622946974,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Uganda","Uganda2013",NA,NA,NA,NA,NA,NA,NA,NA,3,3754.7281229367,3043.97847229868,4190.72184683379,0,180.030436476345,413.391764777085,1.63114277711083,3,3,4225.20052102189,4360.42438873176,2217.39452485226,4717.12718717132,-376.580904955411,-437.560641196909,0.6,"2013","Sub-Saharan Africa","Uganda","Low income"
"Ukraine","Ukraine2013",10,10232.2961368994,10887.4466453725,5959.52462606345,7173.20947620376,-301.544377945137,-202.466378427713,0.723317038071771,45,14231.0299808913,11440.1088583535,12107.1932317709,12435.8973283337,-2043.60996796385,-1752.64965849604,1.08527274993813,39,33,14269.4263381478,11886.483243058,10689.4517265519,11612.228338494,-5169.94171657318,-5238.14805189553,0.400234802232414,"2013","Europe and Central Asia","Ukraine","Lower middle income"
"Uzbekistan","Uzbekistan2013",1,13500.6229610323,13500.6229610323,NA,0,0,0,1,1,4628.78501521106,4628.78501521106,NA,0,0,0,1,7,1,7664.12734547267,7664.12734547267,NA,0,0,0,1,"2013","Europe and Central Asia","Uzbekistan","Lower middle income"
"Vietnam","Vietnam2009",10,21750.3420625802,20182.2423051179,9063.73740948326,5037.5677418725,-1321.96799995246,-405.159426365146,0.775002382399315,8,15501.1705374352,10842.8077127537,11148.9902027677,18216.7540407842,4447.84729795189,1435.83748451962,1.04443761614981,3,9,26359.4145205878,17158.35470991,21738.3990504407,30139.5388192712,-9364.99683368081,-2808.91589164618,0.874892819799514,"2009","East Asia and Pacific","Vietnam","Lower middle income"
"Zambia","Zambia2013",6,24832899.5055865,26057600.7069997,16864249.0151656,33425693.2612635,10705869.8093594,10591192.839507,1.51425323129428,7,19056967.7502566,10230292.8146401,16947989.950055,19869255.6363939,2354889.31083461,1921056.97215093,3.90472797784626,2,3,5035790.00102802,6458220.45840548,3235356.67118936,5615516.46789227,869433.240878127,846639.490279318,1.5203363122899,"2013","Sub-Saharan Africa","Zambia","Lower middle income"
