"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Croatia","Croatia2013",8,65783.3061495904,67789.2423439299,27238.3821727172,58468.7384368995,-2466.31027791348,-5383.84194028637,5.22126185204057,1,66654.3618180654,66654.3618180654,NA,0,0,0,1,2,42140.2455885927,42140.2455885927,36333.0898781719,51382.7484686313,6530.39584067536,6782.52279785933,1.39593917753423,1,"2013","Europe and Central Asia","Croatia","High income"
"Drc","Drc2013",5,2954.13043192185,2799.40983662057,2125.95446548675,3285.58528582268,-1331.76981106583,-1365.58362061849,0.174260024567939,3,3278.59356729476,1719.8167025504,4071.06700759398,7873.42782240401,1907.38559888328,1942.18760562243,0.980830992204004,3,3121.83263808339,2894.52489939224,3089.0406551988,6096.77766914716,-941.614573777051,-928.22933901641,0.456015259236302,2,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",36,6231.95852077549,4905.190886142,4435.79317168009,2055.96140673033,2972.80346245186,2818.73673097388,1.41503723246386,8,6150.01226919044,5909.53904510233,1633.46797630093,1962.50861551531,-265.526142350462,-302.166856831312,0.568388336077715,18,20944.3012254296,16158.884612647,18944.7025462614,19782.0868443943,8998.76445854079,9354.95401251327,1.09539721441218,16,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Estonia","Estonia2013",4,44936.3747535008,42410.7979420945,11637.9817768067,17306.9363342347,-89.8944442229666,-64.8909283317167,0.969497339541142,3,16236.7759665444,14777.0416419311,3841.56297603244,7310.70988949525,-462.050947002667,-456.324752816142,1.04910877926195,NA,NA,NA,NA,NA,NA,NA,NA,3,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",1,4042.62423956512,4042.62423956512,NA,0,0,0,NA,4,14019.1033563173,3123.31124886993,23881.5649859077,16268.3647523516,4817.07582229516,4817.07582229516,0.833333333333333,1,4584.27712575297,4584.27712575297,NA,0,0,0,1,8,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",5,25044.870978882,20092.4876291018,19178.8758023141,17056.0530088519,-3935.56117678457,-3760.53028425154,0.937193247457787,1,58355.3008604743,58355.3008604743,NA,0,0,0,1,2,20377.1271101175,20377.1271101175,6939.47303843711,9813.89688668018,233.793811183829,233.664211587624,1.04862940524833,0,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Ghana","Ghana2013",6,3031.34735487438,1795.01616148246,2833.39741737323,5118.07156263788,646.517278997742,487.918188560285,1,6,5523.07624483046,2878.93205644239,6292.78958895665,6958.56035117268,2720.67837472715,1706.77023804379,0.961573874109183,3,28714.169629648,25464.2779712058,26633.6269028417,38832.3468884199,7991.20368051805,8184.84345841596,1,6,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",5,8920.13600403387,8441.64913237693,5479.17033437984,7351.53986426096,3355.1694733156,9050.03570817212,0.897263125011836,4,11754.612711229,8685.94729662869,10234.1764668901,20420.9440673916,259.84672716081,1904.00195710311,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Guyana","Guyana2010",6,49318.7331339012,25858.7953739173,59502.7644336507,46334.8860014709,-30286.2855645062,-30217.6077058982,1.11111111111111,3,5809.97715338205,7422.91386335767,3026.65602960179,5175.56045871809,-1512.35735327891,-1509.53846712611,1,1,19326.8207894092,19326.8207894092,NA,0,0,0,1,1,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"Honduras","Honduras2010",1,13482.2784743134,13482.2784743134,NA,0,0,0,1,2,2321.27177218485,2321.27177218485,311.85632835433,441.03144907057,-86.6952223076299,-147.010483023524,0.789376422789443,1,661.547173605856,661.547173605856,NA,0,0,0,1,15,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",79,21058.7897738463,11923.6930252297,21465.5409969648,21983.5548149273,-634.727537749386,3235.83531658887,1.66666666666667,43,15417.3920081881,13323.3665545014,11078.0383441531,11191.6279057812,3975.46041085112,4761.67830441248,0.259635463211755,15,8719.45437932007,8095.7662887956,8010.14545837968,11573.5644136769,348.692014387334,4522.93104106759,0.673590025527247,7,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",28,2976.19147646772,1674.48719596733,3244.3618083977,5744.50068690969,2856.72975769021,1730.62406482276,1,10,2970.82926206758,2634.48254798417,2766.59822877868,4572.32326743897,-873.690097687045,1616.89344290196,0.111111111111111,NA,NA,NA,NA,NA,NA,NA,NA,10,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",2,33161.7964789169,33161.7964789169,32932.2439696686,46573.2260612849,-2509.64157109422,-2910.82662883031,0.924583608431863,3,14227.0948130579,14818.6979888998,7327.80899547681,10319.822753148,-298.61422368744,-482.4852196277,1,2,19212.5786349289,19212.5786349289,12280.396147403,17367.1027829716,-1488.5797936934,-1497.16403301479,0.857155383364475,1,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Jordan","Jordan2013",1,7811.78090015114,7811.78090015114,NA,0,0,0,1,1,10713.2995202073,10713.2995202073,NA,0,0,0,1,3,142327.803087117,131443.944113312,113470.40619127,153394.970402968,-46200.736691455,-29379.6450388037,1.33802003081664,2,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",1,12322.8448117731,12322.8448117731,NA,-1.81898940354586e-12,0,0,1,2,20329.0329239973,20329.0329239973,9061.30934982777,12814.6265753846,-3298.37080525588,-3155.84087304247,0.632980670103096,2,16810.522988645,16810.522988645,2709.23996722123,3831.44390536751,518.900936665194,529.880540104017,1.25500062111358,0,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",3,14700.5295561564,11958.9737287654,13500.9809555378,25442.3428518582,-4056.53736096716,-3291.63715145916,0.946766405053922,2,14388.314418064,14388.314418064,19420.22075305,27464.3395732428,3433.04244665534,3433.04244665534,1.33333333333333,1,4499.27747274967,4499.27747274967,NA,0,0,0,1,2,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Laos","Laos2012",7,11192.7166997957,11773.2334529432,6643.90753724786,10805.9796355281,-2001.48910351593,-2953.30990845786,0.332291176593324,6,16831.2709969606,13772.472085425,10531.0795532303,17397.4157458884,-4229.49788151607,-3442.23630944002,0.18407598701947,2,5479.80591887991,5479.80591887991,1637.67359514595,2316.02020899571,193.332329826094,204.354724323151,1.24928177244646,2,"2012","East Asia and Pacific","Lao PDR","Lower middle income"
"Latvia","Latvia2013",4,20305.2707622222,17257.0647555927,11395.8771916961,10083.1109097788,902.49807857376,4088.23168343592,0.1638599838628,10,38027.8983833502,19347.3396864558,35358.0884617797,53569.3843278155,11567.8277626812,7749.09767231182,3.08806372758243,2,31536.5172074271,31536.5172074271,6752.31662592642,9549.21774982248,2961.52429348568,2749.0172310095,2.12272285185272,1,"2013","Europe and Central Asia","Latvia","High income"
"Lithuania","Lithuania2013",5,26241.5980193436,26399.8318569199,4506.02063324832,0,968.673083003012,3464.80414449875,1.62182905712485,10,32220.0686363544,27324.2655940634,16042.1132912951,27914.8764075948,246.682495993276,684.312039787818,1.125,1,13166.3722186443,13166.3722186443,NA,0,0,0,1,6,"2013","Europe and Central Asia","Lithuania","High income"
"Madagascar","Madagascar2013",5,637.157374758096,253.903273848551,1398.46917047606,0,724.701735744875,526.336465269072,1.04554835836398,17,2491.28627989347,1527.7926517745,2124.61535051352,2767.50882645941,2719.14620709379,2143.7210085784,1,9,16783.9653043266,11105.4322963877,19738.2019054214,23391.4659071178,-6103.89612410086,-3293.72426270473,0.849640921670944,5,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Malawi","Malawi2014",2,10761.1777581431,10761.1777581431,947.439097805695,1339.88122163934,321.501762413988,467.227953671284,4.15282591940085,3,167904.112622092,48219.3387963292,288987.010060089,496446.085655678,178699.323368716,165356.338766699,0.932387201315306,1,5553.20323674916,5553.20323674916,NA,0,0,0,NA,3,"2014","Sub-Saharan Africa","Malawi","Low income"
"Mauritius","Mauritius2009",3,4758.02102532134,4651.69277078144,1260.30072462713,1804.41973407348,-842.093339198849,-793.247322708632,0.131513118704117,2,6315.46906925719,6315.46906925719,8467.45203592032,11974.7855079422,1381.70602014718,1381.70602014718,1.3,NA,NA,NA,NA,NA,NA,NA,NA,1,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Mexico","Mexico2010",1,9250.02636257513,9250.02636257513,NA,0,0,0,1,1,19733.3895734936,19733.3895734936,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Mongolia","Mongolia2013",NA,NA,NA,NA,NA,NA,NA,NA,7,12323.0081189866,9087.7806013683,5351.72793455779,4419.05972496933,1138.00247634152,529.661752534152,1.56215587253458,1,12747.2876681807,12747.2876681807,NA,0,0,0,1,1,"2013","East Asia and Pacific","Mongolia","Upper middle income"
"Myanmar","Myanmar2014",1,3710.29525357664,3710.29525357664,NA,0,0,0,1,6,10639.4754676836,7005.88379905795,8904.7425064718,18254.6526475971,9612.94442862382,10132.7082706658,2.39679272116169,1,32056.9509909022,32056.9509909022,NA,0,0,0,1,3,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Namibia","Namibia2014",NA,NA,NA,NA,NA,NA,NA,NA,1,13861.9404891499,13861.9404891499,Inf,0,0,0,1,1,1979.48510185061,1979.48510185061,NA,0,0,0,1,8,"2014","Sub-Saharan Africa","Namibia","Upper middle income"
"Nepal","Nepal2013",5,3577.93695043256,3311.93395671163,1067.07098178373,2008.82225245876,19.9055375458191,989.014765202066,0.947842857546482,4,8609.98468444493,8679.10586896145,1291.18874365985,1488.01648330279,-243.896175576986,-988.135945943255,0.175659952751695,1,3487.5386327409,3487.5386327409,NA,0,0,0,1,3,"2013","South Asia","Nepal","Low income"
"Nigeria","Nigeria2014",9,451.426670982949,406.953642441721,235.472458065406,175.686323193926,60.4735618134023,67.0789060030466,3.4477155023573,15,773.789150107795,454.591718886994,777.407927994722,1114.16891404057,-17.5895527856824,-19.6888370557652,0.947059777052987,5,405.744963032778,146.569840382102,422.815607520598,779.624978117884,-204.851128335872,-219.720809821497,0.954048362387452,28,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",3,6100.61020001532,4072.18084311584,4804.59237542193,8766.50042615215,75.5117860566485,56.5580672654977,1.11350948162137,4,1642.86719133279,1465.39838667344,1153.31215880149,1323.45877401265,-457.730802678668,-750.808342949482,0.124670575161516,NA,NA,NA,NA,NA,NA,NA,NA,9,"2013","South Asia","Pakistan","Lower middle income"
"Paraguay","Paraguay2010",2,73627.9543711086,73627.9543711086,110128.118953543,155744.679422738,-29275.8295058299,-33373.8598763009,0.762903044861022,1,14089.5229815708,14089.5229815708,NA,0,0,0,1,1,18867.7390576536,18867.7390576536,NA,0,0,0,1,4,"2010","Latin America and Caribbean","Paraguay","Upper middle income"
"Philippines","Philippines2009",5,1802284.03007775,76481.753358679,3376773.70006445,6546406.73226221,763651.038847268,-154187.888612911,0.949958633093012,4,1821.48403176249,2728.71897907557,1373.61183904472,2501.32573081927,-326.838021366303,-359.189139468851,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Poland","Poland2013",5,195858.26173327,184298.2283911,144702.069851701,170790.165659544,63716.557153759,65654.2653622799,2.71168837506067,5,78542.5641387554,80276.2588500299,60997.9456310803,78404.0546256514,64043.0696685036,71043.8221431349,2.05413408626701,NA,NA,NA,NA,NA,NA,NA,NA,4,"2013","Europe and Central Asia","Poland","High income"
"Romania","Romania2013",4,118376.238810805,43855.1217878344,155492.084161355,301106.842205436,-39366.1915380678,-30823.554871985,0.975780627279754,6,33732.4431009597,35119.1142956786,19871.0814251642,28372.3136815254,2896.65263259396,4753.74965227821,0.311267932574701,1,38376.0875225414,38376.0875225414,NA,0,0,0,1,3,"2013","Europe and Central Asia","Romania","Upper middle income"
"Russia","Russia2012",13,18234.0888908549,17936.0735718618,11684.1746462145,14381.4523030022,-7862.77365175864,-7001.12893992117,0.903202187251502,29,42762.8419068123,29762.0894022592,40082.7862867923,44579.0597408711,3748.66881965729,-7328.34286256303,0.232714549676824,26,52750.1063146209,39991.3106171714,46041.1770051301,43019.6893756726,-11788.1108940075,-10493.0892369453,0.680540464066581,11,"2012","Europe and Central Asia","Russian Federation","High income"
"Senegal","Senegal2014",7,2375.82524201386,1828.13438207041,2066.96437990711,3621.99704375028,664.43391329624,552.689679612717,0.470616576218828,10,3506.80770141396,2500.26391283936,2568.90096365816,4285.71377951604,-342.98926825839,-370.326848078282,0.753443905738888,1,1219.07155548813,1219.07155548813,NA,0,0,0,1,5,"2014","Sub-Saharan Africa","Senegal","Lower middle income"
"Slovakia","Slovakia2013",4,77443.2705670182,56810.9526706114,77424.8777330603,54262.3224319244,-894.406000981536,-3425.95926123854,2.68083573603273,3,201258.465200977,141615.702937955,188037.454737192,346958.472197989,25025.2669492143,25685.2010230604,1.03368017300144,NA,NA,NA,NA,NA,NA,NA,NA,2,"2013","Europe and Central Asia","Slovak Republic","High income"
"Slovenia","Slovenia2013",3,189859.993591018,107642.354201157,122977.391683114,177520.182470075,10311.4074777258,-44647.5907546014,2.35371376980287,2,60160.4654280169,60160.4654280169,11765.6105479631,16639.0860065293,-4337.32949063442,-5294.25463844116,0.70367617631925,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Slovenia","High income"
"SriLanka","SriLanka2011",9,5659.94324377706,3957.96168287196,4020.09312045455,1834.8519489578,112.512813146823,-198.064441092223,1.16177673963989,13,5376.10479736884,4366.12986572088,3474.20982436379,4747.31536000193,-559.630043308172,-1919.49576172373,1.07206983387321,1,3494.95609325295,3494.95609325295,NA,0,0,0,1,3,"2011","South Asia","Sri Lanka","Lower middle income"
"Suriname","Suriname2010",6,51632.959397076,35193.8589643508,55704.3602521388,66373.2038048978,-1601.58922909378,-1601.58922909378,0.8375,3,20890.1544378574,17336.0656988653,13731.7185071183,24412.0178546408,-4527.79455486453,-3653.66267005611,0.915895778774752,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Suriname","Upper middle income"
"Sweden","Sweden2014",12,283276.522832465,275347.516897785,157653.430771047,140399.503289215,17052.8050976483,26023.8538449411,2.54066570656458,1,875449.712980469,875449.712980469,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2014","Europe and Central Asia","Sweden","High income"
"Tanzania","Tanzania2013",1,1251.32088100947,1251.32088100947,NA,0,0,0,1,5,1314.09655725458,429.910174318088,2931.26905651183,1735.16495499979,2284.60223098466,2407.82822756827,1.01881490646374,1,284.51085294531,284.51085294531,NA,0,0,0,1,11,"2013","Sub-Saharan Africa","Tanzania","Low income"
"Uganda","Uganda2013",5,112598.628767757,3584.43817034135,202812.386561901,407812.895366448,44257.0570352131,38372.1305926595,1.05258065254222,11,10378.913202068,4364.13940495974,12619.5619572307,27658.7004549247,-2551.77780153536,-1005.09712485011,1.15426891397826,1,15564.7980991439,15564.7980991439,Inf,0,0,0,1,5,"2013","Sub-Saharan Africa","Uganda","Low income"
"Vietnam","Vietnam2009",10,58216.5178273445,64311.9485612184,47294.8035774665,71540.0042303581,-13770.5771864726,-9077.5396468623,0.228155430917101,24,17297.7029775812,17277.6938919989,13361.3269095424,11992.0384739047,-446.573551341036,-2081.15595127321,2.4532356515855,2,195249.026168409,195249.026168409,216943.930654716,306805.049006428,74824.7547892523,92041.5147019283,2.87895660817846,1,"2009","East Asia and Pacific","Vietnam","Lower middle income"
"West Bank And Gaza","West Bank And Gaza2013",1,369874.893314072,369874.893314072,Inf,0,0,0,1,2,29589.9914651257,29589.9914651257,27897.7114936566,39453.321953501,9863.33048837524,9863.33048837524,2,4,12353.2402780167,5559.27586558146,12143.0221567031,20548.6051841151,1447.94159716253,1670.9752124719,1.50499404710343,2,"2013","Middle East and North Africa","West Bank and Gaza","Lower middle income"
"Zambia","Zambia2013",NA,NA,NA,NA,NA,NA,NA,NA,10,3992143.34328628,3162701.22184495,2447771.37684331,5005937.37762765,94803.1088565018,505701.737326203,0.49578082341213,6,8700966.04005885,6498472.83032806,8500269.74365872,10621453.8455199,516203.851790969,408855.772330334,0.440897907080925,3,"2013","Sub-Saharan Africa","Zambia","Lower middle income"
