"countryOnly","country","N_0-25%","mean_0-25%","median_0-25%","sd_0-25%","iqr_0-25%","OPcov_0-25%","OPcovNoWeights_0-25%","indAlloc_0-25%","N_+75%","mean_+75%","median_+75%","sd_+75%","iqr_+75%","OPcov_+75%","OPcovNoWeights_+75%","indAlloc_+75%","outliersOut","N_51-75%","mean_51-75%","median_51-75%","sd_51-75%","iqr_51-75%","OPcov_51-75%","OPcovNoWeights_51-75%","indAlloc_51-75%","N_26-50%","mean_26-50%","median_26-50%","sd_26-50%","iqr_26-50%","OPcov_26-50%","OPcovNoWeights_26-50%","indAlloc_26-50%","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Belize","Belize2010",67,0.237610690102797,0.2,0.128774722004601,0.120634920634921,-0.0331679226320271,-0.0160646204388372,2.02665505074088,3,0.133103448275862,0.0459770114942529,0.173889926200856,0.313333333333333,-0.0941365787694388,-0.0941365787694388,34,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",61,0.332524412130261,0.303071322805638,0.226493995726972,0.362105263157895,0.0141801481591296,-0.0240995318150216,0.631578947368421,9,0.160079979201919,0.0986522465455484,0.150006256903071,0.295168681433531,-0.0177162895041259,-0.0269623355696147,0.543804591210917,0,7,0.244977151149682,0.202530426669485,0.224751659119527,0.515580579919385,-0.0655071778603839,-0.0715702097016209,1.0239283067821,3,0.130344383923206,0.117470715907603,0.126646683358753,0.24378918294875,-0.0246761960284661,-0.0198315162892538,1.52437798451768,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",60,0.202923586493648,0.139109086026068,0.170447299496887,0.245754120789628,0.0794976456716222,0.15090767248989,1.69594730292245,15,0.261406968461892,0.246149327674588,0.124912671297734,0.128700580495356,0.0319939783758532,0.129084772107041,0.882783228240794,1,7,0.438503361469646,0.479701997169879,0.318646051897144,0.65,-0.0365101579843256,-0.0438850894673855,0.782931965708872,4,0.204629839597614,0.200493159299967,0.0169262681713928,0.0236923076923077,-0.00285354644287805,-0.0114036465264839,1.034028550226,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",55,0.143592088327845,0.133333333333333,0.132670409849739,0.182272630834512,-0.00479120498046724,-0.0277654593549499,0.652408086707356,6,0.318324650921285,0.326642438028715,0.198933325185399,0.3086,0.226360779526514,0.273097775554681,0.0347109720636801,5,NA,NA,NA,NA,NA,NA,NA,NA,2,0.277599894497218,0.277599894497218,0.224658216104732,0.317714696113858,-0.156578390292254,-0.126271225378584,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",62,0.214646147578474,0.192378886906372,0.141400650623575,0.177777777777778,-0.0487626488823016,-0.0518686289248355,1.69333306224712,2,0.171378933384909,0.171378933384909,0.034749247532596,0.0491428571428571,-0.0133602297830225,-0.0125853658536585,1.88119092802862,1,2,0.0666055172812574,0.0666055172812574,0.0335852731948972,0.0474967488482291,0.00339262491773065,0.00339262491773065,0.875,2,0.298888888888889,0.298888888888889,0.0298556196500987,0.0422222222222222,4.62223186652937e-33,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",1207,0.232817922680395,0.233333333333333,0.146774655865986,0.163666666666667,-0.012930109397826,-0.0529145508440838,0.5,24,0.279782156717978,0.21651779002516,0.227195618024331,0.225619047619048,-0.0581903222102945,-0.00243348176699182,4.84663653387096,35,NA,NA,NA,NA,NA,NA,NA,NA,39,0.160191431434086,0.14254344284079,0.107444904702613,0.046363952184262,0.0504853176286257,-0.0271124491895917,1.2901891573681,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",69,0.235531751222371,0.170162605104034,0.17541803161577,0.292091298917238,5.50070622115559e-05,-0.00190411189066374,1.51405834370159,21,0.334061985148105,0.249978986807804,0.279998799076293,0.331209786183007,0.203384823995816,0.213091724001157,0.0681667565680914,1,4,0.383025852297719,0.360755293303027,0.266368894397178,0.297873849688021,0.0102952081573274,0.231657921041391,0.919103855204065,4,0.067307491773729,0.0628654838050049,0.0391879428779345,0.0298883189639492,0.00519735762005023,0.00793746588380388,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",70,0.149134170922564,0.133347330031214,0.107790056392574,0.142148760330578,-0.0570613337827044,-0.0490144450977681,0.903093278979815,6,0.135527760745327,0.0998687215310054,0.0911714899089918,0.141626373626374,-0.0138356802469571,-0.0164978105751691,1.23131934202983,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",46,0.127605451822153,0.0770048444789666,0.100578495051601,0.117539018517936,-0.0102240428201417,-0.0191178739034453,0.700693825495023,6,0.235283930876505,0.252753801634802,0.168526409319202,0.209017660462814,-0.0689087554640057,-0.0650375939245645,8.19761336529358,1,NA,NA,NA,NA,NA,NA,NA,NA,4,0.0688322036294166,0.0734403350771963,0.0511961856460815,0.0922046488323849,0.0151948147321656,0.0137952189138738,2.29765104250872,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",78,0.225228687388299,0.192210959666985,0.147660222305775,0.208,-0.0944728197496534,-0.0933298563102998,0.818733128545238,3,0.15996525030703,0.182432970970159,0.125449066443879,0.266993333333333,-0.00292837697030361,-0.00331497463216642,0.943452082328143,0,2,0.24885381692467,0.24885381692467,0.150260191002141,0.2125,-0.139358203418276,-0.102083333333333,15.6760610385468,10,0.149806443238108,0.127336149619632,0.154153739979138,0.278947368421053,0.146938784163045,0.102649328043193,0.10298646613057,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",564,0.218230545881144,0.200545584222436,0.134896069595217,0.147765483071841,-0.0653738457133604,-0.0423913538934531,0.958333333333333,28,0.169259335804988,0.128190230035045,0.159621414607067,0.157810650887574,-0.0129377926924766,-0.0328093807855591,1.47486771098956,7,19,0.107263019861803,0.0871897990875931,0.0911852496800345,0.125225941466667,-0.0230672777674603,-0.0197422209306728,1.19323064967543,39,0.179798755610693,0.137256051885178,0.13363451633631,0.176621048702438,-0.0423245722362306,-0.0388634039683256,1.56658372799086,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",1303,0.152713586215693,0.126378905470269,0.101208092425613,0.116666666666667,0.0132068598259543,-0.000255180905388854,0.887403534910144,95,0.199702579817792,0.158270266332667,0.144346368766093,0.2,0.0335204815194972,0.00872692377481522,0.518308790108949,16,66,0.149599491697009,0.111400958398417,0.111470589357139,0.131208694432815,0.0845126891292537,0.0513290188064773,0.272386049347529,173,0.166169698627995,0.174044366814214,0.103046046633705,0.154166666666666,-0.00548372814850556,0.00385296302961506,0.750226113711227,11,0.248214436851654,0.15146498516685,0.20941068295242,0.263333333333333,0.0668061111271717,0.040156479611799,0.424020292782297,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",536,0.270753464327144,0.266142720033778,0.17701958639803,0.192267715601199,-0.0251281127494309,-0.0642249516107502,3.6,17,0.240806224482448,0.185542417376426,0.122477505953368,0.141263778238568,0.0638425406611592,0.0207938736759659,0.0552612168850166,2,15,0.205473337331182,0.197776365162079,0.12911561602046,0.240824096734072,-0.047105446315044,-0.0522096778058246,0.972205608462994,65,0.225303058884368,0.26360883465021,0.138719911121299,0.162714109390983,-0.077929647278133,-0.0757773172656549,1.04184994059091,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",189,0.320234283937063,0.3,0.198098979412799,0.282,-0.0831859614452459,-0.0709307107407137,2.44165034667754,21,0.395146676024063,0.240838984711912,0.398030617666413,0.365485478977026,-0.172399051738169,-0.0907310934363065,NA,2,9,0.19555685536034,0.19456425299195,0.0967169727048053,0.183823529411765,-0.0302745557666402,-0.0368412205322408,1.32695160913555,17,0.375352202726154,0.300867110116434,0.310243219543586,0.322222222222222,-0.211479469246075,-0.220686608555579,2.66694772927419,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",181,0.310323503449383,0.273613519617009,0.224056017874057,0.31948275862069,-0.0752812489163505,-0.121722240951489,1.2,8,0.145282003247939,0.137297433200262,0.0932411746950319,0.161702127659574,-0.118946281916083,-0.0791310845858417,1.72188899924419,6,3,0.0369321081125908,0.0435434024526406,0.0159249368873348,0.0297201416704239,-0.000418436350636065,-0.000418436350636066,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",60,0.287750206800501,0.252422882527371,0.165905360257638,0.214733188405797,-0.0712804838410035,-0.0833743111694459,0.615069113426922,20,0.249989358301343,0.19094086230742,0.189500512627988,0.249932325682652,0.0593882937905932,0.0577221874080565,0.669904366369461,3,6,0.125859312628508,0.106884634792382,0.0760681394220139,0.0846153846153846,-0.0110356847383818,-0.00679469094376034,0.189199692862095,13,0.272302569095771,0.208246555271897,0.144047569312528,0.25467032967033,-0.104861275890914,-0.099303200464112,1.18093811163124,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",35,0.218908435953695,0.17761371602893,0.159090277894285,0.177862595419847,-0.0488895460443026,-0.0285702208746596,3.67490374685975,20,0.197612593067494,0.212366671587168,0.139214554454912,0.248166707168894,-0.0290592788553235,-0.0336104317871959,1.42109653399182,1,7,0.257521797161158,0.370958300537937,0.210756634242157,0.423333333333333,0.0175876065029443,0.029943319887944,1.26071351955003,10,0.224529826260836,0.175870011114549,0.128300939154947,0.264615384615385,-0.0010245252995286,-0.0234568146442747,0.229353875318438,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Czech Republic","High income"
"Djibouti","Djibouti2013",16,0.199534444638104,0.169121428181815,0.135040331282789,0.208882727272727,0.0132526548740398,0.00800035681864073,1.23958919188853,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0.175267993730407,0.175267993730408,0.121253119192895,0.171477805642633,0.070150011399259,0.070150011399259,0.55,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Djibouti","Lower middle income"
"Dominica","Dominica2010",18,0.235757777658726,0.233601985073479,0.107898736832755,0.140476190476191,-0.0260703648437586,-0.0292530172831156,1.55,3,0.30387758057176,0.36919055893426,0.210097880898475,0.358333333333333,0.0636301900455428,0.0514698995259377,1.02941176470588,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0.184791733458129,0.184791733458129,0.143265197736246,0.202607585654663,0.0506518964136657,0.0506518964136657,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominica","Upper middle income"
"Dominicanrepublic","Dominicanrepublic2010",90,0.214226970552106,0.183665957388272,0.125516342939383,0.137927880247034,0.00301223584479523,0.0144830084235443,0.792833397012024,16,0.171580945309786,0.177828945461256,0.103527992348847,0.111794871794872,0.0346184532066669,-0.00331399960424278,0.185129508961185,3,2,0.139218952085928,0.139218952085928,0.0267333262986362,0.0378066326188766,-0.0160092152913514,-0.0135784384757937,NA,2,0.157956339530905,0.157956339530905,0.0594587148472036,0.0840873209381898,-0.0349708951565369,-0.0349708951565369,5.94444444444444,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",197,0.218700453200252,0.205448655498185,0.150528215767076,0.243333333333333,-0.097331919229663,-0.100240821530447,1.2132142459677,2,0.134692420382233,0.134692420382233,0.0136784978827786,0.0193443172187172,-0.00763835123077391,-0.00799388451275754,6.01460106670484,0,4,0.107423725905307,0.0965403350172036,0.111380775265697,0.158993278872661,-0.000530065594868435,-0.00288342387553789,0.744827915489014,7,0.0636325475559858,0.0520954042008829,0.063982715440595,0.103358962799706,0.0123198466729122,0.0088766373725611,0.444319346822558,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",92,0.197819180797984,0.167271894120499,0.131144895205488,0.204285714285714,-0.0584030840397093,-0.0531000462354776,0.878259776377948,5,0.367913269090217,0.433452286530431,0.185669466833783,0.316666666666667,-0.169764602563865,-0.13089736197134,1.67006044680498,8,NA,NA,NA,NA,NA,NA,NA,NA,2,0.160123735092702,0.160123735092702,0.000354494217316815,0,0.000302299696656318,0.000223220162953641,0.290434245729505,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",1445,0.196571266797789,0.1477556847831,0.165697233150459,0.218352941176471,-0.0227574352638005,-0.00696757252339452,1.41666666666667,62,0.137541737221769,0.120597394538985,0.0819100491714271,0.0619976532707539,-0.0122287132605358,0.0246795951807594,1.65038073883045,52,30,0.141338723891136,0.169799211351794,0.0967420389840655,0.125847457627119,-0.0327310617012042,0.00995903025860991,2.1205084274373,120,0.139653398718183,0.0754078999308764,0.158318674577231,0.213333333333333,7.93843150140649e-05,-0.00420022373828126,1.06034047093937,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",70,0.233098777538083,0.175142263200938,0.163419578820097,0.221233312015896,-0.0642355074957842,-0.0457236663918093,0.497355265336814,12,0.384139304779894,0.289317250554356,0.302385982672108,0.179883356127925,0.177732154593774,0.095897754968858,0.183908742531834,2,6,0.167904063699608,0.130585787424278,0.113341575867135,0.155702066330368,-0.00261040535482671,0.0115791814075304,NA,23,0.270237328680314,0.193593198169566,0.206402014206433,0.35,-0.101446763897642,-0.0468810617441942,3.13598364332577,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Estonia","Estonia2013",26,0.279525949300636,0.245989297521165,0.191207057269137,0.221908793763325,-0.0293492017302553,-0.0133284985410648,1.21694097717167,26,0.319585775009648,0.250863504328017,0.216306727552793,0.342521068139629,-0.0489993404213686,-0.0763110375946132,0.467705863403315,4,8,0.25135078443188,0.194843092102418,0.258257834851483,0.32037037037037,0.318732461183743,0.276909262339597,0.217003198130495,4,0.2211448297912,0.243304837977803,0.0534165435334097,0.109693140929351,0.00051858532304848,0.00123567218740048,1.20516971321897,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",185,0.145111217570383,0.141667113651101,0.116177350702192,0.157516566534443,-0.0464367682807272,-0.0477413163660493,0.367428571428569,18,0.108959565546801,0.0500138383458647,0.153227763435315,0.181382851787601,0.0286292024016906,-0.0187292976175079,1.04031856645097,6,4,0.164626699724867,0.0994641148325359,0.164816063567298,0.259696827131746,0.134288503789143,0.137549387159816,0.192018348623853,6,0.0944752347259659,0.0940191387559809,0.0742753067453479,0.0753732214285714,0.0957738258176959,0.0962622621732687,0.053302752293578,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",81,0.221703248650989,0.187696845122549,0.169607588563766,0.200896260394308,0.000550799421401555,-0.0278505590761357,0.897405441979817,21,0.571650309928626,0.716334989920956,0.275287856393927,0.339186449675978,-0.139854742562777,-0.0513022601592038,3.68287918047173,1,7,0.14160395936025,0.0866985057685924,0.151329629380446,0.241767740946408,0.0565651067741508,0.0420395063984529,0.628476020030216,9,0.326619816071736,0.25,0.310760146310307,0.685785071524327,-0.209637594270216,-0.110369284154271,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Georgia","Georgia2013",70,0.173777208714568,0.158800125908098,0.133370003786843,0.166666666666667,0.00269321617402509,-0.00354651041845974,1.55485310474065,3,0.0487389352401286,0.0490986698487891,0.00339054312269156,0.00281890610403118,0.000892548855500545,0.00175495272685789,0.808153208809189,9,NA,NA,NA,NA,NA,NA,NA,NA,2,0.203440283815856,0.203440283815856,0.0664680374315355,0.094,-0.0426182364079477,-0.0369923954372624,3.87532722268914,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",230,0.172045908487215,0.12,0.158138342840644,0.188,-0.0499375249769808,-0.0368265378347084,1.21850984016086,12,0.158855704813706,0.100778985664072,0.167493912697779,0.192083333333333,-0.0448095777714454,-0.0513067021381638,1.63634165724588,0,4,0.0546203386346793,0.0640168162883379,0.0591899660271994,0.0939495852594089,0.0119180411241988,-0.00318915646605422,6.17070114887174,22,0.141821047078512,0.103393597306508,0.116511514924777,0.136682449055378,-0.0257814155072073,-0.00857522013937779,1.35041418200099,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Grenada","Grenada2010",20,0.26801347193499,0.269718082027629,0.104359831521866,0.126666666666667,-0.0150893325590504,-0.0139471977532482,1.03647893325564,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0.115120187932614,0.115120187932614,0.02104323203126,0.0297596241347719,-0.00456707103058381,-0.00456707103058381,1.44285714285714,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Grenada","Upper middle income"
"Guatemala","Guatemala2010",188,0.254429942511929,0.288880764346494,0.15264669660602,0.191428571428571,-0.0739655795021162,-0.0698881435234455,1.66228691097702,16,0.149624110250776,0.091544843912919,0.120859473723513,0.113235767127694,0.0411208659106186,-0.00860276356650032,1.02712780597272,8,3,0.133699621263045,0.132494369452949,0.00477231795600174,0.00138888888888888,0.00138170474723521,0.000439326674065852,0.5497052045647,30,0.228693254082492,0.263413714897335,0.0978015110169947,0.15,-0.0262596146243026,-0.0162521758106264,1.04388977827427,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Guyana","Guyana2010",39,0.168454171225872,0.131658009515631,0.123344977162288,0.130444218853922,-0.0331870443686987,-0.0326673260020571,0.914952424105896,12,0.161793960688368,0.118352690783557,0.104551591969535,0.163794027777778,0.0354336549324058,0.0249494601672656,0.141462495537922,1,3,0.017715664202605,0.0196048832637692,0.0042290461920812,0.008,-0.00354250205801385,-0.00347891851011533,1.21237524572406,8,0.26024005625532,0.264551381746166,0.119647445734551,0.191836734693878,-0.0636174936326286,-0.0631958850204178,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"Honduras","Honduras2010",107,0.213583764053155,0.184036127632701,0.1579315700783,0.140229373121033,0.00905092474118554,0.00390893260625775,1.2,NA,NA,NA,NA,NA,NA,NA,NA,18,2,0.184347701595058,0.184347701595058,0.16976174707058,0.240079365079365,-0.120679663823469,-0.0994614512471655,4.36246279197419,8,0.1786888826576,0.113889362083703,0.132608039649385,0.178888888888889,-0.0043080898025503,0.000752818627450992,1.05904118755302,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"Hungary","Hungary2013",25,0.239842917900298,0.193473109665933,0.221317242590239,0.175427505927727,0.0492691804360465,0.0655481785675521,0.646397776512854,5,0.162580241462508,0.186756152020468,0.0767213455637679,0.142222222222222,0.0282215330906261,0.0317995382035492,0.209521054122203,2,NA,NA,NA,NA,NA,NA,NA,NA,7,0.0712325065293146,0.0459195781775885,0.0460611773134293,0.0802857142857143,0.0143191795807329,0.0073083504150442,0.780868955160337,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Hungary","High income"
