"idstd","country","wt","sector_MS","income","l1","indicator","indicatorQuantile","N_indicator","age","size","expStatus","forOwner"
542190,"Albania2013",1.40811511804202,"Manufacturing","Middle income",6,0.075940784269409,13.1681547619048,1,"6-15","Small firms","0-25%","+75%"
542268,"Albania2013",17.1723786885978,"Manufacturing","Middle income",78,0.0184131147540984,54.3091168091168,1,"16-30","Medium firms","0-25%","+75%"
542181,"Albania2013",3.79969580616822,"Manufacturing","Middle income",19,0.24,4.16666666666667,1,"16-30","Small firms","0-25%","+75%"
542261,"Albania2013",3.54008926040517,"Manufacturing","Middle income",12,0.5,2,1,"16-30","Small firms","0-25%","+75%"
542212,"Albania2013",1.12394535511557,"Manufacturing","Middle income",14,0.785714285714286,1.27272727272727,1,"16-30","Small firms","0-25%","+75%"
542264,"Albania2013",1,"Manufacturing","Middle income",50,0.366666666666667,2.72727272727273,1,"6-15","Medium firms","0-25%","+75%"
542233,"Albania2013",3.54008926040517,"Manufacturing","Middle income",37,0.0072,138.888888888889,1,"16-30","Medium firms","26-50%","+75%"
542234,"Albania2013",3.54008926040517,"Manufacturing","Middle income",17,0.425,2.35294117647059,1,"16-30","Small firms","0-25%","+75%"
542224,"Albania2013",3.54008926040517,"Manufacturing","Middle income",5,0.707335092348285,1.41375708743659,1,"6-15","Small firms","0-25%","+75%"
542216,"Albania2013",1.12394535511557,"Manufacturing","Middle income",6,0.338754986408975,2.95198606698209,1,"16-30","Small firms","0-25%","+75%"
542210,"Albania2013",1.12394535511557,"Manufacturing","Middle income",11,0.2658,3.76222723852521,1,"16-30","Small firms","0-25%","+75%"
542215,"Albania2013",3.54008926040517,"Manufacturing","Middle income",10,0.0364556962025316,27.4305555555556,1,"6-15","Small firms","0-25%","+75%"
542255,"Albania2013",3.54008926040517,"Manufacturing","Middle income",8,0.287660038136747,3.47632575757576,1,"6-15","Small firms","0-25%","+75%"
542276,"Albania2013",1,"Manufacturing","Middle income",10,0.193548387096774,5.16666666666667,1,"6-15","Small firms","0-25%","+75%"
542238,"Albania2013",3.54008926040517,"Manufacturing","Middle income",5,0.138461538461538,7.22222222222222,1,"6-15","Small firms","0-25%","+75%"
542134,"Albania2013",1.01193705512124,"Manufacturing","Middle income",4,0.0475,21.0526315789474,1,"6-15","Small firms","0-25%","+75%"
542217,"Albania2013",3.54008926040517,"Manufacturing","Middle income",4,0.009,111.111111111111,1,"6-15","Small firms","0-25%","+75%"
542403,"Albania2013",5.23858438818676,"Manufacturing","Middle income",5,0.131212121212121,7.62124711316397,1,"16-30","Small firms","0-25%","+75%"
542204,"Albania2013",1.12394535511557,"Manufacturing","Middle income",10,0.361809045226131,2.76388888888889,1,"6-15","Small firms","0-25%","+75%"
542099,"Albania2013",1,"Manufacturing","Middle income",25,0.0535714285714286,18.6666666666667,1,"6-15","Medium firms","0-25%","+75%"
542185,"Albania2013",1.27393104141051,"Manufacturing","Middle income",39,0.0734463276836158,13.6153846153846,1,"16-30","Medium firms","0-25%","+75%"
542425,"Albania2013",5.23858438818676,"Manufacturing","Middle income",100,0.214015010775061,4.67256944444444,1,"6-15","Large firms","0-25%","+75%"
542256,"Albania2013",3.54008926040517,"Manufacturing","Middle income",14,0.0441,22.6757369614512,1,"6-15","Small firms","0-25%","+75%"
542095,"Albania2013",3.31368820305368,"Manufacturing","Middle income",15,0.25,4,1,"6-15","Small firms","0-25%","+75%"
542096,"Albania2013",3.31368820305368,"Manufacturing","Middle income",30,0.00673575129533679,148.461538461538,1,"16-30","Medium firms","+75%","+75%"
542173,"Albania2013",1.14742375349928,"Manufacturing","Middle income",13,0.255264837268666,3.9175,1,"16-30","Small firms","0-25%","+75%"
542245,"Albania2013",3.54008926040517,"Manufacturing","Middle income",5,0.644444444444445,1.55172413793103,1,"16-30","Small firms","0-25%","+75%"
542098,"Albania2013",3.31368820305368,"Manufacturing","Middle income",12,0.117307692307692,8.52459016393443,1,"6-15","Small firms","0-25%","+75%"
542175,"Albania2013",1.26492131890155,"Manufacturing","Middle income",7,0.05,20,1,"16-30","Small firms","0-25%","+75%"
542279,"Albania2013",17.1723786885978,"Manufacturing","Middle income",44,0.0933333333333333,10.7142857142857,1,"16-30","Medium firms","0-25%","+75%"
542220,"Albania2013",1.12394535511557,"Manufacturing","Middle income",6,0.104971166994215,9.52642548077145,1,"16-30","Small firms","0-25%","+75%"
542101,"Albania2013",1,"Manufacturing","Middle income",25,0.1,10,1,"16-30","Medium firms","0-25%","+75%"
542097,"Albania2013",3.31368820305368,"Manufacturing","Middle income",7,0.12,8.33333333333333,1,"6-15","Small firms","0-25%","+75%"
542242,"Albania2013",3.54008926040517,"Manufacturing","Middle income",8,0.0330857142857143,30.2245250431779,1,"16-30","Small firms","0-25%","+75%"
542246,"Albania2013",3.54008926040517,"Manufacturing","Middle income",5,0.0210114687600315,47.5930555555556,1,"16-30","Small firms","0-25%","+75%"
542248,"Albania2013",3.54008926040517,"Manufacturing","Middle income",10,0.304347826086956,3.28571428571429,1,"16-30","Small firms","0-25%","+75%"
542222,"Albania2013",3.54008926040517,"Manufacturing","Middle income",11,0.0817119805017439,12.2381074826434,1,"16-30","Small firms","0-25%","+75%"
542225,"Albania2013",3.54008926040517,"Manufacturing","Middle income",6,0.0307692307692308,32.5,1,"6-15","Small firms","26-50%","+75%"
542227,"Albania2013",3.54008926040517,"Manufacturing","Middle income",18,0.304,3.28947368421053,1,"16-30","Small firms","26-50%","+75%"
542209,"Albania2013",1.12394535511557,"Manufacturing","Middle income",11,0.219512195121951,4.55555555555556,1,"16-30","Small firms","0-25%","+75%"
542180,"Albania2013",3.79969580616822,"Manufacturing","Middle income",4,0.172413793103448,5.8,1,"6-15","Small firms","0-25%","+75%"
542137,"Albania2013",3.15608318378069,"Manufacturing","Middle income",8,0.714285714285714,1.4,1,"16-30","Small firms","0-25%","+75%"
542218,"Albania2013",1.12394535511557,"Manufacturing","Middle income",15,0.154054054054054,6.49122807017544,1,"16-30","Small firms","0-25%","+75%"
542182,"Albania2013",1.27393104141051,"Manufacturing","Middle income",12,0.0827586206896552,12.0833333333333,1,"6-15","Small firms","0-25%","+75%"
542270,"Albania2013",1,"Manufacturing","Middle income",20,0.11,9.09090909090909,1,"16-30","Medium firms","0-25%","+75%"
542231,"Albania2013",3.54008926040517,"Manufacturing","Middle income",21,0.0716555090468308,13.9556610971314,1,"16-30","Medium firms","0-25%","+75%"
542177,"Albania2013",3.79969580616822,"Manufacturing","Middle income",7,0.161739130434783,6.18279569892473,1,"16-30","Small firms","0-25%","+75%"
542140,"Albania2013",3.15608318378069,"Manufacturing","Middle income",5,0.549019607843137,1.82142857142857,1,"6-15","Small firms","0-25%","+75%"
542179,"Albania2013",3.79969580616822,"Manufacturing","Middle income",5,0.25,4,1,"16-30","Small firms","0-25%","+75%"
542219,"Albania2013",1.12394535511557,"Manufacturing","Middle income",30,0.54,1.85185185185185,1,"+30","Medium firms","0-25%","0-50%"
542265,"Albania2013",1,"Manufacturing","Middle income",56,0.185,5.40540540540541,1,"16-30","Medium firms","0-25%","+75%"
542178,"Albania2013",1.26492131890155,"Manufacturing","Middle income",27,0.177777777777778,5.625,1,"6-15","Medium firms","0-25%","+75%"
542260,"Albania2013",3.54008926040517,"Manufacturing","Middle income",18,0.722292993630573,1.38447971781305,1,"6-15","Small firms","0-25%","+75%"
